,model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0,CVNCF,200,1,128,128,0.0001,,0.001,300,10,"[3.0417, 0.0529]","[0.0335, 0.002]","[0.031, 0.0016]","[0.029, 0.0014]","[0.0371, 0.0027]","[0.0227, 0.0009]","[0.117, 0.0042]","[0.028, 0.0013]","[0.0247, 0.0011]","[0.0224, 0.0009]","[0.033, 0.0021]","[0.0159, 0.0005]","[0.037, 0.0032]","[0.1045, 0.0061]","[0.1355, 0.0067]","[0.1624, 0.0072]","[0.0642, 0.0049]","[0.2745, 0.0087]"
1,CVNCF,200,1,128,128,0.001,,0.0001,300,10,"[3.0593, 0.0525]","[0.0298, 0.0018]","[0.0283, 0.0015]","[0.0269, 0.0013]","[0.0314, 0.0024]","[0.0218, 0.0009]","[0.1102, 0.0038]","[0.027, 0.0013]","[0.024, 0.0011]","[0.0218, 0.0009]","[0.0313, 0.002]","[0.0158, 0.0005]","[0.0299, 0.0027]","[0.1016, 0.006]","[0.1321, 0.0067]","[0.1594, 0.0072]","[0.0584, 0.0046]","[0.2735, 0.0087]"
2,CVNCF,200,1,128,128,0.0001,,0.0001,300,10,"[3.2123, 0.0519]","[0.0275, 0.0018]","[0.0256, 0.0015]","[0.0242, 0.0013]","[0.0306, 0.0024]","[0.0193, 0.0008]","[0.1029, 0.004]","[0.023, 0.0012]","[0.021, 0.001]","[0.0194, 0.0008]","[0.0267, 0.0018]","[0.0136, 0.0005]","[0.0312, 0.003]","[0.0903, 0.0057]","[0.1206, 0.0065]","[0.1482, 0.0071]","[0.0558, 0.0047]","[0.2469, 0.0085]"
3,CVNCF,200,1,128,128,0.01,,0.005,300,10,"[3.1023, 0.0529]","[0.034, 0.002]","[0.0309, 0.0016]","[0.0286, 0.0014]","[0.0385, 0.0028]","[0.022, 0.0009]","[0.1173, 0.0044]","[0.0271, 0.0013]","[0.0231, 0.001]","[0.021, 0.0008]","[0.033, 0.002]","[0.0153, 0.0005]","[0.0419, 0.0036]","[0.1068, 0.0062]","[0.1315, 0.0067]","[0.1557, 0.0071]","[0.0664, 0.005]","[0.2677, 0.0087]"
4,CVNCF,200,1,128,128,0.01,,0.001,300,10,"[3.0905, 0.0527]","[0.0317, 0.0019]","[0.0295, 0.0015]","[0.0276, 0.0013]","[0.0347, 0.0025]","[0.0216, 0.0008]","[0.1113, 0.0039]","[0.0268, 0.0013]","[0.0235, 0.001]","[0.0213, 0.0008]","[0.033, 0.002]","[0.0153, 0.0005]","[0.0297, 0.0026]","[0.1038, 0.0061]","[0.1324, 0.0067]","[0.1573, 0.0072]","[0.0669, 0.0051]","[0.2675, 0.0087]"
5,CVNCF,200,1,128,128,0.001,,0.005,300,10,"[3.097, 0.0525]","[0.0329, 0.002]","[0.0301, 0.0016]","[0.0281, 0.0014]","[0.0377, 0.0028]","[0.0218, 0.0009]","[0.1168, 0.0044]","[0.0261, 0.0013]","[0.0234, 0.001]","[0.0213, 0.0009]","[0.0302, 0.002]","[0.0153, 0.0005]","[0.0412, 0.0036]","[0.0991, 0.006]","[0.1322, 0.0067]","[0.1556, 0.0071]","[0.059, 0.0048]","[0.2695, 0.0087]"
6,CVNCF,200,1,128,128,0.0001,,0.0005,300,10,"[3.1018, 0.0522]","[0.0284, 0.0018]","[0.0269, 0.0015]","[0.0257, 0.0013]","[0.0301, 0.0024]","[0.0212, 0.0009]","[0.1071, 0.0037]","[0.0253, 0.0013]","[0.0231, 0.001]","[0.0215, 0.0009]","[0.0293, 0.0019]","[0.0156, 0.0005]","[0.027, 0.0025]","[0.0926, 0.0057]","[0.1256, 0.0065]","[0.1527, 0.007]","[0.0567, 0.0046]","[0.2678, 0.0086]"
7,CVNCF,200,1,128,128,0.001,,0.0005,300,10,"[3.0767, 0.0526]","[0.0279, 0.0018]","[0.0267, 0.0015]","[0.0255, 0.0013]","[0.0299, 0.0024]","[0.0211, 0.0008]","[0.1101, 0.004]","[0.0257, 0.0013]","[0.0236, 0.001]","[0.0214, 0.0009]","[0.0269, 0.0018]","[0.0156, 0.0005]","[0.0318, 0.003]","[0.0995, 0.006]","[0.1323, 0.0067]","[0.1569, 0.0071]","[0.051, 0.0043]","[0.2702, 0.0087]"
8,CVNCF,200,1,128,128,0.0001,,0.005,300,10,"[3.11, 0.0524]","[0.0327, 0.002]","[0.0298, 0.0016]","[0.0278, 0.0014]","[0.0382, 0.0028]","[0.0217, 0.0009]","[0.1163, 0.0045]","[0.0252, 0.0013]","[0.0227, 0.001]","[0.0212, 0.0009]","[0.0313, 0.0019]","[0.0152, 0.0005]","[0.0413, 0.0036]","[0.0973, 0.0059]","[0.128, 0.0066]","[0.156, 0.0071]","[0.0633, 0.0049]","[0.2666, 0.0086]"
9,CVNCF,200,1,128,128,0.01,,0.0001,300,10,"[3.0935, 0.0528]","[0.0331, 0.002]","[0.0302, 0.0016]","[0.0283, 0.0014]","[0.0374, 0.0028]","[0.0219, 0.0009]","[0.1166, 0.0044]","[0.0265, 0.0013]","[0.0235, 0.001]","[0.0216, 0.0009]","[0.0312, 0.002]","[0.0153, 0.0005]","[0.041, 0.0036]","[0.1031, 0.0061]","[0.1324, 0.0067]","[0.1584, 0.0072]","[0.0635, 0.005]","[0.2669, 0.0086]"
