model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,100,1,128,128,0.0001,,0.001,300,10,"[3.1002, 0.0525]","[0.031, 0.0019]","[0.0288, 0.0016]","[0.0272, 0.0014]","[0.0345, 0.0026]","[0.0216, 0.0009]","[0.1093, 0.0039]","[0.0263, 0.0013]","[0.0235, 0.001]","[0.0214, 0.0009]","[0.0305, 0.0019]","[0.0154, 0.0005]","[0.0317, 0.0028]","[0.0961, 0.0058]","[0.1261, 0.0065]","[0.1509, 0.007]","[0.0558, 0.0045]","[0.264, 0.0086]"
CVNCF,250,1,128,128,0.0003333,,0.0005,300,10,"[3.082, 0.0522]","[0.0286, 0.0018]","[0.0269, 0.0015]","[0.0256, 0.0013]","[0.0308, 0.0025]","[0.0211, 0.0008]","[0.1093, 0.0039]","[0.0253, 0.0013]","[0.0229, 0.001]","[0.0213, 0.0009]","[0.0277, 0.0019]","[0.0158, 0.0005]","[0.0309, 0.0029]","[0.0944, 0.0058]","[0.1252, 0.0065]","[0.1554, 0.0071]","[0.051, 0.0043]","[0.2742, 0.0087]"
CVNCF,250,1,128,128,0.0003333,,0.0001,300,10,"[3.1119, 0.0525]","[0.03, 0.0018]","[0.028, 0.0015]","[0.0265, 0.0013]","[0.0325, 0.0025]","[0.0211, 0.0009]","[0.1093, 0.0039]","[0.0257, 0.0013]","[0.0231, 0.001]","[0.0212, 0.0009]","[0.0296, 0.0019]","[0.0151, 0.0005]","[0.0307, 0.0028]","[0.0989, 0.0059]","[0.1302, 0.0066]","[0.1559, 0.0071]","[0.0603, 0.0048]","[0.264, 0.0086]"
CVNCF,250,1,128,128,0.001,,0.0001,300,10,"[3.1595, 0.0518]","[0.0295, 0.0019]","[0.0273, 0.0015]","[0.0258, 0.0013]","[0.0331, 0.0026]","[0.0207, 0.0008]","[0.1083, 0.004]","[0.0243, 0.0013]","[0.0222, 0.001]","[0.0205, 0.0009]","[0.029, 0.0019]","[0.0151, 0.0005]","[0.0328, 0.003]","[0.0919, 0.0057]","[0.1233, 0.0065]","[0.1484, 0.007]","[0.0563, 0.0046]","[0.2628, 0.0086]"
CVNCF,200,1,128,128,0.001,,0.0005,300,10,"[3.0876, 0.0522]","[0.0284, 0.0018]","[0.027, 0.0015]","[0.0258, 0.0013]","[0.0299, 0.0024]","[0.0212, 0.0008]","[0.1083, 0.0038]","[0.0257, 0.0013]","[0.0231, 0.001]","[0.0216, 0.0009]","[0.0276, 0.0019]","[0.0157, 0.0005]","[0.0283, 0.0026]","[0.0951, 0.0058]","[0.128, 0.0065]","[0.1587, 0.0072]","[0.0519, 0.0044]","[0.271, 0.0086]"
CVNCF,100,1,128,128,0.0003333,,0.0005,300,10,"[3.1098, 0.052]","[0.028, 0.0018]","[0.0265, 0.0015]","[0.0254, 0.0013]","[0.0302, 0.0024]","[0.0211, 0.0009]","[0.108, 0.0038]","[0.0248, 0.0013]","[0.0229, 0.001]","[0.0215, 0.0009]","[0.0278, 0.0019]","[0.016, 0.0006]","[0.0289, 0.0026]","[0.088, 0.0055]","[0.1222, 0.0064]","[0.1504, 0.0069]","[0.0514, 0.0043]","[0.2717, 0.0087]"
CVNCF,250,1,128,128,0.0006667,,0.0001,300,10,"[3.1498, 0.0518]","[0.0293, 0.0018]","[0.0271, 0.0015]","[0.0256, 0.0013]","[0.033, 0.0025]","[0.0206, 0.0008]","[0.1079, 0.004]","[0.0243, 0.0012]","[0.022, 0.001]","[0.0202, 0.0009]","[0.0286, 0.0018]","[0.0151, 0.0005]","[0.0336, 0.0031]","[0.088, 0.0055]","[0.1192, 0.0064]","[0.1459, 0.0069]","[0.0532, 0.0044]","[0.2623, 0.0086]"
CVNCF,250,1,128,128,0.0001,,0.0006667,300,10,"[3.1167, 0.052]","[0.0284, 0.0018]","[0.0267, 0.0015]","[0.0254, 0.0013]","[0.031, 0.0025]","[0.021, 0.0008]","[0.1077, 0.0039]","[0.0249, 0.0013]","[0.0226, 0.001]","[0.0209, 0.0009]","[0.027, 0.0019]","[0.0157, 0.0005]","[0.0324, 0.0029]","[0.0897, 0.0056]","[0.1232, 0.0065]","[0.1492, 0.007]","[0.0465, 0.0041]","[0.2684, 0.0086]"
CVNCF,200,1,128,128,0.001,,0.0001,300,10,"[3.1215, 0.0518]","[0.0293, 0.0019]","[0.0274, 0.0016]","[0.026, 0.0014]","[0.0319, 0.0025]","[0.021, 0.0009]","[0.1076, 0.0038]","[0.0253, 0.0013]","[0.0228, 0.001]","[0.0208, 0.0009]","[0.0296, 0.002]","[0.0155, 0.0005]","[0.0296, 0.0026]","[0.0909, 0.0057]","[0.1222, 0.0064]","[0.1479, 0.0069]","[0.0534, 0.0044]","[0.2685, 0.0086]"
CVNCF,150,1,128,128,0.0003333,,0.001,300,10,"[3.1162, 0.0518]","[0.0284, 0.0018]","[0.0266, 0.0015]","[0.0253, 0.0013]","[0.031, 0.0024]","[0.0208, 0.0008]","[0.1072, 0.0037]","[0.0243, 0.0013]","[0.0219, 0.001]","[0.021, 0.0009]","[0.0288, 0.0019]","[0.0158, 0.0005]","[0.028, 0.0025]","[0.087, 0.0054]","[0.1187, 0.0063]","[0.148, 0.0069]","[0.0502, 0.0042]","[0.2724, 0.0087]"
CVNCF,150,1,128,128,0.0003333,,0.0001,300,10,"[3.141, 0.0523]","[0.0294, 0.0018]","[0.0275, 0.0015]","[0.026, 0.0013]","[0.0317, 0.0025]","[0.0205, 0.0008]","[0.1069, 0.004]","[0.0255, 0.0013]","[0.0227, 0.001]","[0.0204, 0.0008]","[0.0295, 0.0019]","[0.0145, 0.0005]","[0.0313, 0.0029]","[0.1004, 0.0061]","[0.1304, 0.0067]","[0.1534, 0.0071]","[0.0586, 0.0047]","[0.2577, 0.0085]"
CVNCF,200,1,128,128,0.0001,,0.001,300,10,"[3.1076, 0.0526]","[0.0289, 0.0018]","[0.0276, 0.0015]","[0.0264, 0.0014]","[0.0305, 0.0025]","[0.0214, 0.0009]","[0.1068, 0.0037]","[0.0262, 0.0013]","[0.0239, 0.0011]","[0.0222, 0.0009]","[0.0294, 0.0019]","[0.0157, 0.0005]","[0.0294, 0.0026]","[0.093, 0.0056]","[0.1277, 0.0065]","[0.1574, 0.0071]","[0.052, 0.0043]","[0.2628, 0.0085]"
CVNCF,150,1,128,128,0.0001,,0.0005,300,10,"[3.1771, 0.0517]","[0.0289, 0.0019]","[0.0268, 0.0015]","[0.0251, 0.0013]","[0.0318, 0.0026]","[0.0202, 0.0008]","[0.1063, 0.004]","[0.0244, 0.0013]","[0.0215, 0.001]","[0.0195, 0.0008]","[0.0278, 0.0019]","[0.0148, 0.0005]","[0.0323, 0.003]","[0.0915, 0.0057]","[0.1197, 0.0064]","[0.1427, 0.0069]","[0.0558, 0.0046]","[0.2553, 0.0085]"
CVNCF,200,1,128,128,0.0003333,,0.0001,300,10,"[3.1717, 0.0515]","[0.0286, 0.0018]","[0.0265, 0.0015]","[0.025, 0.0013]","[0.0313, 0.0024]","[0.0203, 0.0008]","[0.1062, 0.0039]","[0.0241, 0.0013]","[0.0211, 0.001]","[0.0199, 0.0009]","[0.029, 0.0019]","[0.015, 0.0005]","[0.0303, 0.0028]","[0.091, 0.0058]","[0.117, 0.0064]","[0.1421, 0.0069]","[0.0533, 0.0044]","[0.2643, 0.0086]"
CVNCF,150,1,128,128,0.001,,0.0001,300,10,"[3.1271, 0.0518]","[0.0278, 0.0018]","[0.0264, 0.0015]","[0.0252, 0.0013]","[0.03, 0.0024]","[0.0206, 0.0008]","[0.1062, 0.0038]","[0.0244, 0.0013]","[0.0226, 0.001]","[0.021, 0.0009]","[0.0271, 0.0018]","[0.0152, 0.0005]","[0.0282, 0.0027]","[0.0898, 0.0057]","[0.1253, 0.0066]","[0.1512, 0.0071]","[0.0508, 0.0044]","[0.2638, 0.0086]"
CVNCF,250,1,128,128,5E-05,,0.0005,300,10,"[3.1757, 0.0521]","[0.0297, 0.0019]","[0.0275, 0.0015]","[0.0258, 0.0013]","[0.0327, 0.0025]","[0.0204, 0.0008]","[0.1061, 0.0041]","[0.0248, 0.0013]","[0.022, 0.001]","[0.0202, 0.0008]","[0.0295, 0.0019]","[0.0144, 0.0005]","[0.0341, 0.0031]","[0.0937, 0.0058]","[0.1217, 0.0065]","[0.1485, 0.007]","[0.0582, 0.0047]","[0.2512, 0.0084]"
