model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.0001,,0.003333,300,10,"[3.0964, 0.0526]","[0.034, 0.0021]","[0.0308, 0.0017]","[0.0286, 0.0014]","[0.0393, 0.0029]","[0.0221, 0.0009]","[0.1171, 0.0045]","[0.0261, 0.0013]","[0.0235, 0.001]","[0.0211, 0.0009]","[0.031, 0.002]","[0.0152, 0.0005]","[0.0416, 0.0036]","[0.1022, 0.0061]","[0.1331, 0.0067]","[0.1563, 0.0071]","[0.061, 0.0049]","[0.2656, 0.0086]"
CVNCF,200,1,128,128,0.0001,,0.003333,300,10,"[3.0889, 0.053]","[0.034, 0.002]","[0.031, 0.0017]","[0.0287, 0.0014]","[0.0392, 0.0029]","[0.0221, 0.0009]","[0.1174, 0.0045]","[0.0273, 0.0013]","[0.0235, 0.001]","[0.0212, 0.0009]","[0.0313, 0.002]","[0.0153, 0.0005]","[0.0411, 0.0036]","[0.1075, 0.0062]","[0.1321, 0.0067]","[0.1562, 0.0071]","[0.0601, 0.0048]","[0.2675, 0.0086]"
CVNCF,150,1,128,128,0.0001,,0.003333,300,10,"[3.1031, 0.0524]","[0.0319, 0.002]","[0.0294, 0.0016]","[0.0276, 0.0014]","[0.0371, 0.0028]","[0.0216, 0.0009]","[0.1155, 0.0044]","[0.026, 0.0013]","[0.0234, 0.001]","[0.0212, 0.0009]","[0.0286, 0.0019]","[0.0153, 0.0005]","[0.0407, 0.0036]","[0.1003, 0.006]","[0.1325, 0.0067]","[0.1557, 0.0071]","[0.0559, 0.0046]","[0.2677, 0.0086]"
CVNCF,100,1,128,128,0.0001,,0.003333,300,10,"[3.0884, 0.0529]","[0.0327, 0.002]","[0.03, 0.0016]","[0.028, 0.0014]","[0.0372, 0.0028]","[0.0217, 0.0009]","[0.1158, 0.0044]","[0.0276, 0.0013]","[0.0232, 0.001]","[0.0212, 0.0009]","[0.0292, 0.0019]","[0.0152, 0.0005]","[0.0409, 0.0036]","[0.107, 0.0062]","[0.1299, 0.0067]","[0.1574, 0.0072]","[0.0572, 0.0047]","[0.267, 0.0086]"
