model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.001,,0.0006667,300,10,"[3.0726, 0.0528]","[0.0345, 0.002]","[0.0313, 0.0016]","[0.029, 0.0014]","[0.0395, 0.0028]","[0.0223, 0.0009]","[0.1188, 0.0045]","[0.0271, 0.0013]","[0.0237, 0.001]","[0.0215, 0.0009]","[0.0339, 0.002]","[0.0154, 0.0005]","[0.0418, 0.0036]","[0.1052, 0.0062]","[0.1348, 0.0068]","[0.1583, 0.0072]","[0.0701, 0.0052]","[0.271, 0.0087]"
CVNCF,200,1,128,128,0.001,,0.0006667,300,10,"[3.0807, 0.0529]","[0.0339, 0.002]","[0.031, 0.0017]","[0.0288, 0.0014]","[0.0385, 0.0028]","[0.0221, 0.0009]","[0.1176, 0.0044]","[0.0278, 0.0013]","[0.0236, 0.001]","[0.0213, 0.0009]","[0.0324, 0.002]","[0.0153, 0.0005]","[0.0416, 0.0036]","[0.108, 0.0062]","[0.1342, 0.0068]","[0.1575, 0.0072]","[0.0634, 0.0049]","[0.2693, 0.0087]"
CVNCF,150,1,128,128,0.001,,0.0006667,300,10,"[3.094, 0.0527]","[0.0337, 0.002]","[0.0308, 0.0017]","[0.0286, 0.0014]","[0.0387, 0.0028]","[0.022, 0.0009]","[0.1168, 0.0045]","[0.0266, 0.0013]","[0.0233, 0.001]","[0.0212, 0.0008]","[0.033, 0.002]","[0.0152, 0.0005]","[0.0416, 0.0036]","[0.1004, 0.006]","[0.133, 0.0067]","[0.1576, 0.0072]","[0.0641, 0.0049]","[0.2668, 0.0086]"
CVNCF,100,1,128,128,0.001,,0.0006667,300,10,"[3.0064, 0.0526]","[0.0308, 0.0018]","[0.0289, 0.0015]","[0.0276, 0.0013]","[0.0326, 0.0024]","[0.0225, 0.0009]","[0.1136, 0.0038]","[0.0262, 0.0013]","[0.0248, 0.0011]","[0.023, 0.0009]","[0.0333, 0.002]","[0.0163, 0.0005]","[0.0301, 0.0026]","[0.097, 0.0058]","[0.1355, 0.0067]","[0.1639, 0.0072]","[0.0639, 0.0049]","[0.2825, 0.0087]"
