model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0709, 0.001]","[0.0726, 0.0008]","[0.0739, 0.0007]","[0.0707, 0.0013]","[0.0809, 0.0009]","[0.1073, 0.001]","[0.1355, 0.001]","[0.0506, 0.0008]","[0.0744, 0.0008]","[0.0768, 0.0007]","[0.0817, 0.0006]","[0.0701, 0.001]","[0.0908, 0.001]","[0.1412, 0.0012]","[0.2026, 0.0014]","[0.0428, 0.0007]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0719, 0.001]","[0.0721, 0.0008]","[0.0731, 0.0007]","[0.0743, 0.0013]","[0.0805, 0.0009]","[0.1074, 0.001]","[0.1366, 0.001]","[0.0516, 0.0008]","[0.07, 0.0008]","[0.0741, 0.0006]","[0.0806, 0.0006]","[0.0665, 0.001]","[0.0868, 0.001]","[0.1387, 0.0012]","[0.202, 0.0014]","[0.0412, 0.0007]"
INCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.3618, 0.0022]","[0.3297, 0.0019]","[0.3037, 0.0017]","[0.4021, 0.0027]","[0.3857, 0.002]","[0.4346, 0.0021]","[0.4672, 0.0021]","[0.2915, 0.0018]","[0.2967, 0.0017]","[0.2471, 0.0013]","[0.2132, 0.0011]","[0.3625, 0.0023]","[0.3931, 0.0021]","[0.4875, 0.0022]","[0.5575, 0.0022]","[0.2431, 0.0016]"
CNCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.3714, 0.0022]","[0.3379, 0.0019]","[0.3107, 0.0017]","[0.4132, 0.0027]","[0.395, 0.002]","[0.4438, 0.002]","[0.4761, 0.002]","[0.2992, 0.0018]","[0.3035, 0.0017]","[0.2516, 0.0013]","[0.2163, 0.001]","[0.3722, 0.0023]","[0.4018, 0.002]","[0.4957, 0.0021]","[0.5653, 0.0021]","[0.2493, 0.0016]"
IVNCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.4108, 0.0021]","[0.3761, 0.0018]","[0.3471, 0.0016]","[0.4551, 0.0027]","[0.4425, 0.0019]","[0.5008, 0.0019]","[0.5375, 0.0019]","[0.3301, 0.0017]","[0.3413, 0.0017]","[0.2855, 0.0013]","[0.2452, 0.0011]","[0.4092, 0.0022]","[0.4563, 0.002]","[0.5694, 0.0021]","[0.6487, 0.002]","[0.2756, 0.0016]"
CVNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.3988, 0.0022]","[0.3657, 0.0019]","[0.3384, 0.0017]","[0.4405, 0.0027]","[0.4285, 0.0019]","[0.4861, 0.002]","[0.5247, 0.002]","[0.319, 0.0017]","[0.3331, 0.0017]","[0.2798, 0.0013]","[0.2428, 0.0011]","[0.3983, 0.0023]","[0.4422, 0.0021]","[0.5536, 0.0021]","[0.6367, 0.0021]","[0.2668, 0.0016]"
