model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,100,1,128,128,5e-05,,0.0001,300,10,"[3.1076, 0.0519]","[0.0281, 0.0018]","[0.0264, 0.0015]","[0.0252, 0.0013]","[0.0302, 0.0024]","[0.0206, 0.0008]","[0.1083, 0.0039]","[0.0246, 0.0013]","[0.0222, 0.001]","[0.0209, 0.0009]","[0.0283, 0.0018]","[0.0154, 0.0005]","[0.0308, 0.0029]","[0.091, 0.0056]","[0.1235, 0.0065]","[0.1541, 0.0071]","[0.0542, 0.0045]","[0.2676, 0.0086]"
IVNCF,100,1,128,128,5e-05,,0.0005,300,10,"[3.0692, 0.0523]","[0.0296, 0.0018]","[0.0282, 0.0015]","[0.0268, 0.0013]","[0.0316, 0.0024]","[0.0218, 0.0009]","[0.1112, 0.0038]","[0.0264, 0.0013]","[0.0243, 0.0011]","[0.022, 0.0009]","[0.0308, 0.0019]","[0.0158, 0.0005]","[0.0298, 0.0027]","[0.0992, 0.0059]","[0.1323, 0.0067]","[0.1592, 0.0072]","[0.0595, 0.0047]","[0.2757, 0.0087]"
IVNCF,100,1,128,128,5e-05,,0.001,300,10,"[3.1189, 0.0523]","[0.0286, 0.0017]","[0.0271, 0.0015]","[0.0259, 0.0013]","[0.0299, 0.0023]","[0.0212, 0.0008]","[0.1055, 0.0037]","[0.0254, 0.0013]","[0.023, 0.001]","[0.0215, 0.0009]","[0.0289, 0.0019]","[0.0157, 0.0006]","[0.0272, 0.0024]","[0.0917, 0.0056]","[0.1244, 0.0064]","[0.1503, 0.0069]","[0.0519, 0.0043]","[0.2617, 0.0085]"
IVNCF,100,1,128,128,5e-05,,0.005,300,10,"[3.0881, 0.0527]","[0.0319, 0.0019]","[0.0295, 0.0015]","[0.0277, 0.0013]","[0.0349, 0.0025]","[0.0217, 0.0008]","[0.1123, 0.004]","[0.0264, 0.0013]","[0.0237, 0.001]","[0.0215, 0.0009]","[0.0328, 0.002]","[0.0153, 0.0005]","[0.0307, 0.0026]","[0.1025, 0.0061]","[0.1337, 0.0067]","[0.158, 0.0072]","[0.068, 0.0051]","[0.2701, 0.0087]"
