model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
E-NCF,100,1,128,128,0.0001,10,0.0001,290,5,Adam,0.3128,0.5904,0.1976,0.7136
E-NCF,100,1,128,128,0.0001,10,0.0001,300,5,Adam,0.3157,0.5946,0.1991,0.7174
E-VNCF,200,1,128,128,5e-05,10,0.0001,10,5,Adam,0.2886,0.5499,0.1939,0.6987
E-VNCF,200,1,128,128,5e-05,10,0.0001,20,5,Adam,0.3261,0.6182,0.2075,0.7499
E-VNCF,200,1,128,128,5e-05,10,0.0001,30,5,Adam,0.325,0.6131,0.2039,0.7382
E-VNCF,200,1,128,128,5e-05,10,0.0001,40,5,Adam,0.3221,0.6073,0.202,0.7302
E-VNCF,200,1,128,128,5e-05,10,0.0001,50,5,Adam,0.3223,0.6082,0.2028,0.7342
E-VNCF,200,1,128,128,5e-05,10,0.0001,60,5,Adam,0.3218,0.6083,0.2031,0.735
E-VNCF,200,1,128,128,5e-05,10,0.0001,70,5,Adam,0.3211,0.6066,0.2019,0.731
E-VNCF,200,1,128,128,5e-05,10,0.0001,80,5,Adam,0.3182,0.6005,0.2008,0.7255
E-VNCF,200,1,128,128,5e-05,10,0.0001,90,5,Adam,0.3224,0.6085,0.2034,0.735
E-VNCF,200,1,128,128,5e-05,10,0.0001,100,5,Adam,0.3208,0.6057,0.202,0.7302
E-VNCF,200,1,128,128,5e-05,10,0.0001,110,5,Adam,0.321,0.6061,0.2029,0.7316
E-VNCF,200,1,128,128,5e-05,10,0.0001,120,5,Adam,0.3205,0.6048,0.2027,0.7295
E-VNCF,200,1,128,128,5e-05,10,0.0001,130,5,Adam,0.3204,0.6048,0.2025,0.7305
E-VNCF,200,1,128,128,5e-05,10,0.0001,140,5,Adam,0.3187,0.6012,0.2003,0.7227
E-VNCF,200,1,128,128,5e-05,10,0.0001,150,5,Adam,0.3193,0.6026,0.2007,0.725
E-VNCF,200,1,128,128,5e-05,10,0.0001,160,5,Adam,0.32,0.6053,0.2014,0.7294
E-VNCF,200,1,128,128,5e-05,10,0.0001,170,5,Adam,0.32,0.6038,0.2012,0.7263
E-VNCF,200,1,128,128,5e-05,10,0.0001,180,5,Adam,0.3163,0.5962,0.1986,0.7165
E-VNCF,200,1,128,128,5e-05,10,0.0001,190,5,Adam,0.3199,0.604,0.2015,0.7282
E-VNCF,200,1,128,128,5e-05,10,0.0001,200,5,Adam,0.318,0.601,0.2007,0.7238
E-VNCF,200,1,128,128,5e-05,10,0.0001,210,5,Adam,0.3171,0.5983,0.1996,0.7188
E-VNCF,200,1,128,128,5e-05,10,0.0001,220,5,Adam,0.3195,0.6037,0.2018,0.7275
E-VNCF,200,1,128,128,5e-05,10,0.0001,230,5,Adam,0.3202,0.6049,0.2015,0.7277
E-VNCF,200,1,128,128,5e-05,10,0.0001,240,5,Adam,0.3202,0.6044,0.2018,0.7272
E-VNCF,200,1,128,128,5e-05,10,0.0001,250,5,Adam,0.3218,0.6082,0.2037,0.7338
E-VNCF,200,1,128,128,5e-05,10,0.0001,260,5,Adam,0.3197,0.6022,0.2004,0.7224
E-VNCF,200,1,128,128,5e-05,10,0.0001,270,5,Adam,0.32,0.6036,0.2008,0.7248
E-VNCF,200,1,128,128,5e-05,10,0.0001,280,5,Adam,0.3212,0.6054,0.2008,0.7247
E-VNCF,200,1,128,128,5e-05,10,0.0001,290,5,Adam,0.3184,0.5994,0.2,0.7199
E-VNCF,200,1,128,128,5e-05,10,0.0001,300,5,Adam,0.32,0.6044,0.2015,0.727
CE-VNCF,200,1,128,128,0.0001,10,0.0001,10,5,Adam,0.2038,0.392,0.1432,0.5102
CE-VNCF,200,1,128,128,0.0001,10,0.0001,20,5,Adam,0.2905,0.546,0.1822,0.6549
CE-VNCF,200,1,128,128,0.0001,10,0.0001,30,5,Adam,0.2628,0.4907,0.1634,0.5844
CE-VNCF,200,1,128,128,0.0001,10,0.0001,40,5,Adam,0.2656,0.497,0.1671,0.5966
CE-VNCF,200,1,128,128,0.0001,10,0.0001,50,5,Adam,0.2688,0.505,0.1704,0.61
CE-VNCF,200,1,128,128,0.0001,10,0.0001,60,5,Adam,0.2762,0.5204,0.1753,0.6306
CE-VNCF,200,1,128,128,0.0001,10,0.0001,70,5,Adam,0.2831,0.5338,0.1787,0.6446
CE-VNCF,200,1,128,128,0.0001,10,0.0001,80,5,Adam,0.2873,0.5416,0.1815,0.6562
CE-VNCF,200,1,128,128,0.0001,10,0.0001,90,5,Adam,0.2933,0.5539,0.1855,0.6715
