model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
INCF,100,1,128,128,0.01,10,0.0001,620,10,Adam,0.4155,0.4569,0.3525,0.4829
INCF,100,1,128,128,0.01,10,0.0001,630,10,Adam,0.4155,0.4564,0.3523,0.4828
INCF,100,1,128,128,0.01,10,0.0001,640,10,Adam,0.4147,0.4548,0.3507,0.4798
INCF,100,1,128,128,0.01,10,0.0001,650,10,Adam,0.4149,0.4546,0.3502,0.479
INCF,100,1,128,128,0.01,10,0.0001,660,10,Adam,0.4154,0.4563,0.3518,0.4812
INCF,100,1,128,128,0.01,10,0.0001,670,10,Adam,0.4147,0.4558,0.3522,0.482
INCF,100,1,128,128,0.01,10,0.0001,680,10,Adam,0.4142,0.4556,0.3522,0.4821
INCF,100,1,128,128,0.01,10,0.0001,690,10,Adam,0.4148,0.4568,0.3535,0.483
INCF,100,1,128,128,0.01,10,0.0001,700,10,Adam,0.4165,0.4556,0.35,0.4795
INCF,100,1,128,128,0.01,10,0.0001,710,10,Adam,0.4159,0.4564,0.3517,0.4818
INCF,100,1,128,128,0.01,10,0.0001,720,10,Adam,0.4158,0.457,0.3529,0.4829
INCF,100,1,128,128,0.01,10,0.0001,730,10,Adam,0.4147,0.4556,0.3524,0.4809
INCF,100,1,128,128,0.01,10,0.0001,740,10,Adam,0.4146,0.456,0.3529,0.4825
INCF,100,1,128,128,0.01,10,0.0001,750,10,Adam,0.4158,0.4563,0.3523,0.4818
INCF,100,1,128,128,0.01,10,0.0001,760,10,Adam,0.4159,0.4574,0.3536,0.4839
INCF,100,1,128,128,0.01,10,0.0001,770,10,Adam,0.4173,0.4584,0.3539,0.4835
INCF,100,1,128,128,0.01,10,0.0001,780,10,Adam,0.4166,0.4573,0.3525,0.4826
INCF,100,1,128,128,0.01,10,0.0001,790,10,Adam,0.4153,0.4571,0.3542,0.4837
INCF,100,1,128,128,0.01,10,0.0001,800,10,Adam,0.4164,0.4561,0.3509,0.4809
INCF,100,1,128,128,0.01,10,0.0001,810,10,Adam,0.4156,0.4571,0.3535,0.4832
INCF,100,1,128,128,0.01,10,0.0001,820,10,Adam,0.4157,0.4566,0.3525,0.4825
INCF,100,1,128,128,0.01,10,0.0001,830,10,Adam,0.4156,0.4557,0.3508,0.4807
INCF,100,1,128,128,0.01,10,0.0001,840,10,Adam,0.4161,0.4575,0.3535,0.4834
INCF,100,1,128,128,0.01,10,0.0001,850,10,Adam,0.4164,0.4575,0.3531,0.4837
INCF,100,1,128,128,0.01,10,0.0001,860,10,Adam,0.4156,0.4565,0.3526,0.482
INCF,100,1,128,128,0.01,10,0.0001,870,10,Adam,0.4149,0.4564,0.3527,0.4831
INCF,100,1,128,128,0.01,10,0.0001,880,10,Adam,0.4168,0.4572,0.3526,0.4822
INCF,100,1,128,128,0.01,10,0.0001,890,10,Adam,0.4166,0.4582,0.3538,0.4844
INCF,100,1,128,128,0.01,10,0.0001,900,10,Adam,0.4174,0.4587,0.3544,0.4842
INCF,100,1,128,128,0.01,10,0.0001,910,10,Adam,0.4165,0.4576,0.3532,0.4833
INCF,100,1,128,128,0.01,10,0.0001,920,10,Adam,0.4169,0.458,0.353,0.4836
INCF,100,1,128,128,0.01,10,0.0001,930,10,Adam,0.4171,0.4585,0.3544,0.4847
INCF,100,1,128,128,0.01,10,0.0001,940,10,Adam,0.4153,0.4566,0.3531,0.4825
INCF,100,1,128,128,0.01,10,0.0001,950,10,Adam,0.4162,0.4576,0.3534,0.4831
INCF,100,1,128,128,0.01,10,0.0001,960,10,Adam,0.416,0.4566,0.3521,0.4819
INCF,100,1,128,128,0.01,10,0.0001,970,10,Adam,0.4156,0.4558,0.3515,0.4808
INCF,100,1,128,128,0.01,10,0.0001,980,10,Adam,0.417,0.4571,0.3529,0.4823
INCF,100,1,128,128,0.01,10,0.0001,990,10,Adam,0.4156,0.4576,0.3545,0.4843
INCF,100,1,128,128,0.01,10,0.0001,1000,10,Adam,0.4148,0.4572,0.3545,0.4844
IVNCF,100,1,128,128,0.0001,10,0.0001,10,10,Adam,0.3945,0.4262,0.3232,0.4399
IVNCF,100,1,128,128,0.0001,10,0.0001,20,10,Adam,0.3991,0.4319,0.3278,0.4473
IVNCF,100,1,128,128,0.0001,10,0.0001,30,10,Adam,0.4148,0.4517,0.3462,0.4716
IVNCF,100,1,128,128,0.0001,10,0.0001,40,10,Adam,0.4372,0.4763,0.365,0.497
IVNCF,100,1,128,128,0.0001,10,0.0001,50,10,Adam,0.4466,0.4863,0.3722,0.5063
IVNCF,100,1,128,128,0.0001,10,0.0001,60,10,Adam,0.4485,0.4877,0.3727,0.5071
IVNCF,100,1,128,128,0.0001,10,0.0001,70,10,Adam,0.4488,0.4884,0.3736,0.5084
IVNCF,100,1,128,128,0.0001,10,0.0001,80,10,Adam,0.4485,0.4888,0.3741,0.5091
IVNCF,100,1,128,128,0.0001,10,0.0001,90,10,Adam,0.4471,0.4868,0.3722,0.5065
IVNCF,100,1,128,128,0.0001,10,0.0001,100,10,Adam,0.4469,0.4875,0.3736,0.5085
IVNCF,100,1,128,128,0.0001,10,0.0001,110,10,Adam,0.4453,0.4857,0.3718,0.5063
IVNCF,100,1,128,128,0.0001,10,0.0001,120,10,Adam,0.4447,0.4851,0.371,0.5053
IVNCF,100,1,128,128,0.0001,10,0.0001,130,10,Adam,0.4468,0.4866,0.3724,0.5071
IVNCF,100,1,128,128,0.0001,10,0.0001,140,10,Adam,0.4438,0.4844,0.3709,0.5051
IVNCF,100,1,128,128,0.0001,10,0.0001,150,10,Adam,0.4444,0.4845,0.371,0.5051
IVNCF,100,1,128,128,0.0001,10,0.0001,160,10,Adam,0.4424,0.4832,0.37,0.5044
IVNCF,100,1,128,128,0.0001,10,0.0001,170,10,Adam,0.4435,0.4835,0.3703,0.5041
IVNCF,100,1,128,128,0.0001,10,0.0001,180,10,Adam,0.4425,0.4825,0.3694,0.5025
IVNCF,100,1,128,128,0.0001,10,0.0001,190,10,Adam,0.442,0.4819,0.3691,0.5021
IVNCF,100,1,128,128,0.0001,10,0.0001,200,10,Adam,0.4408,0.481,0.3687,0.5014
IVNCF,100,1,128,128,0.0001,10,0.0001,210,10,Adam,0.4409,0.4808,0.3676,0.5007
IVNCF,100,1,128,128,0.0001,10,0.0001,220,10,Adam,0.4397,0.4809,0.3689,0.5021
IVNCF,100,1,128,128,0.0001,10,0.0001,230,10,Adam,0.4392,0.4801,0.3679,0.5013
IVNCF,100,1,128,128,0.0001,10,0.0001,240,10,Adam,0.4391,0.4797,0.3675,0.5
IVNCF,100,1,128,128,0.0001,10,0.0001,250,10,Adam,0.4385,0.4787,0.3669,0.4991
IVNCF,100,1,128,128,0.0001,10,0.0001,260,10,Adam,0.4389,0.479,0.367,0.4991
IVNCF,100,1,128,128,0.0001,10,0.0001,270,10,Adam,0.4388,0.4791,0.3672,0.4998
IVNCF,100,1,128,128,0.0001,10,0.0001,280,10,Adam,0.4392,0.4794,0.3672,0.4996
IVNCF,100,1,128,128,0.0001,10,0.0001,290,10,Adam,0.4384,0.4783,0.3667,0.4983
IVNCF,100,1,128,128,0.0001,10,0.0001,300,10,Adam,0.4377,0.4768,0.3653,0.496
IVNCF,100,1,128,128,0.0001,10,0.0001,310,10,Adam,0.4373,0.4768,0.3655,0.4971
IVNCF,100,1,128,128,0.0001,10,0.0001,320,10,Adam,0.438,0.4779,0.3665,0.4981
IVNCF,100,1,128,128,0.0001,10,0.0001,330,10,Adam,0.4371,0.4767,0.3658,0.4968
IVNCF,100,1,128,128,0.0001,10,0.0001,340,10,Adam,0.4366,0.4763,0.3653,0.497
IVNCF,100,1,128,128,0.0001,10,0.0001,350,10,Adam,0.4374,0.4771,0.3661,0.4974
IVNCF,100,1,128,128,0.0001,10,0.0001,360,10,Adam,0.4375,0.4771,0.3663,0.4978
IVNCF,100,1,128,128,0.0001,10,0.0001,370,10,Adam,0.4374,0.4765,0.3653,0.4965
IVNCF,100,1,128,128,0.0001,10,0.0001,380,10,Adam,0.4354,0.4749,0.3641,0.4953
IVNCF,100,1,128,128,0.0001,10,0.0001,390,10,Adam,0.4361,0.4756,0.3651,0.4965
IVNCF,100,1,128,128,0.0001,10,0.0001,400,10,Adam,0.4382,0.4772,0.3659,0.497
IVNCF,100,1,128,128,0.0001,10,0.0001,410,10,Adam,0.4376,0.4777,0.3666,0.4993
IVNCF,100,1,128,128,0.0001,10,0.0001,420,10,Adam,0.4379,0.4771,0.366,0.4975
IVNCF,100,1,128,128,0.0001,10,0.0001,430,10,Adam,0.4378,0.4773,0.3659,0.4978
IVNCF,100,1,128,128,0.0001,10,0.0001,440,10,Adam,0.4359,0.4756,0.3646,0.4964
IVNCF,100,1,128,128,0.0001,10,0.0001,450,10,Adam,0.4345,0.4738,0.3635,0.4938
IVNCF,100,1,128,128,0.0001,10,0.0001,460,10,Adam,0.4374,0.4768,0.3654,0.4971
IVNCF,100,1,128,128,0.0001,10,0.0001,470,10,Adam,0.4369,0.4757,0.3649,0.4955
IVNCF,100,1,128,128,0.0001,10,0.0001,480,10,Adam,0.4349,0.4742,0.3639,0.4945
IVNCF,100,1,128,128,0.0001,10,0.0001,490,10,Adam,0.4369,0.4763,0.3654,0.4962
IVNCF,100,1,128,128,0.0001,10,0.0001,500,10,Adam,0.4356,0.4748,0.365,0.4953
IVNCF,100,1,128,128,0.0001,10,0.0001,510,10,Adam,0.4358,0.4751,0.3653,0.4962
IVNCF,100,1,128,128,0.0001,10,0.0001,520,10,Adam,0.4358,0.4752,0.3642,0.4954
IVNCF,100,1,128,128,0.0001,10,0.0001,530,10,Adam,0.4353,0.4747,0.3641,0.495
IVNCF,100,1,128,128,0.0001,10,0.0001,540,10,Adam,0.4354,0.4746,0.364,0.4952
IVNCF,100,1,128,128,0.0001,10,0.0001,550,10,Adam,0.4355,0.4743,0.3638,0.4944
IVNCF,100,1,128,128,0.0001,10,0.0001,560,10,Adam,0.437,0.4755,0.364,0.4949
IVNCF,100,1,128,128,0.0001,10,0.0001,570,10,Adam,0.4356,0.4752,0.3646,0.4956
IVNCF,100,1,128,128,0.0001,10,0.0001,580,10,Adam,0.437,0.4765,0.3655,0.4962
IVNCF,100,1,128,128,0.0001,10,0.0001,590,10,Adam,0.436,0.4751,0.3638,0.4952
IVNCF,100,1,128,128,0.0001,10,0.0001,600,10,Adam,0.4369,0.4765,0.3656,0.4971
IVNCF,100,1,128,128,0.0001,10,0.0001,610,10,Adam,0.4384,0.4775,0.3658,0.4975
IVNCF,100,1,128,128,0.0001,10,0.0001,620,10,Adam,0.4374,0.4764,0.3658,0.4968
IVNCF,100,1,128,128,0.0001,10,0.0001,630,10,Adam,0.4384,0.4777,0.3665,0.4983
IVNCF,100,1,128,128,0.0001,10,0.0001,640,10,Adam,0.4377,0.4764,0.3648,0.4964
IVNCF,100,1,128,128,0.0001,10,0.0001,650,10,Adam,0.4362,0.4751,0.3645,0.495
