model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CNCF,100,1,128,128,0.001,50,0.0005,,5,2.2627,0.0636,0.0587,0.0549,0.0706,0.0422,0.1617,0.0529,0.0464,0.042,0.064,0.0285,0.0639,0.1278,0.1657,0.196,0.0807,0.3171
VNCF,200,1,128,128,5e-05,50,0.0001,,5,2.2524,0.0618,0.0571,0.0534,0.0687,0.041,0.1606,0.0512,0.0453,0.0407,0.061,0.0276,0.0624,0.1273,0.1671,0.1962,0.0781,0.3186
NCF,100,1,128,128,0.0001,50,0.0005,,5,2.3106,0.0645,0.0589,0.0548,0.0731,0.0414,0.1585,0.0519,0.0453,0.0406,0.0636,0.027,0.0644,0.1266,0.1631,0.1915,0.0799,0.3051
CVNCF,200,1,128,128,0.0001,50,0.0001,,5,2.2295,0.0637,0.0584,0.0545,0.0716,0.0419,0.163,0.052,0.0457,0.0412,0.0633,0.0283,0.0645,0.1291,0.168,0.1997,0.0816,0.321
IVNCF,200,1,128,128,5e-05,50,0.0001,,5,2.2308,0.0647,0.0594,0.0553,0.0726,0.0421,0.164,0.0531,0.0459,0.0413,0.0638,0.028,0.0664,0.1327,0.1678,0.1987,0.0814,0.3205
INCF,100,1,128,128,0.001,50,0.0005,,5,2.3073,0.064,0.0587,0.0547,0.0717,0.0415,0.1594,0.0524,0.0455,0.0409,0.0626,0.0275,0.0649,0.1276,0.1625,0.1921,0.0798,0.3091
