model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
CNCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,0.3455,0.3659,0.2773,0.3663
INCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,0.4681,0.5,0.3807,0.5085
INCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,0.4615,0.4925,0.3759,0.5008
INCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,0.4693,0.5012,0.3828,0.5103
INCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,0.4743,0.5055,0.3867,0.5146
INCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,0.4748,0.5054,0.3859,0.513
INCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,0.4788,0.5099,0.3894,0.5179
INCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,0.4734,0.5044,0.3853,0.5125
INCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,0.4739,0.5043,0.3851,0.5116
INCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,0.4808,0.513,0.3924,0.5221
INCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,0.4708,0.4993,0.3814,0.505
INCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,0.4788,0.5094,0.3891,0.5165
INCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,0.4727,0.5023,0.3842,0.5096
INCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,0.48,0.5098,0.3902,0.5165
INCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,0.4818,0.5124,0.3921,0.5194
INCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,0.4726,0.501,0.3834,0.5064
INCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,0.4695,0.498,0.3831,0.5052
INCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,0.4807,0.5105,0.3916,0.5178
INCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,0.4765,0.5055,0.3892,0.513
INCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,0.4822,0.512,0.3934,0.519
INCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,0.4771,0.5058,0.3887,0.512
INCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,0.4797,0.508,0.3896,0.514
INCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,0.4828,0.5114,0.3919,0.5168
INCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,0.4846,0.514,0.3943,0.5198
INCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,0.4834,0.5122,0.3931,0.5177
INCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,0.4807,0.5093,0.3919,0.516
INCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,0.4792,0.5074,0.3903,0.5127
INCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,0.4773,0.5048,0.3889,0.5103
INCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,0.482,0.5108,0.3923,0.5164
INCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,0.485,0.5138,0.3952,0.5202
INCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,0.4799,0.508,0.3908,0.5137
CVNCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,0.3359,0.3575,0.2738,0.3628
CVNCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,0.3435,0.3668,0.2804,0.3727
CVNCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,0.3524,0.3761,0.2874,0.3817
CVNCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,0.3526,0.3765,0.2886,0.3832
CVNCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,0.3515,0.3755,0.2883,0.3823
CVNCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,0.3502,0.3743,0.2878,0.3823
CVNCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,0.3477,0.3703,0.2848,0.3766
CVNCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,0.3453,0.3694,0.2837,0.3768
CVNCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,0.3475,0.3709,0.284,0.3768
CVNCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,0.3486,0.3715,0.2828,0.376
CVNCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,0.3497,0.3722,0.2841,0.3764
CVNCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,0.3482,0.3696,0.2807,0.3723
CVNCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,0.3516,0.3734,0.2837,0.3764
CVNCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,0.349,0.3708,0.2821,0.3741
CVNCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,0.348,0.3691,0.2805,0.3714
CVNCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,0.3483,0.3695,0.2817,0.3728
CVNCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,0.3488,0.3699,0.2809,0.3724
CVNCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,0.3503,0.3726,0.2844,0.3772
CVNCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,0.3536,0.3741,0.284,0.376
CVNCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,0.3571,0.3779,0.286,0.3794
CVNCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,0.3495,0.3704,0.2803,0.3712
CVNCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,0.3498,0.3706,0.2817,0.373
CVNCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,0.3491,0.3699,0.2819,0.3728
CVNCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,0.355,0.3747,0.2843,0.3758
CVNCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,0.3541,0.3752,0.2857,0.378
CVNCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,0.353,0.3737,0.2838,0.3753
CVNCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,0.3575,0.3781,0.2871,0.3794
CVNCF,100,1,128,128,5e-05,10,0.001,280,5,Adam,0.3553,0.3748,0.2838,0.3753
CVNCF,100,1,128,128,5e-05,10,0.001,290,5,Adam,0.3527,0.3734,0.2837,0.3752
CVNCF,100,1,128,128,5e-05,10,0.001,300,5,Adam,0.3549,0.3762,0.2857,0.3786
IVNCF,100,1,128,128,5e-05,10,0.0005,10,5,Adam,0.4561,0.4908,0.3774,0.5053
IVNCF,100,1,128,128,5e-05,10,0.0005,20,5,Adam,0.4551,0.4905,0.3781,0.5059
IVNCF,100,1,128,128,5e-05,10,0.0005,30,5,Adam,0.453,0.4883,0.3762,0.5035
IVNCF,100,1,128,128,5e-05,10,0.0005,40,5,Adam,0.4543,0.4887,0.3761,0.5031
IVNCF,100,1,128,128,5e-05,10,0.0005,50,5,Adam,0.4537,0.4888,0.3766,0.5037
IVNCF,100,1,128,128,5e-05,10,0.0005,60,5,Adam,0.4535,0.4878,0.3756,0.5019
IVNCF,100,1,128,128,5e-05,10,0.0005,70,5,Adam,0.4518,0.4863,0.375,0.5012
IVNCF,100,1,128,128,5e-05,10,0.0005,80,5,Adam,0.4544,0.4893,0.377,0.5044
IVNCF,100,1,128,128,5e-05,10,0.0005,90,5,Adam,0.4535,0.4876,0.3755,0.5015
IVNCF,100,1,128,128,5e-05,10,0.0005,100,5,Adam,0.4542,0.4882,0.3771,0.5032
IVNCF,100,1,128,128,5e-05,10,0.0005,110,5,Adam,0.454,0.488,0.3757,0.5019
IVNCF,100,1,128,128,5e-05,10,0.0005,120,5,Adam,0.4535,0.4881,0.3764,0.5027
IVNCF,100,1,128,128,5e-05,10,0.0005,130,5,Adam,0.4516,0.4854,0.3742,0.4998
IVNCF,100,1,128,128,5e-05,10,0.0005,140,5,Adam,0.4542,0.489,0.377,0.5038
IVNCF,100,1,128,128,5e-05,10,0.0005,150,5,Adam,0.4527,0.486,0.3741,0.4995
IVNCF,100,1,128,128,5e-05,10,0.0005,160,5,Adam,0.454,0.4874,0.3744,0.5001
IVNCF,100,1,128,128,5e-05,10,0.0005,170,5,Adam,0.4533,0.4871,0.3766,0.5016
IVNCF,100,1,128,128,5e-05,10,0.0005,180,5,Adam,0.4528,0.4863,0.375,0.5
IVNCF,100,1,128,128,5e-05,10,0.0005,190,5,Adam,0.4539,0.4873,0.376,0.5016
IVNCF,100,1,128,128,5e-05,10,0.0005,200,5,Adam,0.454,0.4881,0.3763,0.5025
