model,R-Precision,NDCG,MAP@5,MAP@10,MAP@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20
NCF,0.03594,0.0872,0.04516,0.04214,0.03832,0.04216,0.03738,0.03268,0.03016,0.05262,0.08872
E-NCF,0.03538,0.08662,0.04464,0.04178,0.03814,0.04184,0.03742,0.0326,0.0305,0.0525,0.08922
CE-NCF,0.0369,0.0899,0.0459,0.04282,0.03916,0.04246,0.03826,0.03358,0.03108,0.05484,0.09222
VNCF,0.04482,0.10998,0.05524,0.05154,0.04712,0.0512,0.0462,0.04046,0.0366,0.06546,0.11192
E-VNCF,0.04406,0.10818,0.05376,0.05072,0.04652,0.05094,0.04586,0.04014,0.03608,0.06422,0.11008
CE-VNCF,0.04558,0.11072,0.05652,0.05274,0.0481,0.05286,0.04714,0.04104,0.03796,0.0662,0.11318
