model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0886, 0.0018]","[0.0808, 0.0015]","[0.0762, 0.0013]","[0.1012, 0.0024]","[0.154, 0.0028]","[0.1844, 0.0028]","[0.2225, 0.0029]","[0.1236, 0.0027]","[0.069, 0.0012]","[0.0631, 0.001]","[0.065, 0.0009]","[0.0932, 0.002]","[0.2118, 0.0038]","[0.2969, 0.0043]","[0.4184, 0.0047]","[0.1438, 0.0033]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0946, 0.0019]","[0.0852, 0.0016]","[0.0797, 0.0014]","[0.108, 0.0024]","[0.1653, 0.0029]","[0.1943, 0.003]","[0.2313, 0.0029]","[0.1385, 0.0029]","[0.0716, 0.0013]","[0.0641, 0.001]","[0.065, 0.0009]","[0.1047, 0.0021]","[0.2259, 0.004]","[0.3071, 0.0044]","[0.4259, 0.0047]","[0.1654, 0.0035]"
E-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2974, 0.0027]","[0.254, 0.0022]","[0.2239, 0.0019]","[0.3714, 0.0036]","[0.5627, 0.0038]","[0.5996, 0.0036]","[0.6195, 0.0035]","[0.4878, 0.0041]","[0.1947, 0.0018]","[0.1511, 0.0014]","[0.1232, 0.0011]","[0.2821, 0.0027]","[0.7022, 0.0042]","[0.8025, 0.0037]","[0.8628, 0.0032]","[0.5356, 0.0046]"
CE-NCF,100,1,128,128,0.001,,0.0001,100,5,"[0.2917, 0.0026]","[0.2505, 0.0021]","[0.2221, 0.0019]","[0.364, 0.0035]","[0.5549, 0.0036]","[0.5976, 0.0034]","[0.6217, 0.0032]","[0.4761, 0.004]","[0.1932, 0.0018]","[0.1535, 0.0014]","[0.1268, 0.0012]","[0.2733, 0.0026]","[0.6999, 0.0041]","[0.8161, 0.0035]","[0.89, 0.0028]","[0.5244, 0.0046]"
E-VNCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.2807, 0.0026]","[0.2414, 0.0022]","[0.214, 0.0019]","[0.3466, 0.0035]","[0.5343, 0.0037]","[0.5734, 0.0035]","[0.5968, 0.0034]","[0.4566, 0.004]","[0.1887, 0.0018]","[0.1482, 0.0014]","[0.1225, 0.0011]","[0.266, 0.0026]","[0.6808, 0.0043]","[0.788, 0.0038]","[0.8594, 0.0032]","[0.5079, 0.0046]"
CE-VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.2973, 0.0027]","[0.2532, 0.0022]","[0.2229, 0.0019]","[0.3731, 0.0036]","[0.5632, 0.0038]","[0.5987, 0.0036]","[0.6186, 0.0035]","[0.4896, 0.0041]","[0.1927, 0.0018]","[0.1493, 0.0014]","[0.1219, 0.0011]","[0.2797, 0.0027]","[0.6972, 0.0043]","[0.7931, 0.0038]","[0.8531, 0.0034]","[0.534, 0.0046]"
