model,NDCG@5,NDCG@10,NDCG@20,MAP@5,MAP@10,MAP@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20
UserPop,0.1236,0.154,0.2225,0.1012,0.0886,0.0762,0.0932,0.069,0.065,0.1438,0.2118,0.4184
ItemPop,0.1385,0.1653,0.2313,0.108,0.0946,0.0797,0.1047,0.0716,0.065,0.1654,0.2259,0.4259
E-NCF,0.48102,0.55532,0.61204,0.36676,0.29344,0.22084,0.27742,0.1919,0.12176,0.52716,0.6925,0.85314
CE-NCF,0.47044,0.55204,0.61666,0.35974,0.29006,0.22128,0.27252,0.19424,0.12636,0.51986,0.70254,0.88586
E-VNCF,0.45448,0.53212,0.59388,0.34634,0.28006,0.21352,0.26506,0.18806,0.12194,0.50508,0.67808,0.85398
CE-VNCF,0.49466,0.56966,0.6246,0.3774,0.30098,0.22554,0.28326,0.19538,0.12298,0.53928,0.70574,0.86032
