model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,MAP@10,NDCG@10,Precision@10,Recall@10
INCF,100,1,128,128,0.001,10,0.0005,540,5,Adam,0.3202,0.6045,0.2002,0.7212
INCF,100,1,128,128,0.001,10,0.0005,550,5,Adam,0.3207,0.6069,0.2018,0.7275
INCF,100,1,128,128,0.001,10,0.0005,560,5,Adam,0.3207,0.6053,0.2013,0.7245
INCF,100,1,128,128,0.001,10,0.0005,570,5,Adam,0.3213,0.6073,0.2019,0.7271
INCF,100,1,128,128,0.001,10,0.0005,580,5,Adam,0.3217,0.608,0.2018,0.7275
INCF,100,1,128,128,0.001,10,0.0005,590,5,Adam,0.3216,0.6085,0.2033,0.7301
INCF,100,1,128,128,0.001,10,0.0005,600,5,Adam,0.3219,0.6088,0.2025,0.7306
INCF,100,1,128,128,0.001,10,0.0005,610,5,Adam,0.32,0.6048,0.2007,0.7233
INCF,100,1,128,128,0.001,10,0.0005,620,5,Adam,0.3221,0.6092,0.2027,0.7301
INCF,100,1,128,128,0.001,10,0.0005,630,5,Adam,0.3197,0.6049,0.2016,0.726
INCF,100,1,128,128,0.001,10,0.0005,640,5,Adam,0.3214,0.6095,0.203,0.7337
INCF,100,1,128,128,0.001,10,0.0005,650,5,Adam,0.3199,0.6052,0.2012,0.725
INCF,100,1,128,128,0.001,10,0.0005,660,5,Adam,0.3199,0.604,0.1997,0.7216
INCF,100,1,128,128,0.001,10,0.0005,670,5,Adam,0.3221,0.6085,0.2029,0.7292
INCF,100,1,128,128,0.001,10,0.0005,680,5,Adam,0.3199,0.6052,0.2016,0.7253
INCF,100,1,128,128,0.001,10,0.0005,690,5,Adam,0.3198,0.6071,0.2023,0.7302
INCF,100,1,128,128,0.001,10,0.0005,700,5,Adam,0.3209,0.6079,0.2029,0.7306
INCF,100,1,128,128,0.001,10,0.0005,710,5,Adam,0.3211,0.6067,0.2015,0.7262
INCF,100,1,128,128,0.001,10,0.0005,720,5,Adam,0.3197,0.6037,0.2004,0.7227
INCF,100,1,128,128,0.001,10,0.0005,730,5,Adam,0.322,0.6093,0.2025,0.731
INCF,100,1,128,128,0.001,10,0.0005,740,5,Adam,0.3211,0.6062,0.2023,0.7262
INCF,100,1,128,128,0.001,10,0.0005,750,5,Adam,0.3202,0.6051,0.2012,0.7255
INCF,100,1,128,128,0.001,10,0.0005,760,5,Adam,0.3225,0.6106,0.2027,0.733
INCF,100,1,128,128,0.001,10,0.0005,770,5,Adam,0.3216,0.6079,0.2029,0.7295
INCF,100,1,128,128,0.001,10,0.0005,780,5,Adam,0.3224,0.6098,0.2033,0.7314
INCF,100,1,128,128,0.001,10,0.0005,790,5,Adam,0.3219,0.6082,0.2025,0.7283
INCF,100,1,128,128,0.001,10,0.0005,800,5,Adam,0.3221,0.6087,0.2026,0.7298
INCF,100,1,128,128,0.001,10,0.0005,810,5,Adam,0.3215,0.6071,0.2017,0.7268
INCF,100,1,128,128,0.001,10,0.0005,820,5,Adam,0.32,0.6051,0.2006,0.7248
INCF,100,1,128,128,0.001,10,0.0005,830,5,Adam,0.3204,0.6043,0.2009,0.7235
INCF,100,1,128,128,0.001,10,0.0005,840,5,Adam,0.3198,0.6026,0.1991,0.7177
INCF,100,1,128,128,0.001,10,0.0005,850,5,Adam,0.3197,0.6035,0.2,0.7208
INCF,100,1,128,128,0.001,10,0.0005,860,5,Adam,0.3219,0.6092,0.2028,0.7313
INCF,100,1,128,128,0.001,10,0.0005,870,5,Adam,0.3195,0.6043,0.201,0.7259
INCF,100,1,128,128,0.001,10,0.0005,880,5,Adam,0.32,0.6035,0.2002,0.7202
INCF,100,1,128,128,0.001,10,0.0005,890,5,Adam,0.3192,0.6031,0.2008,0.7222
INCF,100,1,128,128,0.001,10,0.0005,900,5,Adam,0.3206,0.6059,0.2014,0.725
INCF,100,1,128,128,0.001,10,0.0005,910,5,Adam,0.3205,0.6049,0.2011,0.7228
INCF,100,1,128,128,0.001,10,0.0005,920,5,Adam,0.3214,0.6085,0.2029,0.7311
