model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0709, 0.001]","[0.0726, 0.0008]","[0.0739, 0.0007]","[0.0707, 0.0013]","[0.0809, 0.0009]","[0.1073, 0.001]","[0.1355, 0.001]","[0.0506, 0.0008]","[0.0744, 0.0008]","[0.0768, 0.0007]","[0.0817, 0.0006]","[0.0701, 0.001]","[0.0908, 0.001]","[0.1412, 0.0012]","[0.2026, 0.0014]","[0.0428, 0.0007]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0719, 0.001]","[0.0721, 0.0008]","[0.0731, 0.0007]","[0.0743, 0.0013]","[0.0805, 0.0009]","[0.1074, 0.001]","[0.1366, 0.001]","[0.0516, 0.0008]","[0.07, 0.0008]","[0.0741, 0.0006]","[0.0806, 0.0006]","[0.0665, 0.001]","[0.0868, 0.001]","[0.1387, 0.0012]","[0.202, 0.0014]","[0.0412, 0.0007]"
E-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.4352, 0.0022]","[0.3944, 0.0019]","[0.3612, 0.0017]","[0.4857, 0.0027]","[0.4638, 0.002]","[0.5167, 0.002]","[0.5498, 0.002]","[0.3532, 0.0018]","[0.3535, 0.0017]","[0.2891, 0.0013]","[0.2452, 0.0011]","[0.4367, 0.0024]","[0.4711, 0.0021]","[0.5727, 0.0021]","[0.6434, 0.002]","[0.2944, 0.0016]"
CE-NCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.3528, 0.0021]","[0.3222, 0.0018]","[0.2976, 0.0016]","[0.3925, 0.0027]","[0.3763, 0.002]","[0.4268, 0.002]","[0.4603, 0.002]","[0.2835, 0.0018]","[0.2899, 0.0016]","[0.244, 0.0013]","[0.2115, 0.001]","[0.3519, 0.0022]","[0.3835, 0.002]","[0.4808, 0.0021]","[0.5531, 0.0021]","[0.2354, 0.0016]"
E-VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.4161, 0.0021]","[0.3823, 0.0018]","[0.3538, 0.0016]","[0.4599, 0.0026]","[0.4502, 0.0018]","[0.5115, 0.0018]","[0.5509, 0.0017]","[0.3335, 0.0017]","[0.3486, 0.0016]","[0.2935, 0.0012]","[0.2534, 0.001]","[0.4135, 0.0022]","[0.4665, 0.0019]","[0.5854, 0.0019]","[0.6705, 0.0019]","[0.2787, 0.0015]"
CE-VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.4002, 0.0022]","[0.3673, 0.0019]","[0.3398, 0.0017]","[0.4412, 0.0027]","[0.4304, 0.0019]","[0.4879, 0.002]","[0.5259, 0.0019]","[0.3198, 0.0017]","[0.3351, 0.0017]","[0.281, 0.0013]","[0.2431, 0.0011]","[0.4004, 0.0023]","[0.4454, 0.002]","[0.5565, 0.0021]","[0.6382, 0.0021]","[0.2681, 0.0016]"
