model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0709, 0.001]","[0.0726, 0.0008]","[0.0739, 0.0007]","[0.0707, 0.0013]","[0.0809, 0.0009]","[0.1073, 0.001]","[0.1355, 0.001]","[0.0506, 0.0008]","[0.0744, 0.0008]","[0.0768, 0.0007]","[0.0817, 0.0006]","[0.0701, 0.001]","[0.0908, 0.001]","[0.1412, 0.0012]","[0.2026, 0.0014]","[0.0428, 0.0007]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0719, 0.001]","[0.0721, 0.0008]","[0.0731, 0.0007]","[0.0743, 0.0013]","[0.0805, 0.0009]","[0.1074, 0.001]","[0.1366, 0.001]","[0.0516, 0.0008]","[0.07, 0.0008]","[0.0741, 0.0006]","[0.0806, 0.0006]","[0.0665, 0.001]","[0.0868, 0.001]","[0.1387, 0.0012]","[0.202, 0.0014]","[0.0412, 0.0007]"
E-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.4432, 0.0022]","[0.4023, 0.0019]","[0.3687, 0.0017]","[0.493, 0.0027]","[0.4741, 0.002]","[0.5284, 0.0019]","[0.5621, 0.0019]","[0.3601, 0.0018]","[0.362, 0.0017]","[0.2961, 0.0013]","[0.251, 0.0011]","[0.4448, 0.0023]","[0.4828, 0.002]","[0.5872, 0.002]","[0.6592, 0.002]","[0.301, 0.0016]"
CE-NCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.3647, 0.0021]","[0.3327, 0.0018]","[0.3067, 0.0016]","[0.4053, 0.0027]","[0.3888, 0.002]","[0.439, 0.002]","[0.4721, 0.002]","[0.2935, 0.0018]","[0.2997, 0.0016]","[0.2505, 0.0013]","[0.216, 0.001]","[0.3658, 0.0022]","[0.3969, 0.002]","[0.4935, 0.0021]","[0.5647, 0.0021]","[0.2448, 0.0016]"
E-VNCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.418, 0.0021]","[0.3835, 0.0018]","[0.3546, 0.0016]","[0.4629, 0.0026]","[0.4519, 0.0018]","[0.5123, 0.0018]","[0.5516, 0.0017]","[0.3351, 0.0017]","[0.3492, 0.0016]","[0.293, 0.0012]","[0.2531, 0.001]","[0.4146, 0.0022]","[0.4675, 0.0019]","[0.5847, 0.0019]","[0.6692, 0.0019]","[0.2794, 0.0015]"
CE-VNCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.4033, 0.0021]","[0.3701, 0.0019]","[0.3421, 0.0016]","[0.445, 0.0027]","[0.4341, 0.0019]","[0.4914, 0.0019]","[0.5286, 0.0019]","[0.3227, 0.0017]","[0.3378, 0.0017]","[0.2827, 0.0013]","[0.2437, 0.0011]","[0.4035, 0.0023]","[0.4494, 0.002]","[0.5599, 0.0021]","[0.6399, 0.0021]","[0.2705, 0.0016]"
