model,NDCG@5,NDCG@10,NDCG@20,MAP@5,MAP@10,MAP@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20
UserPop,0.0506,0.0809,0.1355,0.0707,0.0709,0.0739,0.0701,0.0744,0.0817,0.0428,0.0908,0.2026
ItemPop,0.0516,0.0805,0.1366,0.0743,0.0719,0.0731,0.0665,0.07,0.0806,0.0412,0.0868,0.202
E-NCF,0.35922,0.47192,0.56026,0.49258,0.44184,0.36722,0.4434,0.35954,0.25006,0.3,0.47978,0.65694
CE-NCF,0.28836,0.38218,0.46596,0.3986,0.35856,0.30208,0.35918,0.29466,0.21382,0.24024,0.38998,0.5589
E-VNCF,0.33498,0.45188,0.55184,0.4625,0.41798,0.3549,0.41514,0.3497,0.2534,0.27956,0.46792,0.67032
CE-VNCF,0.31954,0.43024,0.52488,0.44126,0.40002,0.33948,0.39986,0.33504,0.24248,0.26762,0.4452,0.63614
