model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CE-NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.5815,0.0437,0.0471,0.0384,0.0301,0.0563
CE-NCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,3.5399,0.0457,0.048,0.0396,0.0311,0.0567
CE-NCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,3.5756,0.0423,0.045,0.0376,0.029,0.0547
CE-NCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,3.5756,0.0424,0.0457,0.038,0.0291,0.0553
CE-NCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,3.5518,0.0453,0.0483,0.0391,0.0309,0.0566
CE-NCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,3.5577,0.0449,0.0474,0.0395,0.0302,0.0569
CE-NCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,3.5679,0.0444,0.0471,0.0384,0.0298,0.0561
CE-NCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,3.573,0.0442,0.0469,0.0387,0.03,0.0557
CE-NCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,3.5951,0.0435,0.0462,0.0383,0.0293,0.055
CE-NCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,3.5815,0.0432,0.0455,0.0385,0.0288,0.0545
CE-VNCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.5475,0.0426,0.0443,0.039,0.0272,0.0531
CE-VNCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.5288,0.0433,0.046,0.0405,0.0291,0.0574
CE-VNCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.4498,0.0471,0.0495,0.0428,0.0315,0.0603
CE-VNCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.4982,0.045,0.0486,0.0419,0.0315,0.0586
CE-VNCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.4047,0.05,0.0544,0.0454,0.0357,0.0651
CE-VNCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.4217,0.0485,0.0505,0.0449,0.0322,0.0607
CE-VNCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.4209,0.0513,0.0533,0.0452,0.0345,0.0624
CE-VNCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.4022,0.0502,0.0529,0.0453,0.0346,0.0636
CE-VNCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.4285,0.0495,0.0523,0.0452,0.0327,0.063
CE-VNCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.3452,0.0529,0.0551,0.0478,0.0361,0.0655
CE-VNCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.3903,0.051,0.0536,0.0466,0.0355,0.064
CE-VNCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.3461,0.0523,0.0551,0.0475,0.0351,0.0668
CE-VNCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.392,0.0511,0.0535,0.0458,0.0347,0.0641
CE-VNCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.3325,0.0545,0.0568,0.0485,0.0365,0.0677
CE-VNCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.4107,0.051,0.0529,0.0458,0.0344,0.0626
CE-VNCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.4047,0.0519,0.0537,0.0467,0.0357,0.0631
CE-VNCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.3792,0.052,0.0556,0.0466,0.0358,0.0657
CE-VNCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.4005,0.0504,0.0526,0.0453,0.0332,0.0627
CE-VNCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.3971,0.051,0.0532,0.0456,0.0339,0.0641
CE-VNCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.3996,0.0522,0.0523,0.0462,0.0334,0.0616
CE-VNCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.3673,0.0515,0.055,0.047,0.0353,0.0663
CE-VNCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.4438,0.0505,0.0518,0.0449,0.0348,0.0608
CE-VNCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,3.4064,0.0503,0.0536,0.0463,0.0352,0.0645
CE-VNCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,3.3682,0.0527,0.0554,0.0471,0.0354,0.0664
CE-VNCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,3.4243,0.0505,0.0528,0.0451,0.0335,0.0632
CE-VNCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,3.3852,0.0514,0.0537,0.0463,0.0355,0.0636
CE-VNCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,3.403,0.0508,0.0539,0.046,0.0339,0.0663
CE-VNCF,100,1,128,128,5e-05,10,0.001,280,5,Adam,3.4285,0.0502,0.0521,0.046,0.0333,0.0626
CE-VNCF,100,1,128,128,5e-05,10,0.001,290,5,Adam,3.4294,0.0485,0.051,0.0453,0.0328,0.062
CE-VNCF,100,1,128,128,5e-05,10,0.001,300,5,Adam,3.3741,0.0522,0.0551,0.0467,0.0353,0.0656
VNCF,100,1,128,128,5e-05,10,0.0005,10,5,Adam,3.5688,0.044,0.0439,0.0402,0.029,0.0513
VNCF,100,1,128,128,5e-05,10,0.0005,20,5,Adam,3.5144,0.0445,0.0456,0.041,0.0288,0.0549
VNCF,100,1,128,128,5e-05,10,0.0005,30,5,Adam,3.4064,0.0475,0.0517,0.0439,0.0322,0.0635
VNCF,100,1,128,128,5e-05,10,0.0005,40,5,Adam,3.4668,0.0471,0.0513,0.0428,0.0337,0.0617
VNCF,100,1,128,128,5e-05,10,0.0005,50,5,Adam,3.4685,0.0466,0.0494,0.0427,0.0309,0.0599
VNCF,100,1,128,128,5e-05,10,0.0005,60,5,Adam,3.4464,0.0469,0.0493,0.0434,0.0305,0.0604
VNCF,100,1,128,128,5e-05,10,0.0005,70,5,Adam,3.5135,0.0464,0.0479,0.0421,0.0311,0.0569
VNCF,100,1,128,128,5e-05,10,0.0005,80,5,Adam,3.4285,0.0477,0.0499,0.0433,0.0317,0.0614
VNCF,100,1,128,128,5e-05,10,0.0005,90,5,Adam,3.4183,0.047,0.0509,0.0438,0.0312,0.0634
VNCF,100,1,128,128,5e-05,10,0.0005,100,5,Adam,3.409,0.0473,0.0512,0.044,0.034,0.0626
VNCF,100,1,128,128,5e-05,10,0.0005,110,5,Adam,3.4387,0.0475,0.0509,0.0434,0.033,0.0615
VNCF,100,1,128,128,5e-05,10,0.0005,120,5,Adam,3.4192,0.0488,0.0525,0.0445,0.0333,0.0638
VNCF,100,1,128,128,5e-05,10,0.0005,130,5,Adam,3.4336,0.0479,0.0505,0.0437,0.0331,0.0604
VNCF,100,1,128,128,5e-05,10,0.0005,140,5,Adam,3.3546,0.0506,0.0546,0.0464,0.0346,0.0668
VNCF,100,1,128,128,5e-05,10,0.0005,150,5,Adam,3.4234,0.0478,0.0507,0.0448,0.0331,0.0617
VNCF,100,1,128,128,5e-05,10,0.0005,160,5,Adam,3.3962,0.0506,0.054,0.0452,0.0359,0.0634
VNCF,100,1,128,128,5e-05,10,0.0005,170,5,Adam,3.4115,0.0487,0.0532,0.0446,0.0345,0.0639
VNCF,100,1,128,128,5e-05,10,0.0005,180,5,Adam,3.4192,0.0488,0.0516,0.0448,0.0332,0.0619
VNCF,100,1,128,128,5e-05,10,0.0005,190,5,Adam,3.42,0.0486,0.0527,0.0444,0.033,0.0652
VNCF,100,1,128,128,5e-05,10,0.0005,200,5,Adam,3.3767,0.0491,0.0528,0.0457,0.0346,0.0647
VNCF,100,1,128,128,5e-05,10,0.0005,210,5,Adam,3.3979,0.0495,0.0525,0.0454,0.0338,0.0635
VNCF,100,1,128,128,5e-05,10,0.0005,220,5,Adam,3.3852,0.0516,0.0542,0.0458,0.0348,0.0645
VNCF,100,1,128,128,5e-05,10,0.0005,230,5,Adam,3.3996,0.0486,0.0523,0.0451,0.0342,0.0634
VNCF,100,1,128,128,5e-05,10,0.0005,240,5,Adam,3.3835,0.0502,0.0539,0.0454,0.0345,0.0657
VNCF,100,1,128,128,5e-05,10,0.0005,250,5,Adam,3.4183,0.0491,0.0529,0.0448,0.0337,0.0648
VNCF,100,1,128,128,5e-05,10,0.0005,260,5,Adam,3.4056,0.05,0.053,0.0451,0.034,0.0636
VNCF,100,1,128,128,5e-05,10,0.0005,270,5,Adam,3.4413,0.049,0.0512,0.0443,0.0331,0.0617
VNCF,100,1,128,128,5e-05,10,0.0005,280,5,Adam,3.4175,0.0491,0.0517,0.0446,0.0333,0.0625
VNCF,100,1,128,128,5e-05,10,0.0005,290,5,Adam,3.403,0.0506,0.0527,0.0457,0.0348,0.0626
VNCF,100,1,128,128,5e-05,10,0.0005,300,5,Adam,3.42,0.0487,0.0522,0.0447,0.0341,0.0628
E-VNCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.6835,0.0403,0.0399,0.0366,0.0264,0.0461
E-VNCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.5263,0.0435,0.0452,0.0408,0.0285,0.0557
E-VNCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.5543,0.0427,0.0441,0.04,0.0278,0.054
E-VNCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.4761,0.047,0.0502,0.0427,0.0317,0.06
E-VNCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.4438,0.0466,0.0508,0.0432,0.0324,0.0624
E-VNCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.4158,0.0508,0.0531,0.0449,0.0338,0.0635
E-VNCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.4744,0.0469,0.0485,0.0427,0.0309,0.058
E-VNCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.4217,0.0507,0.0518,0.0454,0.0332,0.0616
E-VNCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.3979,0.0514,0.0539,0.0452,0.0344,0.0641
E-VNCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.4115,0.052,0.054,0.045,0.0349,0.0639
E-VNCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.3988,0.0513,0.0537,0.0458,0.0336,0.0657
E-VNCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.3452,0.0532,0.0555,0.0464,0.0347,0.066
E-VNCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.4047,0.0523,0.0551,0.0456,0.0352,0.066
E-VNCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.3614,0.0516,0.0545,0.0462,0.0354,0.0647
E-VNCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.3775,0.0512,0.0543,0.0457,0.0344,0.0661
E-VNCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.4073,0.0515,0.0539,0.0459,0.0339,0.0646
E-VNCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.3818,0.0528,0.0551,0.0459,0.0362,0.0642
E-VNCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.4064,0.0512,0.0538,0.0455,0.0361,0.0632
E-VNCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.3818,0.0517,0.0544,0.0468,0.0352,0.0645
E-VNCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.3529,0.0543,0.0558,0.0473,0.0354,0.066
E-VNCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.3886,0.0508,0.0537,0.0454,0.0347,0.0642
E-VNCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.375,0.0527,0.0551,0.0459,0.035,0.0659
E-VNCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,3.3911,0.052,0.0548,0.0455,0.0346,0.066
E-VNCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,3.3741,0.0534,0.056,0.0467,0.0365,0.0655
E-VNCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,3.3452,0.0527,0.0558,0.0473,0.0353,0.0665
E-VNCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,3.4107,0.0514,0.0535,0.0451,0.0344,0.063
E-VNCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,3.3605,0.0533,0.0557,0.0468,0.0361,0.0657
E-VNCF,100,1,128,128,5e-05,10,0.001,280,5,Adam,3.352,0.0524,0.0546,0.0463,0.035,0.0657
E-VNCF,100,1,128,128,5e-05,10,0.001,290,5,Adam,3.3894,0.0507,0.0536,0.0458,0.0348,0.0641
E-VNCF,100,1,128,128,5e-05,10,0.001,300,5,Adam,3.3792,0.0521,0.055,0.0464,0.0356,0.065
E-NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.579,0.0426,0.0444,0.0388,0.0283,0.0539
E-NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.6444,0.0389,0.0419,0.0363,0.0263,0.0526
E-NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.5705,0.0423,0.0447,0.0386,0.029,0.0542
E-NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.5586,0.0442,0.0467,0.0394,0.0304,0.0561
E-NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.6164,0.041,0.0433,0.0368,0.0284,0.0523
E-NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.5994,0.0419,0.046,0.0374,0.0298,0.0561
E-NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.522,0.0442,0.0475,0.0399,0.0305,0.0575
E-NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.5943,0.0428,0.0444,0.0382,0.0288,0.0531
E-NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.6274,0.0413,0.0426,0.0371,0.0272,0.051
E-NCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,3.5807,0.0429,0.0461,0.0376,0.0301,0.0541
E-NCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,3.59,0.0418,0.0446,0.0383,0.0289,0.055
E-NCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,3.5611,0.0438,0.0472,0.0385,0.0301,0.057
E-NCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,3.5654,0.0448,0.0475,0.0394,0.0303,0.0572
E-NCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,3.5824,0.043,0.0459,0.0382,0.0297,0.0546
E-NCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,3.5679,0.0429,0.0458,0.0388,0.0303,0.0553
E-NCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,3.562,0.0441,0.0462,0.039,0.0303,0.0544
E-NCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,3.6529,0.04,0.0421,0.036,0.0258,0.0513
E-NCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,3.5773,0.0436,0.0448,0.0386,0.0283,0.0533
E-NCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,3.5552,0.0441,0.0459,0.0388,0.0298,0.0552
E-NCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,3.6249,0.0408,0.0429,0.0368,0.0281,0.0514
E-NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.6325,0.0422,0.0431,0.0369,0.028,0.0511
E-NCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,3.6317,0.0413,0.043,0.0366,0.0274,0.0513
E-NCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,3.6172,0.0418,0.0439,0.0374,0.0291,0.0518
E-NCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,3.6376,0.0412,0.0419,0.0365,0.0274,0.0498
E-NCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,3.6274,0.0404,0.0426,0.0363,0.0272,0.0513
E-NCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,3.6036,0.0425,0.0437,0.0379,0.0285,0.052
E-NCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,3.5824,0.0432,0.0461,0.038,0.0287,0.0546
E-NCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,3.6274,0.0414,0.0434,0.0367,0.0276,0.0509
E-NCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,3.5934,0.044,0.0455,0.038,0.0294,0.0541
E-NCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,3.6079,0.0418,0.0441,0.0373,0.0292,0.0528
NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.5883,0.0409,0.0427,0.0385,0.0276,0.0525
NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.6011,0.0418,0.0431,0.0377,0.0275,0.0527
NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.5475,0.0431,0.0467,0.0386,0.0302,0.0562
NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.5756,0.0429,0.0456,0.0386,0.0292,0.0536
NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.5662,0.0421,0.045,0.0391,0.0286,0.0559
NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.5866,0.0414,0.0445,0.038,0.0288,0.0555
NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.6138,0.0394,0.0423,0.0372,0.0278,0.0519
NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.5764,0.0409,0.0441,0.0384,0.0276,0.055
NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.6529,0.0377,0.0413,0.036,0.0261,0.0523
NCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,3.562,0.0407,0.0439,0.039,0.0266,0.0565
NCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,3.5798,0.0412,0.044,0.0379,0.0277,0.0539
NCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,3.6359,0.0403,0.043,0.0369,0.0275,0.0523
NCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,3.6079,0.0396,0.0427,0.0378,0.0276,0.053
NCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,3.5603,0.0432,0.0455,0.0393,0.0279,0.056
NCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,3.5535,0.0437,0.0455,0.0401,0.0288,0.0549
NCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,3.6317,0.0409,0.0422,0.0371,0.0265,0.0514
NCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,3.5994,0.0421,0.0445,0.0384,0.0283,0.0538
NCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,3.6155,0.0424,0.0438,0.0383,0.0287,0.0526
NCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,3.5807,0.0432,0.0452,0.0392,0.0291,0.0543
NCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,3.6376,0.04,0.0421,0.0374,0.0262,0.0529
NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.6546,0.04,0.0424,0.0369,0.0274,0.0516
