model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.6622,0.0394,0.0405,0.0356,0.0258,0.048
NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.5577,0.0414,0.0451,0.0387,0.0292,0.0555
NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.6028,0.04,0.0448,0.0363,0.028,0.0563
NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.6266,0.0402,0.0431,0.0367,0.0271,0.0526
NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.5288,0.0431,0.0464,0.0398,0.0295,0.0565
NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.5926,0.0419,0.0467,0.0383,0.03,0.0577
NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.5271,0.0428,0.0467,0.0392,0.0302,0.0564
NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.5509,0.0439,0.0472,0.0395,0.0302,0.0576
NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.5186,0.0447,0.0485,0.0399,0.0307,0.0588
NCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,3.641,0.0398,0.0438,0.0362,0.0267,0.0546
NCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,3.5756,0.0424,0.0452,0.0374,0.0297,0.0544
NCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,3.5433,0.045,0.0476,0.0398,0.0299,0.0575
NCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,3.5586,0.0424,0.0459,0.0381,0.0289,0.0567
NCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,3.5773,0.0427,0.0453,0.0382,0.0281,0.055
NCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,3.5628,0.0429,0.0464,0.0381,0.0285,0.0573
NCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,3.5756,0.0413,0.0446,0.0382,0.0277,0.0556
NCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,3.5713,0.0411,0.0445,0.0376,0.028,0.0554
NCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,3.5637,0.0422,0.0452,0.0386,0.0283,0.0557
NCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,3.613,0.0413,0.0441,0.0367,0.0282,0.0538
NCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,3.5688,0.0428,0.0455,0.0388,0.0283,0.056
NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.528,0.0438,0.0469,0.0399,0.0297,0.0586
NCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,3.6189,0.0402,0.0424,0.0369,0.0273,0.0522
NCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,3.6223,0.0405,0.0436,0.0367,0.0279,0.0534
NCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,3.5535,0.0427,0.0452,0.0384,0.0289,0.0559
NCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,3.5866,0.0418,0.0439,0.0378,0.028,0.0537
NCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,3.5883,0.0429,0.045,0.0383,0.0277,0.0551
NCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,3.5314,0.0439,0.0483,0.0394,0.0298,0.06
NCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,3.6597,0.04,0.0434,0.0361,0.0288,0.0524
NCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,3.5603,0.044,0.0464,0.0388,0.0294,0.0562
NCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,3.5866,0.0432,0.0458,0.0387,0.0283,0.0555
CE-NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.6461,0.0398,0.0414,0.0369,0.0263,0.0503
CE-NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.5679,0.0416,0.0449,0.0386,0.0287,0.0554
CE-NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.6104,0.0408,0.0429,0.0375,0.0273,0.0521
CE-NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.607,0.041,0.043,0.037,0.0285,0.0518
CE-NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.5798,0.0445,0.0468,0.0386,0.0304,0.056
CE-NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.5543,0.0429,0.0456,0.0385,0.0291,0.0555
CE-NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.5297,0.0442,0.0484,0.039,0.0296,0.0597
CE-NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.5501,0.0446,0.049,0.0392,0.0308,0.0594
CE-NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.522,0.0441,0.0475,0.0399,0.0303,0.0577
CE-NCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,3.5067,0.0452,0.0493,0.0404,0.0309,0.0597
CE-NCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,3.5892,0.0424,0.0447,0.038,0.0277,0.0552
CE-NCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,3.5858,0.0425,0.045,0.0377,0.0286,0.0545
CE-NCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,3.5526,0.0438,0.0479,0.0388,0.03,0.0584
CE-NCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,3.5747,0.0437,0.0464,0.0383,0.0303,0.055
CE-NCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,3.5926,0.0407,0.0438,0.0374,0.027,0.053
CE-NCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,3.5526,0.0439,0.0476,0.0394,0.0294,0.058
CE-NCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,3.5917,0.0418,0.0443,0.0379,0.0271,0.0543
CE-NCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,3.5161,0.0448,0.0484,0.0403,0.0315,0.0582
CE-NCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,3.5535,0.0429,0.0471,0.0385,0.0306,0.0578
CE-NCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,3.6011,0.0413,0.0447,0.0376,0.0284,0.0548
CE-NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.5297,0.0435,0.0475,0.0393,0.0293,0.059
CE-NCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,3.5866,0.0426,0.0457,0.038,0.0297,0.0547
CE-NCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,3.5237,0.0434,0.0469,0.0403,0.029,0.0583
CE-NCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,3.6104,0.0413,0.044,0.0374,0.0281,0.0536
CE-NCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,3.6079,0.0432,0.0454,0.0382,0.0289,0.0545
CE-NCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,3.5577,0.0442,0.0471,0.0395,0.0291,0.0573
CE-NCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,3.6155,0.0433,0.045,0.037,0.0294,0.0531
CE-NCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,3.6079,0.0421,0.0447,0.0373,0.0289,0.0535
CE-NCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,3.6011,0.0426,0.0441,0.0382,0.0289,0.0521
CE-NCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,3.6427,0.0416,0.0451,0.037,0.0282,0.0534
CE-VNCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.6317,0.0418,0.0431,0.0375,0.0273,0.0513
CE-VNCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.4642,0.0478,0.0501,0.0418,0.0331,0.0592
CE-VNCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.5033,0.0453,0.0475,0.0413,0.0306,0.057
CE-VNCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.4812,0.0461,0.0483,0.0417,0.0319,0.0578
CE-VNCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.4676,0.0465,0.0488,0.0428,0.032,0.0593
CE-VNCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.4234,0.0496,0.0519,0.0448,0.0321,0.0629
CE-VNCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.4625,0.0488,0.0513,0.0438,0.0324,0.0614
CE-VNCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.4302,0.0481,0.0516,0.0448,0.0332,0.0629
CE-VNCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.392,0.0506,0.0534,0.0455,0.0339,0.0648
CE-VNCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.3733,0.0513,0.0545,0.0465,0.0354,0.0652
CE-VNCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.4098,0.0511,0.054,0.0458,0.0355,0.0637
CE-VNCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.4005,0.0508,0.0539,0.0459,0.0349,0.0652
CE-VNCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.4319,0.0505,0.0521,0.0451,0.0335,0.0623
CE-VNCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.3486,0.0524,0.0552,0.047,0.036,0.0666
CE-VNCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.437,0.0491,0.0523,0.0446,0.0344,0.0632
CE-VNCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.4659,0.0492,0.0517,0.0441,0.0335,0.062
CE-VNCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.3699,0.0515,0.0553,0.0466,0.0357,0.0673
CE-VNCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.3971,0.0521,0.054,0.0462,0.0353,0.0637
CE-VNCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.3546,0.0536,0.0567,0.0471,0.0358,0.0677
CE-VNCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.4285,0.0504,0.0532,0.0454,0.0353,0.0642
CE-VNCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.3427,0.053,0.057,0.0476,0.0361,0.0687
CE-VNCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.3563,0.0528,0.0562,0.0475,0.0372,0.0663
CE-VNCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,3.3792,0.052,0.0545,0.0465,0.0356,0.065
CE-VNCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,3.352,0.0525,0.056,0.0469,0.0368,0.0674
CE-VNCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,3.3325,0.0538,0.0565,0.0472,0.0359,0.0675
CE-VNCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,3.3622,0.0521,0.0553,0.0465,0.0355,0.0666
CE-VNCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,3.3724,0.0525,0.0546,0.0466,0.0357,0.0656
CE-VNCF,100,1,128,128,5e-05,10,0.001,280,5,Adam,3.3622,0.0532,0.0559,0.0476,0.0369,0.067
CE-VNCF,100,1,128,128,5e-05,10,0.001,290,5,Adam,3.409,0.0517,0.0545,0.0464,0.0359,0.0644
CE-VNCF,100,1,128,128,5e-05,10,0.001,300,5,Adam,3.3427,0.0521,0.0557,0.0477,0.0347,0.069
VNCF,100,1,128,128,5e-05,10,0.0005,10,5,Adam,3.6079,0.0404,0.0412,0.0373,0.0271,0.0493
VNCF,100,1,128,128,5e-05,10,0.0005,20,5,Adam,3.5892,0.0425,0.0436,0.0396,0.0291,0.0512
VNCF,100,1,128,128,5e-05,10,0.0005,30,5,Adam,3.5135,0.0439,0.0468,0.0414,0.029,0.0578
VNCF,100,1,128,128,5e-05,10,0.0005,40,5,Adam,3.5169,0.0454,0.0466,0.0413,0.0294,0.0567
VNCF,100,1,128,128,5e-05,10,0.0005,50,5,Adam,3.4651,0.0474,0.0507,0.0433,0.0331,0.0622
VNCF,100,1,128,128,5e-05,10,0.0005,60,5,Adam,3.4642,0.0478,0.0508,0.0438,0.0322,0.0626
VNCF,100,1,128,128,5e-05,10,0.0005,70,5,Adam,3.4498,0.0461,0.0496,0.0438,0.0319,0.0608
VNCF,100,1,128,128,5e-05,10,0.0005,80,5,Adam,3.4591,0.048,0.0504,0.0436,0.0328,0.0603
VNCF,100,1,128,128,5e-05,10,0.0005,90,5,Adam,3.4515,0.0481,0.0502,0.0434,0.0314,0.061
VNCF,100,1,128,128,5e-05,10,0.0005,100,5,Adam,3.4243,0.0477,0.0507,0.0446,0.0321,0.0621
VNCF,100,1,128,128,5e-05,10,0.0005,110,5,Adam,3.4047,0.0482,0.0516,0.0452,0.0319,0.064
VNCF,100,1,128,128,5e-05,10,0.0005,120,5,Adam,3.4413,0.0475,0.0501,0.0442,0.0324,0.0618
VNCF,100,1,128,128,5e-05,10,0.0005,130,5,Adam,3.4141,0.0482,0.0517,0.0446,0.0328,0.0637
VNCF,100,1,128,128,5e-05,10,0.0005,140,5,Adam,3.4005,0.0511,0.0537,0.0462,0.0343,0.0648
VNCF,100,1,128,128,5e-05,10,0.0005,150,5,Adam,3.4464,0.048,0.0503,0.0437,0.0328,0.0609
VNCF,100,1,128,128,5e-05,10,0.0005,160,5,Adam,3.4379,0.0487,0.0515,0.0451,0.0329,0.0631
VNCF,100,1,128,128,5e-05,10,0.0005,170,5,Adam,3.4039,0.0504,0.0524,0.0451,0.0331,0.0632
VNCF,100,1,128,128,5e-05,10,0.0005,180,5,Adam,3.4013,0.0495,0.0534,0.0457,0.034,0.0657
VNCF,100,1,128,128,5e-05,10,0.0005,190,5,Adam,3.4149,0.0502,0.0526,0.0456,0.0341,0.0623
VNCF,100,1,128,128,5e-05,10,0.0005,200,5,Adam,3.4081,0.0491,0.0523,0.0447,0.0333,0.0639
VNCF,100,1,128,128,5e-05,10,0.0005,210,5,Adam,3.4056,0.0507,0.0531,0.0455,0.0333,0.0639
VNCF,100,1,128,128,5e-05,10,0.0005,220,5,Adam,3.4047,0.0499,0.0532,0.0463,0.0344,0.0652
VNCF,100,1,128,128,5e-05,10,0.0005,230,5,Adam,3.3818,0.0506,0.0535,0.0464,0.0351,0.0647
VNCF,100,1,128,128,5e-05,10,0.0005,240,5,Adam,3.3886,0.0508,0.0541,0.0461,0.0348,0.0651
VNCF,100,1,128,128,5e-05,10,0.0005,250,5,Adam,3.4064,0.0499,0.0524,0.0454,0.0335,0.0633
VNCF,100,1,128,128,5e-05,10,0.0005,260,5,Adam,3.3767,0.0513,0.0538,0.0466,0.0346,0.0643
VNCF,100,1,128,128,5e-05,10,0.0005,270,5,Adam,3.3648,0.0507,0.0539,0.0468,0.034,0.0662
VNCF,100,1,128,128,5e-05,10,0.0005,280,5,Adam,3.386,0.0521,0.0542,0.0469,0.0346,0.0647
VNCF,100,1,128,128,5e-05,10,0.0005,290,5,Adam,3.3665,0.0517,0.0541,0.0464,0.0354,0.0652
VNCF,100,1,128,128,5e-05,10,0.0005,300,5,Adam,3.3571,0.0522,0.0549,0.047,0.0358,0.0661
E-VNCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.6104,0.0415,0.0419,0.0384,0.0264,0.0509
E-VNCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.5399,0.0449,0.0459,0.0406,0.0297,0.0546
E-VNCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.4642,0.0452,0.0485,0.0431,0.0302,0.0606
E-VNCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.4583,0.0492,0.052,0.0441,0.0333,0.0628
E-VNCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.4753,0.0467,0.0482,0.0429,0.0311,0.0578
E-VNCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.4353,0.049,0.0521,0.0441,0.033,0.0634
E-VNCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.4217,0.0495,0.0523,0.0446,0.0329,0.0641
E-VNCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.4353,0.0502,0.0529,0.0449,0.0337,0.0642
E-VNCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.4464,0.0503,0.0517,0.0446,0.0325,0.0619
E-VNCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.4226,0.0522,0.0537,0.0455,0.0352,0.0632
E-VNCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.4455,0.0497,0.0516,0.0442,0.0326,0.0623
E-VNCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.3648,0.0536,0.0559,0.0468,0.0353,0.0668
E-VNCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.3648,0.0533,0.0559,0.0469,0.0359,0.0666
E-VNCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.3563,0.0527,0.0553,0.0473,0.0356,0.0665
E-VNCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.3597,0.0528,0.0553,0.047,0.0351,0.0666
E-VNCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.3546,0.0523,0.0558,0.0469,0.0355,0.0672
