model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.658,0.038,0.0401,0.0354,0.0248,0.0499
NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.641,0.0391,0.0403,0.0366,0.0266,0.0496
NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.6257,0.0408,0.0433,0.0368,0.0277,0.0516
NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.4991,0.0437,0.0475,0.0407,0.0315,0.0582
NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.6274,0.04,0.0424,0.0367,0.0271,0.0523
NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.6104,0.0407,0.0441,0.0367,0.0279,0.0541
NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.5739,0.0418,0.0458,0.0385,0.0294,0.0565
NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.5628,0.0437,0.0457,0.0384,0.0295,0.0543
NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.6164,0.0401,0.0438,0.0366,0.0274,0.0539
NCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,3.5841,0.0425,0.0454,0.0381,0.0284,0.055
NCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,3.6155,0.0417,0.0437,0.0368,0.027,0.0531
NCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,3.5849,0.0425,0.0449,0.0383,0.0286,0.0543
NCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,3.6104,0.0405,0.0421,0.0366,0.026,0.0525
NCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,3.596,0.0416,0.0438,0.0378,0.0283,0.0536
NCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,3.5705,0.042,0.0444,0.0386,0.0283,0.0551
NCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,3.607,0.0414,0.0431,0.0373,0.0289,0.0503
NCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,3.5832,0.0427,0.0447,0.0379,0.0286,0.0535
NCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,3.6181,0.042,0.0439,0.0372,0.0273,0.0534
NCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,3.658,0.0387,0.04,0.0357,0.0251,0.0496
NCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,3.6283,0.0415,0.0432,0.0371,0.0281,0.052
NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.641,0.041,0.042,0.0363,0.0266,0.0507
