model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0612, 0.0019]","[0.0636, 0.0016]","[0.0656, 0.0014]","[0.0607, 0.0025]","[0.0706, 0.0018]","[0.0956, 0.0019]","[0.1231, 0.002]","[0.0429, 0.0015]","[0.0657, 0.0015]","[0.0698, 0.0013]","[0.0756, 0.0012]","[0.0598, 0.002]","[0.0802, 0.0019]","[0.1278, 0.0024]","[0.1879, 0.0029]","[0.0358, 0.0013]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0587, 0.0018]","[0.0613, 0.0016]","[0.0639, 0.0014]","[0.0566, 0.0024]","[0.0693, 0.0018]","[0.0942, 0.0019]","[0.1244, 0.002]","[0.0399, 0.0015]","[0.0637, 0.0015]","[0.0681, 0.0013]","[0.0768, 0.0012]","[0.0532, 0.0019]","[0.0795, 0.002]","[0.1274, 0.0025]","[0.1933, 0.0029]","[0.0328, 0.0013]"
INCF,200,1,128,128,0.0001,,0.0001,100,10,"[0.403, 0.0046]","[0.3676, 0.004]","[0.3381, 0.0036]","[0.4461, 0.0057]","[0.4371, 0.0043]","[0.4904, 0.0043]","[0.5228, 0.0043]","[0.3289, 0.0039]","[0.3333, 0.0037]","[0.2757, 0.0029]","[0.2343, 0.0023]","[0.4029, 0.0049]","[0.4508, 0.0045]","[0.5543, 0.0046]","[0.6242, 0.0046]","[0.2773, 0.0035]"
CNCF,200,1,128,128,0.0001,,0.0001,100,10,"[0.3707, 0.0048]","[0.3395, 0.0042]","[0.3127, 0.0037]","[0.4059, 0.0058]","[0.4004, 0.0045]","[0.4488, 0.0046]","[0.4787, 0.0047]","[0.2991, 0.0039]","[0.3112, 0.0039]","[0.2564, 0.003]","[0.2179, 0.0024]","[0.3743, 0.005]","[0.4177, 0.0047]","[0.511, 0.0051]","[0.5752, 0.0052]","[0.256, 0.0036]"
IVNCF,200,1,128,128,0.0001,,0.0001,100,10,"[0.3602, 0.0042]","[0.3305, 0.0036]","[0.3073, 0.0032]","[0.403, 0.0054]","[0.389, 0.0038]","[0.4495, 0.0039]","[0.4887, 0.0038]","[0.2918, 0.0035]","[0.2962, 0.0032]","[0.2571, 0.0026]","[0.2255, 0.0021]","[0.3578, 0.0044]","[0.4024, 0.004]","[0.5212, 0.0043]","[0.6068, 0.0043]","[0.2444, 0.0032]"
CVNCF,200,1,128,128,0.0001,,0.0001,100,10,"[0.3276, 0.0044]","[0.3017, 0.0038]","[0.2808, 0.0034]","[0.3621, 0.0055]","[0.3544, 0.004]","[0.4077, 0.0042]","[0.4428, 0.0043]","[0.263, 0.0036]","[0.2745, 0.0034]","[0.236, 0.0027]","[0.2067, 0.0023]","[0.3275, 0.0045]","[0.37, 0.0043]","[0.4741, 0.0047]","[0.5501, 0.0049]","[0.2218, 0.0032]"
