model,rank,num_layers,batch_size,lambda,topK,learning_rate,epoch,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
NCF,100,1,1024,0.001,,0.0001,50,"[3.6317, 0.0338]","[0.0219, 0.0011]","[0.0203, 0.0009]","[0.0192, 0.0008]","[0.0241, 0.0016]","[0.0146, 0.0005]","[0.1175, 0.0034]","[0.0188, 0.0008]","[0.0164, 0.0006]","[0.015, 0.0005]","[0.0221, 0.0012]","[0.0093, 0.0002]","[0.0268, 0.0025]","[0.1353, 0.0057]","[0.1751, 0.0064]","[0.2109, 0.0068]","[0.0773, 0.0044]","[0.3273, 0.0078]"
NCF,100,1,1024,0.001,,0.0005,50,"[3.9522, 0.0317]","[0.013, 0.0008]","[0.0136, 0.0007]","[0.0133, 0.0006]","[0.0104, 0.001]","[0.0104, 0.0004]","[0.077, 0.0025]","[0.0167, 0.0007]","[0.0138, 0.0005]","[0.0116, 0.0004]","[0.012, 0.0009]","[0.0067, 0.0002]","[0.0085, 0.0012]","[0.1236, 0.0055]","[0.1481, 0.0059]","[0.1637, 0.0062]","[0.0412, 0.0033]","[0.2271, 0.0069]"
NCF,100,1,1024,0.001,,0.001,50,"[3.7776, 0.0333]","[0.0142, 0.0008]","[0.0151, 0.0007]","[0.015, 0.0006]","[0.0097, 0.0009]","[0.0121, 0.0004]","[0.0868, 0.0026]","[0.0197, 0.0008]","[0.0157, 0.0006]","[0.0141, 0.0005]","[0.0134, 0.001]","[0.0077, 0.0002]","[0.0077, 0.0011]","[0.1471, 0.006]","[0.1691, 0.0062]","[0.1967, 0.0066]","[0.0436, 0.0033]","[0.2566, 0.0072]"
NCF,100,1,1024,0.01,,0.0001,50,"[2.6104, 0.035]","[0.0341, 0.0013]","[0.0331, 0.0011]","[0.032, 0.0009]","[0.0337, 0.0018]","[0.0255, 0.0006]","[0.204, 0.0036]","[0.0335, 0.001]","[0.0297, 0.0007]","[0.0279, 0.0006]","[0.0355, 0.0015]","[0.0167, 0.0003]","[0.0319, 0.0027]","[0.2413, 0.0071]","[0.3211, 0.0078]","[0.4056, 0.0082]","[0.1292, 0.0056]","[0.5961, 0.0081]"
NCF,100,1,1024,0.01,,0.0005,50,"[2.5462, 0.0335]","[0.0332, 0.0012]","[0.032, 0.001]","[0.0312, 0.0009]","[0.0322, 0.0015]","[0.0262, 0.0005]","[0.2143, 0.0032]","[0.0311, 0.001]","[0.0293, 0.0007]","[0.0279, 0.0006]","[0.0413, 0.0015]","[0.019, 0.0003]","[0.0232, 0.0021]","[0.2168, 0.0068]","[0.3049, 0.0076]","[0.3896, 0.0081]","[0.1519, 0.006]","[0.6689, 0.0078]"
NCF,100,1,1024,0.01,,0.001,50,"[2.1007, 0.036]","[0.0728, 0.002]","[0.0636, 0.0016]","[0.0571, 0.0013]","[0.0868, 0.0029]","[0.0378, 0.0007]","[0.2999, 0.0049]","[0.0515, 0.0011]","[0.0417, 0.0008]","[0.0352, 0.0006]","[0.0703, 0.0019]","[0.0193, 0.0003]","[0.1099, 0.005]","[0.3767, 0.008]","[0.4531, 0.0083]","[0.5097, 0.0083]","[0.2536, 0.0072]","[0.6848, 0.0077]"
NCF,100,1,1024,0.1,,0.0001,50,"[2.0084, 0.0362]","[0.0822, 0.0021]","[0.0708, 0.0017]","[0.0631, 0.0014]","[0.1012, 0.0031]","[0.0407, 0.0008]","[0.3201, 0.0052]","[0.055, 0.0012]","[0.0442, 0.0008]","[0.0372, 0.0007]","[0.0775, 0.002]","[0.0195, 0.0003]","[0.1269, 0.0053]","[0.3973, 0.0081]","[0.4807, 0.0083]","[0.5389, 0.0083]","[0.2801, 0.0074]","[0.6906, 0.0077]"
NCF,100,1,1024,0.1,,0.0005,50,"[2.0792, 0.0354]","[0.0661, 0.0019]","[0.0594, 0.0015]","[0.0542, 0.0013]","[0.0777, 0.0027]","[0.037, 0.0007]","[0.2856, 0.0045]","[0.05, 0.0011]","[0.0428, 0.0008]","[0.0366, 0.0006]","[0.0648, 0.0019]","[0.0193, 0.0003]","[0.0755, 0.004]","[0.3634, 0.008]","[0.4639, 0.0083]","[0.5285, 0.0083]","[0.2334, 0.007]","[0.6895, 0.0077]"
NCF,100,1,1024,0.1,,0.001,50,"[2.1687, 0.0354]","[0.0632, 0.0019]","[0.0565, 0.0015]","[0.0515, 0.0012]","[0.0749, 0.0027]","[0.0355, 0.0007]","[0.2794, 0.0045]","[0.0481, 0.0011]","[0.0399, 0.0008]","[0.034, 0.0006]","[0.0607, 0.0018]","[0.0193, 0.0003]","[0.0747, 0.004]","[0.3465, 0.0079]","[0.4318, 0.0082]","[0.4892, 0.0083]","[0.2159, 0.0068]","[0.6875, 0.0077]"
NCF,100,1,1024,1.0,,0.0001,50,"[3.5656, 0.0361]","[0.0375, 0.0015]","[0.0311, 0.0012]","[0.0271, 0.001]","[0.048, 0.0021]","[0.0174, 0.0005]","[0.1388, 0.0042]","[0.0224, 0.0008]","[0.0166, 0.0006]","[0.0142, 0.0004]","[0.0387, 0.0015]","[0.008, 0.0002]","[0.045, 0.0032]","[0.1714, 0.0064]","[0.1835, 0.0065]","[0.2039, 0.0067]","[0.153, 0.0061]","[0.293, 0.0076]"
NCF,100,1,1024,1.0,,0.0005,50,"[3.7278, 0.0321]","[0.0196, 0.0011]","[0.0178, 0.0009]","[0.0165, 0.0007]","[0.023, 0.0016]","[0.013, 0.0004]","[0.1151, 0.0032]","[0.0153, 0.0007]","[0.0135, 0.0005]","[0.0122, 0.0004]","[0.018, 0.001]","[0.0098, 0.0002]","[0.0243, 0.0024]","[0.1062, 0.0051]","[0.1417, 0.0058]","[0.1691, 0.0062]","[0.0605, 0.0039]","[0.3454, 0.0079]"
NCF,100,1,1024,1.0,,0.001,50,"[3.8703, 0.0302]","[0.0168, 0.0011]","[0.015, 0.0008]","[0.0139, 0.0007]","[0.02, 0.0015]","[0.0115, 0.0004]","[0.1032, 0.0032]","[0.012, 0.0006]","[0.0114, 0.0005]","[0.0103, 0.0004]","[0.0169, 0.001]","[0.0094, 0.0002]","[0.0273, 0.0026]","[0.078, 0.0044]","[0.1098, 0.0051]","[0.1292, 0.0054]","[0.0569, 0.0038]","[0.3118, 0.0076]"
NCF,100,1,1024,10.0,,0.0001,50,"[3.3282, 0.036]","[0.028, 0.0013]","[0.0265, 0.001]","[0.0248, 0.0009]","[0.0288, 0.0017]","[0.0185, 0.0005]","[0.1375, 0.0035]","[0.0267, 0.0009]","[0.0213, 0.0007]","[0.0192, 0.0005]","[0.0261, 0.0013]","[0.0105, 0.0002]","[0.0334, 0.0027]","[0.1849, 0.0064]","[0.2198, 0.0068]","[0.2642, 0.0073]","[0.0793, 0.0043]","[0.3701, 0.008]"
NCF,100,1,1024,10.0,,0.0005,50,"[3.2941, 0.0359]","[0.0374, 0.0016]","[0.0323, 0.0013]","[0.0291, 0.0011]","[0.0485, 0.0024]","[0.0202, 0.0006]","[0.1653, 0.0043]","[0.024, 0.0009]","[0.0211, 0.0006]","[0.0185, 0.0005]","[0.0337, 0.0015]","[0.0113, 0.0002]","[0.0626, 0.0039]","[0.161, 0.0061]","[0.22, 0.0068]","[0.2601, 0.0072]","[0.1157, 0.0053]","[0.4036, 0.0081]"
NCF,100,1,1024,10.0,,0.001,50,"[3.7529, 0.0303]","[0.0127, 0.0008]","[0.0124, 0.0007]","[0.0122, 0.0006]","[0.013, 0.0011]","[0.0116, 0.0004]","[0.1045, 0.0026]","[0.0119, 0.0006]","[0.0116, 0.0005]","[0.0116, 0.0004]","[0.0131, 0.0009]","[0.0104, 0.0002]","[0.0105, 0.0014]","[0.0789, 0.0044]","[0.1132, 0.0051]","[0.1523, 0.0058]","[0.0436, 0.0033]","[0.3607, 0.008]"
NCF,200,1,1024,0.001,,0.0001,50,"[4.0042, 0.0302]","[0.0123, 0.0008]","[0.0121, 0.0007]","[0.0117, 0.0006]","[0.0122, 0.0011]","[0.0096, 0.0004]","[0.0798, 0.0026]","[0.0123, 0.0006]","[0.0112, 0.0005]","[0.0102, 0.0004]","[0.0126, 0.0009]","[0.0071, 0.0002]","[0.0096, 0.0014]","[0.0904, 0.0048]","[0.1197, 0.0054]","[0.1462, 0.0059]","[0.0451, 0.0035]","[0.2463, 0.0072]"
NCF,200,1,1024,0.001,,0.0005,50,"[3.8072, 0.0313]","[0.0099, 0.0007]","[0.0114, 0.0006]","[0.0119, 0.0006]","[0.0086, 0.001]","[0.0109, 0.0004]","[0.0902, 0.0026]","[0.0129, 0.0006]","[0.0143, 0.0005]","[0.0129, 0.0004]","[0.0084, 0.0008]","[0.0086, 0.0002]","[0.0107, 0.0016]","[0.0895, 0.0047]","[0.1511, 0.0059]","[0.1814, 0.0064]","[0.0261, 0.0026]","[0.2988, 0.0076]"
