model,R-Precision,NDCG,MAP@5,MAP@10,MAP@20,Precision@5,Precision@10,Precision@20,Recall@5,Recall@10,Recall@20
NCF,0.06494,0.15788,0.07252,0.0642,0.05456,0.06366,0.05188,0.04046,0.08066,0.12714,0.19158
E-NCF,0.06402,0.15528,0.07208,0.06378,0.05418,0.06292,0.0516,0.04006,0.07942,0.12682,0.18854
CE-NCF,0.06288,0.15504,0.07046,0.06276,0.05356,0.0621,0.05122,0.04006,0.07712,0.12384,0.18812
VNCF,0.06274,0.15922,0.07024,0.06268,0.05384,0.06192,0.0516,0.04086,0.07656,0.12364,0.19016
E-VNCF,0.06874,0.16776,0.07618,0.06758,0.05742,0.06676,0.05466,0.04282,0.08428,0.1333,0.20124
CE-VNCF,0.0673,0.16688,0.07552,0.06676,0.05674,0.06578,0.05376,0.04226,0.08366,0.1318,0.19966
