model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-NCF,100,1,128,128,5e-05,50,0.001,300,5,2.3675,0.0621,0.0571,0.0532,0.0695,0.0405,0.1542,0.0511,0.0445,0.0399,0.0618,0.0268,0.0616,0.1237,0.159,0.1874,0.0759,0.3008
NCF,100,1,128,128,0.0001,50,0.0005,300,5,2.3105,0.0645,0.0591,0.055,0.0721,0.0413,0.1581,0.0528,0.0456,0.0408,0.065,0.0268,0.0651,0.1296,0.1657,0.194,0.0827,0.3054
E-VNCF,100,1,128,128,0.0001,50,0.0001,300,5,2.1961,0.0677,0.0618,0.0575,0.0761,0.0436,0.1683,0.0551,0.0474,0.0426,0.0664,0.029,0.0691,0.1341,0.169,0.1992,0.0838,0.3263
CE-VNCF,100,1,128,128,5e-05,50,0.0001,300,5,2.2116,0.0676,0.0618,0.0575,0.0762,0.0436,0.1684,0.0549,0.0475,0.0427,0.0662,0.0288,0.0685,0.1358,0.1713,0.2016,0.0839,0.3246
E-NCF,200,1,128,128,0.0001,50,0.001,300,5,2.3516,0.0644,0.0589,0.0548,0.0728,0.0413,0.1572,0.052,0.0457,0.0407,0.0638,0.0269,0.065,0.1291,0.1647,0.1921,0.0814,0.3009
VNCF,100,1,128,128,5e-05,50,0.0005,300,5,2.3029,0.061,0.0562,0.0527,0.0677,0.0407,0.156,0.0509,0.0443,0.0403,0.0608,0.028,0.0588,0.1223,0.1568,0.1878,0.0742,0.3129
