model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
VNCF,100,1,128,128,5E-05,,0.001,300,5,"[2.4583, 0.0532]","[0.0495, 0.0025]","[0.0474, 0.0022]","[0.0458, 0.0019]","[0.0522, 0.0033]","[0.0394, 0.0014]","[0.1076, 0.003]","[0.0451, 0.0019]","[0.042, 0.0016]","[0.0399, 0.0015]","[0.0495, 0.0026]","[0.0317, 0.001]","[0.0427, 0.0022]","[0.0651, 0.0037]","[0.088, 0.0042]","[0.1109, 0.0047]","[0.0361, 0.0028]","[0.2105, 0.0061]"
VNCF,100,1,128,128,5E-05,,0.001,300,5,"[2.4533, 0.0536]","[0.0518, 0.0026]","[0.0492, 0.0022]","[0.0472, 0.002]","[0.0549, 0.0034]","[0.04, 0.0014]","[0.1083, 0.0031]","[0.0462, 0.0019]","[0.0428, 0.0016]","[0.0403, 0.0014]","[0.0519, 0.0027]","[0.0316, 0.001]","[0.0433, 0.0022]","[0.0649, 0.0037]","[0.09, 0.0043]","[0.1123, 0.0047]","[0.0376, 0.0029]","[0.2088, 0.006]"
VNCF,100,1,128,128,5E-05,,0.001,300,5,"[2.4731, 0.0535]","[0.0513, 0.0026]","[0.0488, 0.0022]","[0.0468, 0.002]","[0.0547, 0.0033]","[0.0398, 0.0014]","[0.1084, 0.0031]","[0.046, 0.002]","[0.0423, 0.0017]","[0.0399, 0.0015]","[0.0513, 0.0027]","[0.0317, 0.001]","[0.0448, 0.0023]","[0.0639, 0.0036]","[0.0865, 0.0042]","[0.1066, 0.0045]","[0.0366, 0.0028]","[0.2092, 0.0061]"
