model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CNCF,200,1,128,128,0.0001,,0.001,300,5,"[2.7573, 0.0537]","[0.043, 0.0024]","[0.0407, 0.002]","[0.0389, 0.0018]","[0.0461, 0.0031]","[0.0328, 0.0013]","[0.0891, 0.0029]","[0.0384, 0.0018]","[0.0349, 0.0015]","[0.0328, 0.0013]","[0.0426, 0.0024]","[0.0261, 0.0009]","[0.0372, 0.0021]","[0.054, 0.0034]","[0.0731, 0.004]","[0.0897, 0.0043]","[0.0309, 0.0026]","[0.1691, 0.0056]"
CNCF,200,1,128,128,0.0001,,0.001,300,5,"[2.6928, 0.0537]","[0.0437, 0.0024]","[0.0415, 0.002]","[0.0399, 0.0018]","[0.0473, 0.0031]","[0.0339, 0.0013]","[0.0914, 0.0028]","[0.0387, 0.0018]","[0.0359, 0.0015]","[0.0344, 0.0013]","[0.0435, 0.0024]","[0.0268, 0.0009]","[0.0374, 0.002]","[0.0536, 0.0033]","[0.0736, 0.0038]","[0.0928, 0.0043]","[0.0318, 0.0026]","[0.1743, 0.0056]"
CNCF,200,1,128,128,0.0001,,0.001,300,5,"[2.7489, 0.0538]","[0.0433, 0.0024]","[0.0413, 0.002]","[0.0396, 0.0018]","[0.0463, 0.0031]","[0.0333, 0.0013]","[0.0892, 0.0029]","[0.0389, 0.0018]","[0.036, 0.0015]","[0.0337, 0.0013]","[0.0428, 0.0025]","[0.0261, 0.0009]","[0.0372, 0.0021]","[0.0557, 0.0035]","[0.0749, 0.004]","[0.0921, 0.0044]","[0.0316, 0.0027]","[0.1696, 0.0056]"
