model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size
UserPop,1,1,1,1,1,1,1,1,1
ItemPop,1,1,1,1,1,1,1,1,1
INCF,200,1,128,128,0.0001,,0.001,100,5
CNCF,200,1,128,128,0.0001,,0.001,100,5
IVNCF,100,1,128,128,5E-05,,0.0005,100,5
CVNCF,100,1,128,128,5E-05,,0.001,100,5
