Falling Rank,type,model
56866,Unaffected,CVNCF
728,Unaffected,CVNCF
44236,Unaffected,CVNCF
60429,Unaffected,CVNCF
37055,Unaffected,CVNCF
-901152,Unaffected,CVNCF
205585,Unaffected,CVNCF
195029,Unaffected,CVNCF
75812,Unaffected,CVNCF
121918,Unaffected,CVNCF
55665,Unaffected,CVNCF
2694,Unaffected,CVNCF
170272,Unaffected,CVNCF
80057,Unaffected,CVNCF
87932,Unaffected,CVNCF
127492,Unaffected,CVNCF
9734,Unaffected,CVNCF
13510,Unaffected,CVNCF
-316719,Unaffected,CVNCF
-110874,Unaffected,CVNCF
-690569,Unaffected,CVNCF
7806,Unaffected,CVNCF
72990,Unaffected,CVNCF
-20661,Unaffected,CVNCF
-439107,Unaffected,CVNCF
28410,Unaffected,CVNCF
1985,Unaffected,CVNCF
-400220,Unaffected,CVNCF
30636,Unaffected,CVNCF
6582,Unaffected,CVNCF
127056,Unaffected,CVNCF
55665,Unaffected,CVNCF
8427,Unaffected,CVNCF
13319,Unaffected,CVNCF
-422513,Unaffected,CVNCF
9770,Unaffected,CVNCF
37725,Unaffected,CVNCF
1996,Unaffected,CVNCF
6416,Unaffected,CVNCF
94478,Unaffected,CVNCF
4202,Unaffected,CVNCF
-347852,Unaffected,CVNCF
2632,Unaffected,CVNCF
179657,Unaffected,CVNCF
-192022,Unaffected,CVNCF
122786,Unaffected,CVNCF
63760,Unaffected,CVNCF
27158,Unaffected,CVNCF
107734,Unaffected,CVNCF
-454175,Unaffected,CVNCF
10473,Unaffected,CVNCF
57247,Unaffected,CVNCF
8994,Unaffected,CVNCF
130870,Unaffected,CVNCF
12015,Unaffected,CVNCF
54004,Unaffected,CVNCF
12001,Unaffected,CVNCF
14761,Unaffected,CVNCF
13617,Unaffected,CVNCF
20661,Unaffected,CVNCF
-16588,Unaffected,CVNCF
-334694,Unaffected,CVNCF
77212,Unaffected,CVNCF
7056,Unaffected,CVNCF
5800,Unaffected,CVNCF
1985,Unaffected,CVNCF
12724,Unaffected,CVNCF
-365995,Unaffected,CVNCF
164057,Unaffected,CVNCF
167629,Unaffected,CVNCF
-901151,Unaffected,CVNCF
48495,Unaffected,CVNCF
12952,Unaffected,CVNCF
123342,Unaffected,CVNCF
-64650,Unaffected,CVNCF
44383,Unaffected,CVNCF
36632,Unaffected,CVNCF
43827,Unaffected,CVNCF
3492,Unaffected,CVNCF
58812,Unaffected,CVNCF
17170,Unaffected,CVNCF
5529,Unaffected,CVNCF
-423923,Unaffected,CVNCF
81628,Unaffected,CVNCF
4930,Unaffected,CVNCF
-414704,Unaffected,CVNCF
629,Unaffected,CVNCF
117,Unaffected,CVNCF
19722,Unaffected,CVNCF
-16804,Unaffected,CVNCF
-411168,Unaffected,CVNCF
-10303,Unaffected,CVNCF
11167,Unaffected,CVNCF
94699,Unaffected,CVNCF
-196180,Unaffected,CVNCF
62965,Unaffected,CVNCF
-33282,Unaffected,CVNCF
59666,Unaffected,CVNCF
15716,Unaffected,CVNCF
238721,Unaffected,CVNCF
61814,Unaffected,CVNCF
27516,Unaffected,CVNCF
316,Unaffected,CVNCF
118353,Unaffected,CVNCF
