model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CE-NCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.2807,0.0575,0.0878,0.0473,0.055,0.1145
CE-NCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.2683,0.0587,0.089,0.0476,0.0558,0.1156
CE-NCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.3105,0.0566,0.086,0.0469,0.0527,0.1131
CE-NCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.2931,0.0589,0.0892,0.0476,0.0547,0.1161
CE-NCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.2138,0.0614,0.0933,0.0501,0.0575,0.1214
CE-NCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.1914,0.063,0.0962,0.0508,0.0595,0.1243
CE-NCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.1923,0.0621,0.095,0.0512,0.0584,0.1239
CE-NCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.1857,0.0626,0.0959,0.0507,0.0592,0.125
CE-NCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.1609,0.0635,0.0968,0.0522,0.0604,0.1257
CE-NCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.1964,0.0633,0.096,0.0511,0.0606,0.1236
CE-NCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.2063,0.0625,0.0947,0.0506,0.0591,0.1231
CE-NCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.1782,0.0635,0.0962,0.0511,0.0603,0.1232
CE-NCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.1956,0.0632,0.0967,0.0511,0.06,0.1244
CE-NCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.2138,0.0621,0.0946,0.0509,0.0587,0.1225
CE-NCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.1799,0.063,0.0954,0.0512,0.0596,0.124
CE-NCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.1832,0.0637,0.097,0.0516,0.0605,0.1254
CE-NCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.203,0.0633,0.0955,0.0515,0.0585,0.1235
CE-NCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.1923,0.0636,0.0966,0.0512,0.0595,0.1251
CE-NCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.1741,0.0636,0.0964,0.0515,0.061,0.1252
CE-NCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.1857,0.0631,0.0961,0.0513,0.0592,0.1249
CE-NCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.2063,0.0627,0.0948,0.0512,0.0595,0.1233
CE-NCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.1733,0.064,0.0964,0.0515,0.0593,0.1234
CE-NCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,3.1584,0.0649,0.0992,0.0525,0.0622,0.1274
CE-NCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,3.198,0.0643,0.0972,0.0515,0.061,0.1238
CE-NCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,3.1947,0.0629,0.0951,0.0512,0.0589,0.1234
CE-NCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,3.1782,0.0633,0.096,0.0512,0.0604,0.1248
CE-NCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,3.2113,0.0636,0.0957,0.0511,0.0609,0.1227
CE-NCF,100,1,128,128,5e-05,10,0.001,280,5,Adam,3.1815,0.0651,0.0979,0.0518,0.0618,0.1258
CE-NCF,100,1,128,128,5e-05,10,0.001,290,5,Adam,3.2121,0.0619,0.0944,0.0507,0.059,0.1223
CE-NCF,100,1,128,128,5e-05,10,0.001,300,5,Adam,3.1815,0.0643,0.0963,0.0513,0.0594,0.1239
NCF,100,1,128,128,0.0001,10,0.0005,10,5,Adam,3.3584,0.0567,0.0859,0.0456,0.0542,0.1102
NCF,100,1,128,128,0.0001,10,0.0005,20,5,Adam,3.2906,0.0584,0.089,0.047,0.0557,0.1144
NCF,100,1,128,128,0.0001,10,0.0005,30,5,Adam,3.2518,0.0607,0.0916,0.0487,0.0576,0.118
NCF,100,1,128,128,0.0001,10,0.0005,40,5,Adam,3.2344,0.0603,0.0924,0.049,0.0566,0.1202
NCF,100,1,128,128,0.0001,10,0.0005,50,5,Adam,3.2402,0.0617,0.0939,0.049,0.0604,0.1208
NCF,100,1,128,128,0.0001,10,0.0005,60,5,Adam,3.2319,0.0613,0.0938,0.0494,0.0589,0.1212
NCF,100,1,128,128,0.0001,10,0.0005,70,5,Adam,3.2171,0.0622,0.0937,0.0493,0.0593,0.1202
NCF,100,1,128,128,0.0001,10,0.0005,80,5,Adam,3.2295,0.0613,0.094,0.049,0.0574,0.122
NCF,100,1,128,128,0.0001,10,0.0005,90,5,Adam,3.198,0.0628,0.0963,0.0504,0.0593,0.1247
NCF,100,1,128,128,0.0001,10,0.0005,100,5,Adam,3.2195,0.0623,0.0953,0.0501,0.0585,0.1233
NCF,100,1,128,128,0.0001,10,0.0005,110,5,Adam,3.1972,0.0618,0.0944,0.0504,0.0592,0.1221
