model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
NCF,100,1,128,128,0.0001,10,0.0005,200,5,Adam,3.2096,0.0617,0.095,0.0505,0.0576,0.1239
NCF,100,1,128,128,0.0001,10,0.0005,210,5,Adam,3.1716,0.0624,0.0962,0.0514,0.0573,0.1278
NCF,100,1,128,128,0.0001,10,0.0005,220,5,Adam,3.1691,0.0621,0.0967,0.0515,0.0597,0.1273
NCF,100,1,128,128,0.0001,10,0.0005,230,5,Adam,3.1782,0.0616,0.0949,0.0503,0.0593,0.125
NCF,100,1,128,128,0.0001,10,0.0005,240,5,Adam,3.1774,0.0617,0.0952,0.0507,0.0591,0.1257
NCF,100,1,128,128,0.0001,10,0.0005,250,5,Adam,3.203,0.0631,0.0967,0.0506,0.0596,0.1254
NCF,100,1,128,128,0.0001,10,0.0005,260,5,Adam,3.1823,0.0614,0.0947,0.0509,0.0568,0.1248
NCF,100,1,128,128,0.0001,10,0.0005,270,5,Adam,3.2237,0.0608,0.0925,0.05,0.0571,0.1223
NCF,100,1,128,128,0.0001,10,0.0005,280,5,Adam,3.1823,0.0621,0.0956,0.0513,0.0574,0.1251
NCF,100,1,128,128,0.0001,10,0.0005,290,5,Adam,3.1964,0.0614,0.0946,0.0503,0.0561,0.1246
NCF,100,1,128,128,0.0001,10,0.0005,300,5,Adam,3.1923,0.0625,0.0953,0.0508,0.0574,0.1241
E-VNCF,100,1,128,128,0.0001,10,0.0001,10,5,Adam,3.5882,0.0445,0.0636,0.0407,0.0371,0.0876
E-VNCF,100,1,128,128,0.0001,10,0.0001,20,5,Adam,3.3386,0.0564,0.0836,0.047,0.0516,0.1103
E-VNCF,100,1,128,128,0.0001,10,0.0001,30,5,Adam,3.251,0.0605,0.0909,0.0496,0.0567,0.1176
E-VNCF,100,1,128,128,0.0001,10,0.0001,40,5,Adam,3.2625,0.0593,0.0896,0.0489,0.0547,0.1164
E-VNCF,100,1,128,128,0.0001,10,0.0001,50,5,Adam,3.2336,0.0594,0.09,0.0501,0.0552,0.119
E-VNCF,100,1,128,128,0.0001,10,0.0001,60,5,Adam,3.2022,0.062,0.0942,0.0514,0.0583,0.123
E-VNCF,100,1,128,128,0.0001,10,0.0001,70,5,Adam,3.2245,0.0594,0.09,0.0505,0.0541,0.1201
E-VNCF,100,1,128,128,0.0001,10,0.0001,80,5,Adam,3.1716,0.0634,0.0956,0.0514,0.06,0.1232
E-VNCF,100,1,128,128,0.0001,10,0.0001,90,5,Adam,3.1551,0.0641,0.0976,0.0526,0.0602,0.1267
E-VNCF,100,1,128,128,0.0001,10,0.0001,100,5,Adam,3.1534,0.0638,0.0964,0.0521,0.0592,0.1249
E-VNCF,100,1,128,128,0.0001,10,0.0001,110,5,Adam,3.1493,0.0635,0.097,0.0526,0.0615,0.1259
E-VNCF,100,1,128,128,0.0001,10,0.0001,120,5,Adam,3.1675,0.0638,0.0961,0.0521,0.0598,0.1238
E-VNCF,100,1,128,128,0.0001,10,0.0001,130,5,Adam,3.1311,0.065,0.0983,0.0528,0.0623,0.1271
E-VNCF,100,1,128,128,0.0001,10,0.0001,140,5,Adam,3.1385,0.0649,0.099,0.0529,0.0613,0.1284
E-VNCF,100,1,128,128,0.0001,10,0.0001,150,5,Adam,3.1228,0.0648,0.0994,0.0532,0.063,0.1295
E-VNCF,100,1,128,128,0.0001,10,0.0001,160,5,Adam,3.127,0.0651,0.0994,0.0532,0.0617,0.1294
E-VNCF,100,1,128,128,0.0001,10,0.0001,170,5,Adam,3.1228,0.0654,0.0997,0.0533,0.0619,0.1292
E-VNCF,100,1,128,128,0.0001,10,0.0001,180,5,Adam,3.1468,0.063,0.0964,0.0521,0.0591,0.1263
E-VNCF,100,1,128,128,0.0001,10,0.0001,190,5,Adam,3.1195,0.0654,0.1003,0.0534,0.0621,0.1303
E-VNCF,100,1,128,128,0.0001,10,0.0001,200,5,Adam,3.1121,0.0665,0.102,0.0541,0.0637,0.1322
E-VNCF,100,1,128,128,0.0001,10,0.0001,210,5,Adam,3.1104,0.0648,0.0999,0.0536,0.0608,0.1309
E-VNCF,100,1,128,128,0.0001,10,0.0001,220,5,Adam,3.1443,0.0632,0.0974,0.0529,0.0593,0.1287
E-VNCF,100,1,128,128,0.0001,10,0.0001,230,5,Adam,3.103,0.0663,0.1008,0.0541,0.063,0.1305
E-VNCF,100,1,128,128,0.0001,10,0.0001,240,5,Adam,3.0865,0.0666,0.1021,0.0544,0.0628,0.1318
E-VNCF,100,1,128,128,0.0001,10,0.0001,250,5,Adam,3.103,0.0662,0.1017,0.0542,0.0642,0.1312
E-VNCF,100,1,128,128,0.0001,10,0.0001,260,5,Adam,3.0873,0.0655,0.1011,0.0543,0.0625,0.1317
E-VNCF,100,1,128,128,0.0001,10,0.0001,270,5,Adam,3.0881,0.0663,0.1019,0.054,0.0636,0.1322
E-VNCF,100,1,128,128,0.0001,10,0.0001,280,5,Adam,3.0898,0.066,0.1014,0.0545,0.0634,0.1319
E-VNCF,100,1,128,128,0.0001,10,0.0001,290,5,Adam,3.0856,0.0658,0.1016,0.0545,0.0618,0.1331
E-VNCF,100,1,128,128,0.0001,10,0.0001,300,5,Adam,3.079,0.0657,0.1016,0.0545,0.0622,0.1328
CE-VNCF,100,1,128,128,5e-05,10,0.0001,10,5,Adam,3.4931,0.0511,0.0733,0.0437,0.0441,0.0958
CE-VNCF,100,1,128,128,5e-05,10,0.0001,20,5,Adam,3.3138,0.0595,0.0883,0.0483,0.0543,0.1134
CE-VNCF,100,1,128,128,5e-05,10,0.0001,30,5,Adam,3.2526,0.0594,0.089,0.0486,0.055,0.1163
CE-VNCF,100,1,128,128,5e-05,10,0.0001,40,5,Adam,3.2708,0.0605,0.0914,0.0492,0.0567,0.118
CE-VNCF,100,1,128,128,5e-05,10,0.0001,50,5,Adam,3.241,0.0611,0.0926,0.0499,0.0568,0.1203
CE-VNCF,100,1,128,128,5e-05,10,0.0001,60,5,Adam,3.2476,0.0619,0.0943,0.0495,0.0598,0.1209
CE-VNCF,100,1,128,128,5e-05,10,0.0001,70,5,Adam,3.1857,0.0633,0.097,0.0516,0.0613,0.1245
CE-VNCF,100,1,128,128,5e-05,10,0.0001,80,5,Adam,3.1947,0.0637,0.0968,0.0514,0.0611,0.1242
CE-VNCF,100,1,128,128,5e-05,10,0.0001,90,5,Adam,3.1699,0.0646,0.0989,0.0521,0.0628,0.1258
CE-VNCF,100,1,128,128,5e-05,10,0.0001,100,5,Adam,3.1418,0.0649,0.1003,0.053,0.0626,0.1297
CE-VNCF,100,1,128,128,5e-05,10,0.0001,110,5,Adam,3.1617,0.0643,0.0985,0.0524,0.0624,0.1269
CE-VNCF,100,1,128,128,5e-05,10,0.0001,120,5,Adam,3.1327,0.0647,0.0997,0.0531,0.062,0.1303
CE-VNCF,100,1,128,128,5e-05,10,0.0001,130,5,Adam,3.1443,0.0656,0.1006,0.0527,0.0631,0.1287
CE-VNCF,100,1,128,128,5e-05,10,0.0001,140,5,Adam,3.1096,0.0652,0.1013,0.0534,0.0624,0.1315
CE-VNCF,100,1,128,128,5e-05,10,0.0001,150,5,Adam,3.1823,0.0648,0.0994,0.0518,0.0623,0.1266
CE-VNCF,100,1,128,128,5e-05,10,0.0001,160,5,Adam,3.1493,0.0654,0.1006,0.0528,0.0629,0.1289
CE-VNCF,100,1,128,128,5e-05,10,0.0001,170,5,Adam,3.1212,0.0658,0.1016,0.0533,0.0648,0.1306
CE-VNCF,100,1,128,128,5e-05,10,0.0001,180,5,Adam,3.117,0.0659,0.1019,0.0535,0.0627,0.1319
CE-VNCF,100,1,128,128,5e-05,10,0.0001,190,5,Adam,3.1319,0.0662,0.1014,0.0536,0.0641,0.1303
CE-VNCF,100,1,128,128,5e-05,10,0.0001,200,5,Adam,3.1394,0.0662,0.1015,0.0531,0.0635,0.1304
CE-VNCF,100,1,128,128,5e-05,10,0.0001,210,5,Adam,3.1327,0.0662,0.1016,0.0532,0.0642,0.1305
CE-VNCF,100,1,128,128,5e-05,10,0.0001,220,5,Adam,3.122,0.0669,0.1027,0.0535,0.0651,0.131
CE-VNCF,100,1,128,128,5e-05,10,0.0001,230,5,Adam,3.1046,0.0669,0.1037,0.0541,0.0653,0.1338
CE-VNCF,100,1,128,128,5e-05,10,0.0001,240,5,Adam,3.1071,0.0675,0.1038,0.0537,0.0649,0.1327
CE-VNCF,100,1,128,128,5e-05,10,0.0001,250,5,Adam,3.1394,0.0662,0.1019,0.0535,0.0643,0.1308
CE-VNCF,100,1,128,128,5e-05,10,0.0001,260,5,Adam,3.1303,0.0664,0.1025,0.0536,0.0647,0.1324
CE-VNCF,100,1,128,128,5e-05,10,0.0001,270,5,Adam,3.122,0.0671,0.1029,0.054,0.064,0.1326
CE-VNCF,100,1,128,128,5e-05,10,0.0001,280,5,Adam,3.122,0.067,0.1028,0.0539,0.0643,0.1326
CE-VNCF,100,1,128,128,5e-05,10,0.0001,290,5,Adam,3.1129,0.0678,0.104,0.0538,0.0655,0.1329
CE-VNCF,100,1,128,128,5e-05,10,0.0001,300,5,Adam,3.1377,0.0666,0.1022,0.0533,0.0643,0.1309
E-NCF,200,1,128,128,0.0001,10,0.001,10,5,Adam,3.47,0.0487,0.0746,0.0404,0.0461,0.0979
E-NCF,200,1,128,128,0.0001,10,0.001,20,5,Adam,3.3939,0.0507,0.0784,0.044,0.0482,0.1059
E-NCF,200,1,128,128,0.0001,10,0.001,30,5,Adam,3.3931,0.0517,0.0794,0.0436,0.0482,0.1046
E-NCF,200,1,128,128,0.0001,10,0.001,40,5,Adam,3.3154,0.0565,0.0876,0.0466,0.0537,0.1152
E-NCF,200,1,128,128,0.0001,10,0.001,50,5,Adam,3.2419,0.0593,0.0923,0.049,0.0563,0.1198
E-NCF,200,1,128,128,0.0001,10,0.001,60,5,Adam,3.3344,0.0536,0.0829,0.0462,0.0501,0.112
E-NCF,200,1,128,128,0.0001,10,0.001,70,5,Adam,3.2559,0.0593,0.091,0.0486,0.0561,0.1194
E-NCF,200,1,128,128,0.0001,10,0.001,80,5,Adam,3.2592,0.0591,0.0909,0.0483,0.0544,0.1196
E-NCF,200,1,128,128,0.0001,10,0.001,90,5,Adam,3.1766,0.0636,0.0966,0.0514,0.0589,0.1259
E-NCF,200,1,128,128,0.0001,10,0.001,100,5,Adam,3.1832,0.0617,0.0955,0.0506,0.0577,0.1264
E-NCF,200,1,128,128,0.0001,10,0.001,110,5,Adam,3.1774,0.0644,0.0974,0.0515,0.0609,0.1257
E-NCF,200,1,128,128,0.0001,10,0.001,120,5,Adam,3.2419,0.0624,0.0953,0.0494,0.0585,0.1221
E-NCF,200,1,128,128,0.0001,10,0.001,130,5,Adam,3.1757,0.0626,0.0961,0.0513,0.0568,0.1266
E-NCF,200,1,128,128,0.0001,10,0.001,140,5,Adam,3.2369,0.0616,0.0941,0.0501,0.0582,0.1219
E-NCF,200,1,128,128,0.0001,10,0.001,150,5,Adam,3.1815,0.062,0.0949,0.051,0.057,0.1254
E-NCF,200,1,128,128,0.0001,10,0.001,160,5,Adam,3.189,0.0634,0.097,0.0514,0.0595,0.1255
E-NCF,200,1,128,128,0.0001,10,0.001,170,5,Adam,3.2237,0.062,0.0946,0.05,0.0583,0.1225
E-NCF,200,1,128,128,0.0001,10,0.001,180,5,Adam,3.1914,0.0626,0.0956,0.0513,0.0583,0.1243
E-NCF,200,1,128,128,0.0001,10,0.001,190,5,Adam,3.1567,0.0642,0.0976,0.0518,0.0604,0.1266
E-NCF,200,1,128,128,0.0001,10,0.001,200,5,Adam,3.2146,0.0632,0.096,0.0508,0.0597,0.1232
E-NCF,200,1,128,128,0.0001,10,0.001,210,5,Adam,3.1848,0.0629,0.0956,0.0508,0.0582,0.1251
E-NCF,200,1,128,128,0.0001,10,0.001,220,5,Adam,3.2071,0.063,0.0951,0.0504,0.0598,0.1226
E-NCF,200,1,128,128,0.0001,10,0.001,230,5,Adam,3.1956,0.0631,0.0957,0.0512,0.0592,0.1239
E-NCF,200,1,128,128,0.0001,10,0.001,240,5,Adam,3.2088,0.0632,0.0968,0.0514,0.0605,0.1252
E-NCF,200,1,128,128,0.0001,10,0.001,250,5,Adam,3.1799,0.0622,0.0958,0.0518,0.0583,0.1253
E-NCF,200,1,128,128,0.0001,10,0.001,260,5,Adam,3.1575,0.0638,0.0968,0.0524,0.06,0.127
E-NCF,200,1,128,128,0.0001,10,0.001,270,5,Adam,3.1914,0.0632,0.0966,0.0511,0.06,0.1254
E-NCF,200,1,128,128,0.0001,10,0.001,280,5,Adam,3.2179,0.0623,0.0953,0.0507,0.0585,0.1231
E-NCF,200,1,128,128,0.0001,10,0.001,290,5,Adam,3.1964,0.0632,0.0963,0.0515,0.0603,0.1256
E-NCF,200,1,128,128,0.0001,10,0.001,300,5,Adam,3.1823,0.0641,0.0989,0.0517,0.0614,0.1284
VNCF,100,1,128,128,5e-05,10,0.0005,10,5,Adam,3.594,0.0458,0.0665,0.0402,0.0402,0.0888
VNCF,100,1,128,128,5e-05,10,0.0005,20,5,Adam,3.4345,0.0504,0.0755,0.0441,0.0456,0.1012
VNCF,100,1,128,128,5e-05,10,0.0005,30,5,Adam,3.4254,0.0527,0.0787,0.045,0.0482,0.1043
VNCF,100,1,128,128,5e-05,10,0.0005,40,5,Adam,3.2766,0.0576,0.0883,0.0488,0.054,0.1168
VNCF,100,1,128,128,5e-05,10,0.0005,50,5,Adam,3.2749,0.0567,0.0863,0.0486,0.0536,0.1151
VNCF,100,1,128,128,5e-05,10,0.0005,60,5,Adam,3.2782,0.0581,0.089,0.049,0.0548,0.1173
VNCF,100,1,128,128,5e-05,10,0.0005,70,5,Adam,3.2452,0.059,0.0901,0.0494,0.0556,0.1186
VNCF,100,1,128,128,5e-05,10,0.0005,80,5,Adam,3.2187,0.0597,0.0917,0.0503,0.057,0.1199
VNCF,100,1,128,128,5e-05,10,0.0005,90,5,Adam,3.2369,0.0606,0.0932,0.0499,0.0585,0.1213
VNCF,100,1,128,128,5e-05,10,0.0005,100,5,Adam,3.2319,0.0592,0.0909,0.0503,0.0558,0.1201
VNCF,100,1,128,128,5e-05,10,0.0005,110,5,Adam,3.2369,0.0584,0.0893,0.0491,0.0542,0.1188
VNCF,100,1,128,128,5e-05,10,0.0005,120,5,Adam,3.2055,0.0617,0.0942,0.0508,0.0574,0.1224
VNCF,100,1,128,128,5e-05,10,0.0005,130,5,Adam,3.1782,0.0616,0.0954,0.0512,0.0584,0.1246
VNCF,100,1,128,128,5e-05,10,0.0005,140,5,Adam,3.1923,0.0616,0.0943,0.0509,0.0588,0.1226
VNCF,100,1,128,128,5e-05,10,0.0005,150,5,Adam,3.1939,0.0629,0.0948,0.0513,0.0584,0.1228
VNCF,100,1,128,128,5e-05,10,0.0005,160,5,Adam,3.1914,0.0624,0.0947,0.0512,0.0575,0.1231
