model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CE-NCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.3005,0.0582,0.0888,0.0468,0.0558,0.1144
CE-NCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.2617,0.0582,0.0894,0.0483,0.0547,0.118
CE-NCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.2543,0.0587,0.0908,0.0478,0.0568,0.1176
CE-NCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.2138,0.0622,0.0956,0.05,0.059,0.1234
CE-NCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.2228,0.0612,0.0937,0.0498,0.0594,0.1213
CE-NCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.1708,0.0626,0.0961,0.0514,0.0601,0.1257
CE-NCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.2104,0.0629,0.0959,0.0501,0.0595,0.1228
CE-NCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.1691,0.0624,0.0955,0.0514,0.0596,0.1239
CE-NCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.179,0.0637,0.0975,0.0519,0.0601,0.1266
CE-NCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.1972,0.0633,0.097,0.0505,0.0607,0.1241
CE-NCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.2088,0.0628,0.0952,0.051,0.0606,0.1229
CE-NCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.1939,0.0632,0.0961,0.0515,0.0587,0.1252
CE-NCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.1526,0.064,0.0985,0.0519,0.0602,0.1273
CE-NCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.1898,0.064,0.0979,0.0521,0.0608,0.1271
CE-NCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.2104,0.0618,0.0949,0.0508,0.0593,0.124
CE-NCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.1799,0.0629,0.0966,0.0518,0.0595,0.1261
CE-NCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.1542,0.0631,0.0971,0.0525,0.06,0.1273
CE-NCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.1609,0.0641,0.0983,0.0524,0.0602,0.1286
CE-NCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.1823,0.0629,0.0966,0.0514,0.0594,0.1261
CE-NCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.2237,0.0627,0.0964,0.0508,0.0605,0.1245
CE-NCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.2055,0.0633,0.097,0.0514,0.0599,0.1261
CE-NCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.1716,0.0634,0.0976,0.0518,0.0603,0.1256
