model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CE-NCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.3014,0.0568,0.0867,0.047,0.0533,0.113
CE-NCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.2402,0.0599,0.0924,0.0492,0.0574,0.12
CE-NCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.2088,0.0604,0.0929,0.05,0.0582,0.1214
CE-NCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.2237,0.0599,0.0916,0.049,0.0557,0.1201
CE-NCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.2369,0.0591,0.0905,0.0491,0.0555,0.1191
CE-NCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.227,0.0598,0.0916,0.0487,0.0556,0.1198
CE-NCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.2452,0.0606,0.0927,0.0488,0.0579,0.1201
CE-NCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.2303,0.0615,0.0938,0.05,0.0586,0.1224
CE-NCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.1931,0.0629,0.095,0.0511,0.0583,0.1231
CE-NCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.2187,0.0618,0.0945,0.0509,0.0578,0.1234
CE-NCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.2493,0.0614,0.0931,0.05,0.0573,0.1201
CE-NCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.2204,0.0632,0.0959,0.051,0.0591,0.1229
CE-NCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.2096,0.0633,0.096,0.0508,0.0605,0.1234
CE-NCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.2667,0.0612,0.0926,0.0492,0.0572,0.119
CE-NCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.2237,0.0632,0.0962,0.0507,0.0598,0.1233
CE-NCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.2633,0.0607,0.092,0.0488,0.0574,0.1181
CE-NCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.2162,0.0631,0.0958,0.0507,0.0605,0.1218
CE-NCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.2303,0.0614,0.0938,0.05,0.0586,0.1206
CE-NCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.1939,0.0636,0.097,0.0509,0.061,0.1243
CE-NCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.2179,0.0625,0.0957,0.0503,0.0589,0.1231
CE-NCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.2386,0.0621,0.0947,0.0499,0.0587,0.1202
CE-NCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.203,0.0632,0.097,0.051,0.0598,0.1246
CE-NCF,100,1,128,128,5e-05,10,0.001,230,5,Adam,3.1832,0.0631,0.0971,0.0513,0.0598,0.1264
CE-NCF,100,1,128,128,5e-05,10,0.001,240,5,Adam,3.1923,0.0635,0.0967,0.0511,0.0605,0.1249
CE-NCF,100,1,128,128,5e-05,10,0.001,250,5,Adam,3.2328,0.0619,0.094,0.0497,0.0583,0.1214
CE-NCF,100,1,128,128,5e-05,10,0.001,260,5,Adam,3.2055,0.0622,0.0949,0.0502,0.0584,0.1231
CE-NCF,100,1,128,128,5e-05,10,0.001,270,5,Adam,3.1898,0.0636,0.096,0.0516,0.0587,0.1243
CE-NCF,100,1,128,128,5e-05,10,0.001,280,5,Adam,3.2154,0.0642,0.0974,0.0517,0.0597,0.1252
CE-NCF,100,1,128,128,5e-05,10,0.001,290,5,Adam,3.2369,0.0611,0.093,0.0496,0.0563,0.1212
CE-NCF,100,1,128,128,5e-05,10,0.001,300,5,Adam,3.2121,0.064,0.0969,0.0505,0.0598,0.1248
NCF,100,1,128,128,0.0001,10,0.0005,10,5,Adam,3.3518,0.0538,0.0808,0.0457,0.0492,0.1078
NCF,100,1,128,128,0.0001,10,0.0005,20,5,Adam,3.2757,0.0594,0.0907,0.0476,0.0573,0.1165
NCF,100,1,128,128,0.0001,10,0.0005,30,5,Adam,3.2865,0.0518,0.0803,0.0464,0.0483,0.1128
NCF,100,1,128,128,0.0001,10,0.0005,40,5,Adam,3.2286,0.0604,0.0926,0.0488,0.0577,0.119
NCF,100,1,128,128,0.0001,10,0.0005,50,5,Adam,3.1848,0.0612,0.0948,0.0501,0.0578,0.1241
NCF,100,1,128,128,0.0001,10,0.0005,60,5,Adam,3.2162,0.0616,0.0941,0.0496,0.0583,0.1214
NCF,100,1,128,128,0.0001,10,0.0005,70,5,Adam,3.2386,0.0593,0.0915,0.0488,0.0557,0.1206
NCF,100,1,128,128,0.0001,10,0.0005,80,5,Adam,3.2386,0.0617,0.0936,0.0495,0.0576,0.1207
NCF,100,1,128,128,0.0001,10,0.0005,90,5,Adam,3.1931,0.0634,0.0965,0.0505,0.0596,0.1238
NCF,100,1,128,128,0.0001,10,0.0005,100,5,Adam,3.2047,0.0627,0.0954,0.0502,0.0581,0.1236
NCF,100,1,128,128,0.0001,10,0.0005,110,5,Adam,3.2228,0.0611,0.0933,0.0496,0.0574,0.1216
NCF,100,1,128,128,0.0001,10,0.0005,120,5,Adam,3.2394,0.0623,0.0948,0.0498,0.0604,0.1219
NCF,100,1,128,128,0.0001,10,0.0005,130,5,Adam,3.1757,0.0634,0.0973,0.051,0.0606,0.1253
NCF,100,1,128,128,0.0001,10,0.0005,140,5,Adam,3.2088,0.063,0.096,0.0499,0.0598,0.1232
NCF,100,1,128,128,0.0001,10,0.0005,150,5,Adam,3.2543,0.0608,0.093,0.0491,0.0584,0.1197
NCF,100,1,128,128,0.0001,10,0.0005,160,5,Adam,3.1807,0.0629,0.0967,0.0509,0.0598,0.1251
NCF,100,1,128,128,0.0001,10,0.0005,170,5,Adam,3.2328,0.0617,0.0943,0.0494,0.0576,0.122
NCF,100,1,128,128,0.0001,10,0.0005,180,5,Adam,3.1956,0.0624,0.0958,0.0503,0.0589,0.1242
NCF,100,1,128,128,0.0001,10,0.0005,190,5,Adam,3.2179,0.0617,0.0951,0.0501,0.0595,0.1235
NCF,100,1,128,128,0.0001,10,0.0005,200,5,Adam,3.2245,0.0618,0.0937,0.0493,0.0585,0.1206
NCF,100,1,128,128,0.0001,10,0.0005,210,5,Adam,3.184,0.0626,0.0965,0.0508,0.0595,0.1254
NCF,100,1,128,128,0.0001,10,0.0005,220,5,Adam,3.1873,0.063,0.0963,0.0511,0.0599,0.125
NCF,100,1,128,128,0.0001,10,0.0005,230,5,Adam,3.1823,0.0625,0.0966,0.0508,0.0597,0.1259
NCF,100,1,128,128,0.0001,10,0.0005,240,5,Adam,3.2005,0.0625,0.0958,0.0504,0.0601,0.1236
NCF,100,1,128,128,0.0001,10,0.0005,250,5,Adam,3.2022,0.0623,0.0953,0.05,0.0596,0.123
NCF,100,1,128,128,0.0001,10,0.0005,260,5,Adam,3.203,0.0619,0.0951,0.0506,0.0597,0.1229
NCF,100,1,128,128,0.0001,10,0.0005,270,5,Adam,3.1766,0.0622,0.096,0.0507,0.0587,0.1249
NCF,100,1,128,128,0.0001,10,0.0005,280,5,Adam,3.2104,0.0625,0.0955,0.0495,0.0584,0.1225
NCF,100,1,128,128,0.0001,10,0.0005,290,5,Adam,3.1989,0.063,0.0964,0.0503,0.0585,0.1246
NCF,100,1,128,128,0.0001,10,0.0005,300,5,Adam,3.1906,0.0621,0.0957,0.0507,0.059,0.1244
E-VNCF,100,1,128,128,0.0001,10,0.0001,10,5,Adam,3.6262,0.048,0.0669,0.0399,0.0411,0.0864
E-VNCF,100,1,128,128,0.0001,10,0.0001,20,5,Adam,3.3758,0.0554,0.0816,0.0471,0.0495,0.1074
E-VNCF,100,1,128,128,0.0001,10,0.0001,30,5,Adam,3.3005,0.0575,0.0858,0.0487,0.0528,0.1137
E-VNCF,100,1,128,128,0.0001,10,0.0001,40,5,Adam,3.26,0.0602,0.0902,0.0499,0.0552,0.1176
E-VNCF,100,1,128,128,0.0001,10,0.0001,50,5,Adam,3.251,0.0614,0.0916,0.0498,0.0574,0.1183
E-VNCF,100,1,128,128,0.0001,10,0.0001,60,5,Adam,3.227,0.0615,0.0927,0.0507,0.0572,0.1206
E-VNCF,100,1,128,128,0.0001,10,0.0001,70,5,Adam,3.2022,0.0613,0.0932,0.0511,0.0569,0.1227
E-VNCF,100,1,128,128,0.0001,10,0.0001,80,5,Adam,3.1989,0.0631,0.0957,0.0517,0.06,0.1247
