model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CE-NCF,100,1,128,128,5e-05,10,0.001,10,5,Adam,3.3576,0.0571,0.0851,0.0457,0.0544,0.1084
CE-NCF,100,1,128,128,5e-05,10,0.001,20,5,Adam,3.2724,0.0577,0.0881,0.0479,0.0543,0.116
CE-NCF,100,1,128,128,5e-05,10,0.001,30,5,Adam,3.2873,0.0585,0.0893,0.0474,0.0558,0.1151
CE-NCF,100,1,128,128,5e-05,10,0.001,40,5,Adam,3.2336,0.0615,0.0933,0.049,0.0576,0.1197
CE-NCF,100,1,128,128,5e-05,10,0.001,50,5,Adam,3.2278,0.0607,0.0934,0.0495,0.058,0.1218
CE-NCF,100,1,128,128,5e-05,10,0.001,60,5,Adam,3.2452,0.061,0.0927,0.0492,0.0582,0.1195
CE-NCF,100,1,128,128,5e-05,10,0.001,70,5,Adam,3.2386,0.0614,0.0937,0.0492,0.0585,0.12
CE-NCF,100,1,128,128,5e-05,10,0.001,80,5,Adam,3.2295,0.0602,0.092,0.0491,0.0573,0.1203
CE-NCF,100,1,128,128,5e-05,10,0.001,90,5,Adam,3.2187,0.0604,0.0935,0.0498,0.0581,0.1226
CE-NCF,100,1,128,128,5e-05,10,0.001,100,5,Adam,3.203,0.0612,0.0951,0.0498,0.0596,0.1231
CE-NCF,100,1,128,128,5e-05,10,0.001,110,5,Adam,3.2195,0.06,0.0928,0.0492,0.0576,0.1215
CE-NCF,100,1,128,128,5e-05,10,0.001,120,5,Adam,3.2311,0.0614,0.0936,0.0491,0.0597,0.1211
CE-NCF,100,1,128,128,5e-05,10,0.001,130,5,Adam,3.1914,0.0609,0.0946,0.0498,0.0584,0.123
CE-NCF,100,1,128,128,5e-05,10,0.001,140,5,Adam,3.2204,0.0609,0.0936,0.0491,0.0586,0.1216
CE-NCF,100,1,128,128,5e-05,10,0.001,150,5,Adam,3.2171,0.0623,0.0958,0.05,0.0597,0.1222
CE-NCF,100,1,128,128,5e-05,10,0.001,160,5,Adam,3.1947,0.0608,0.0942,0.0503,0.0584,0.1233
CE-NCF,100,1,128,128,5e-05,10,0.001,170,5,Adam,3.2352,0.0614,0.0932,0.0494,0.0593,0.1199
CE-NCF,100,1,128,128,5e-05,10,0.001,180,5,Adam,3.2245,0.0603,0.0927,0.049,0.0584,0.1214
CE-NCF,100,1,128,128,5e-05,10,0.001,190,5,Adam,3.1658,0.062,0.0958,0.0509,0.0577,0.126
CE-NCF,100,1,128,128,5e-05,10,0.001,200,5,Adam,3.1947,0.0626,0.0962,0.0506,0.0602,0.124
CE-NCF,100,1,128,128,5e-05,10,0.001,210,5,Adam,3.1914,0.0621,0.0955,0.05,0.0595,0.1235
CE-NCF,100,1,128,128,5e-05,10,0.001,220,5,Adam,3.1699,0.0636,0.0979,0.051,0.0594,0.1264
