model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
VNCF,200,1,128,128,5e-05,10,0.0001,140,5,Adam,3.1526,0.0633,0.0991,0.0517,0.0635,0.1293
VNCF,200,1,128,128,5e-05,10,0.0001,150,5,Adam,3.165,0.0633,0.0989,0.0509,0.062,0.1284
VNCF,200,1,128,128,5e-05,10,0.0001,160,5,Adam,3.1369,0.0635,0.0997,0.052,0.0616,0.1309
VNCF,200,1,128,128,5e-05,10,0.0001,170,5,Adam,3.189,0.0612,0.0961,0.0505,0.0594,0.1266
VNCF,200,1,128,128,5e-05,10,0.0001,180,5,Adam,3.1633,0.0631,0.0989,0.0512,0.0619,0.1295
VNCF,200,1,128,128,5e-05,10,0.0001,190,5,Adam,3.1923,0.0623,0.0966,0.05,0.0607,0.1249
VNCF,200,1,128,128,5e-05,10,0.0001,200,5,Adam,3.1451,0.0635,0.0991,0.0513,0.063,0.1293
VNCF,200,1,128,128,5e-05,10,0.0001,210,5,Adam,3.1534,0.0631,0.0994,0.0515,0.0639,0.1299
VNCF,200,1,128,128,5e-05,10,0.0001,220,5,Adam,3.1385,0.0638,0.1005,0.0514,0.0634,0.1304
VNCF,200,1,128,128,5e-05,10,0.0001,230,5,Adam,3.1873,0.0605,0.0959,0.0505,0.0602,0.1268
VNCF,200,1,128,128,5e-05,10,0.0001,240,5,Adam,3.1418,0.0646,0.1017,0.0519,0.064,0.1308
VNCF,200,1,128,128,5e-05,10,0.0001,250,5,Adam,3.141,0.065,0.1015,0.0517,0.0644,0.1307
VNCF,200,1,128,128,5e-05,10,0.0001,260,5,Adam,3.1518,0.0624,0.0983,0.0509,0.0631,0.1283
VNCF,200,1,128,128,5e-05,10,0.0001,270,5,Adam,3.1146,0.0643,0.1015,0.0524,0.064,0.1318
VNCF,200,1,128,128,5e-05,10,0.0001,280,5,Adam,3.1418,0.0653,0.1019,0.0521,0.0652,0.1307
VNCF,200,1,128,128,5e-05,10,0.0001,290,5,Adam,3.1427,0.064,0.1003,0.0518,0.064,0.1303
VNCF,200,1,128,128,5e-05,10,0.0001,300,5,Adam,3.0989,0.0642,0.1019,0.0523,0.0641,0.1329
NCF,100,1,128,128,0.0001,10,0.0005,10,5,Adam,3.3799,0.0529,0.0798,0.0445,0.0486,0.1058
NCF,100,1,128,128,0.0001,10,0.0005,20,5,Adam,3.3096,0.0584,0.0885,0.0474,0.0561,0.1134
NCF,100,1,128,128,0.0001,10,0.0005,30,5,Adam,3.2881,0.059,0.0898,0.0477,0.0553,0.1159
NCF,100,1,128,128,0.0001,10,0.0005,40,5,Adam,3.2567,0.0593,0.0911,0.0484,0.0562,0.1179
NCF,100,1,128,128,0.0001,10,0.0005,50,5,Adam,3.2228,0.0608,0.0937,0.0491,0.0571,0.121
NCF,100,1,128,128,0.0001,10,0.0005,60,5,Adam,3.2162,0.0612,0.0944,0.0492,0.0593,0.1222
NCF,100,1,128,128,0.0001,10,0.0005,70,5,Adam,3.2071,0.0612,0.0949,0.0498,0.0593,0.1224
NCF,100,1,128,128,0.0001,10,0.0005,80,5,Adam,3.2245,0.0625,0.0949,0.0499,0.0601,0.1213
NCF,100,1,128,128,0.0001,10,0.0005,90,5,Adam,3.1848,0.0632,0.0964,0.0511,0.0604,0.1245
NCF,100,1,128,128,0.0001,10,0.0005,100,5,Adam,3.179,0.0626,0.0963,0.0507,0.0594,0.1247
NCF,100,1,128,128,0.0001,10,0.0005,110,5,Adam,3.2121,0.0613,0.0939,0.0499,0.0575,0.1222
NCF,100,1,128,128,0.0001,10,0.0005,120,5,Adam,3.1923,0.062,0.0955,0.0509,0.0603,0.1239
NCF,100,1,128,128,0.0001,10,0.0005,130,5,Adam,3.1708,0.0624,0.0963,0.0507,0.0606,0.1254
NCF,100,1,128,128,0.0001,10,0.0005,140,5,Adam,3.198,0.0628,0.096,0.0504,0.0607,0.1232
NCF,100,1,128,128,0.0001,10,0.0005,150,5,Adam,3.1757,0.0633,0.0975,0.0507,0.0605,0.126
NCF,100,1,128,128,0.0001,10,0.0005,160,5,Adam,3.1699,0.0645,0.0985,0.0513,0.0621,0.1263
NCF,100,1,128,128,0.0001,10,0.0005,170,5,Adam,3.189,0.0635,0.0968,0.0504,0.0606,0.1239
NCF,100,1,128,128,0.0001,10,0.0005,180,5,Adam,3.1559,0.0646,0.0978,0.0514,0.0614,0.1256
NCF,100,1,128,128,0.0001,10,0.0005,190,5,Adam,3.1972,0.0619,0.0945,0.0503,0.0584,0.1236
NCF,100,1,128,128,0.0001,10,0.0005,200,5,Adam,3.184,0.063,0.0967,0.0509,0.06,0.125
NCF,100,1,128,128,0.0001,10,0.0005,210,5,Adam,3.1914,0.063,0.0965,0.0509,0.0592,0.1257
NCF,100,1,128,128,0.0001,10,0.0005,220,5,Adam,3.2171,0.0625,0.0948,0.0496,0.0589,0.1218
NCF,100,1,128,128,0.0001,10,0.0005,230,5,Adam,3.1642,0.0636,0.0976,0.0511,0.06,0.1262
NCF,100,1,128,128,0.0001,10,0.0005,240,5,Adam,3.1675,0.0634,0.0963,0.0512,0.0582,0.1249
NCF,100,1,128,128,0.0001,10,0.0005,250,5,Adam,3.1972,0.0629,0.0964,0.0507,0.0601,0.1246
NCF,100,1,128,128,0.0001,10,0.0005,260,5,Adam,3.1832,0.064,0.0977,0.0513,0.0608,0.1261
NCF,100,1,128,128,0.0001,10,0.0005,270,5,Adam,3.1518,0.0633,0.0976,0.0518,0.06,0.1274
NCF,100,1,128,128,0.0001,10,0.0005,280,5,Adam,3.1575,0.0646,0.0988,0.0518,0.0617,0.1272
NCF,100,1,128,128,0.0001,10,0.0005,290,5,Adam,3.1716,0.0639,0.097,0.0518,0.0613,0.1248
NCF,100,1,128,128,0.0001,10,0.0005,300,5,Adam,3.1799,0.0629,0.0957,0.0507,0.0596,0.1233
