model,rank,lambda,epoch,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,5e-05,20,RMSProp,4.0394,0.0309,0.0452,0.0266,0.0284,0.0596
CNCF,100,5e-05,25,RMSProp,3.921,0.0376,0.0552,0.0304,0.0357,0.0693
CNCF,100,5e-05,30,RMSProp,3.8287,0.0406,0.059,0.0335,0.037,0.0758
CNCF,100,5e-05,35,RMSProp,3.7643,0.0446,0.0652,0.0354,0.042,0.0824
CNCF,100,5e-05,40,RMSProp,3.7227,0.0462,0.0675,0.037,0.0433,0.0861
CNCF,100,5e-05,45,RMSProp,3.682,0.045,0.0669,0.0388,0.0407,0.0898
CNCF,100,5e-05,50,RMSProp,3.603,0.052,0.0773,0.041,0.0496,0.0976
CNCF,100,5e-05,55,RMSProp,3.6966,0.0458,0.0667,0.0383,0.0411,0.0885
CNCF,100,5e-05,60,RMSProp,3.5986,0.052,0.0768,0.0409,0.0494,0.0965
CNCF,100,5e-05,65,RMSProp,3.5952,0.0514,0.0757,0.041,0.0492,0.097
CNCF,100,5e-05,70,RMSProp,3.585,0.0529,0.0788,0.0415,0.0509,0.0993
CNCF,100,5e-05,75,RMSProp,3.5695,0.0538,0.0798,0.0421,0.0506,0.1007
CNCF,100,5e-05,80,RMSProp,3.5803,0.0527,0.0778,0.042,0.0493,0.099
CNCF,100,5e-05,85,RMSProp,3.579,0.0521,0.0767,0.0419,0.049,0.0991
CNCF,100,5e-05,90,RMSProp,3.5488,0.0537,0.08,0.0429,0.0509,0.102
CNCF,100,5e-05,95,RMSProp,3.5807,0.0503,0.0748,0.0421,0.0445,0.0998
CNCF,100,5e-05,100,RMSProp,3.5793,0.051,0.0762,0.0426,0.0471,0.1002
CNCF,100,5e-05,105,RMSProp,3.5306,0.0543,0.0803,0.0437,0.0505,0.1038
CNCF,100,5e-05,110,RMSProp,3.4946,0.0558,0.0834,0.0445,0.0532,0.1069
CNCF,100,5e-05,115,RMSProp,3.4865,0.0556,0.0833,0.0446,0.0525,0.1073
CNCF,100,5e-05,120,RMSProp,3.5776,0.0507,0.0753,0.0423,0.0459,0.0993
CNCF,100,5e-05,125,RMSProp,3.5381,0.0529,0.0782,0.0431,0.0483,0.1027
CNCF,100,5e-05,130,RMSProp,3.4918,0.0565,0.0846,0.0446,0.0538,0.1077
CNCF,100,5e-05,135,RMSProp,3.5477,0.0521,0.0777,0.0431,0.0474,0.1029
CNCF,100,5e-05,140,RMSProp,3.5428,0.0525,0.0787,0.0436,0.0482,0.1045
CNCF,100,5e-05,145,RMSProp,3.5299,0.055,0.0817,0.0436,0.0525,0.1041
CNCF,100,5e-05,150,RMSProp,3.4785,0.0566,0.0845,0.0449,0.0535,0.1085
