model,F-MAP@5,F-MAP@10,F-MAP@20
CE-VNCF,0.051933333333333324,0.05008664021164021,0.039899842751990586
CE-VNCF,0.00587545346201434,0.004630634922600605,0.0032827948031114444
CE-NCF,0.04175555555555555,0.028295238095238092,0.018099307787872033
CE-NCF,0.004374205244580086,0.0025781107694268766,0.001530625639299894
