Falling Rank,type,model
16.40125555846194,Unaffected,CVNCF
-6.9559004680955905,Unaffected,CVNCF
2.205177993527508,Unaffected,CVNCF
-0.20823856456911802,Unaffected,CVNCF
-14.657111952406707,Unaffected,CVNCF
-292.1406727828746,Unaffected,CVNCF
-0.4560353798126951,Unaffected,CVNCF
19.940195723088074,Unaffected,CVNCF
2.2336448598130842,Unaffected,CVNCF
3.442022263450835,Unaffected,CVNCF
-115.64742501414827,Unaffected,CVNCF
0.010777344645723459,Unaffected,CVNCF
14.503039144177,Unaffected,CVNCF
-19.70205479452055,Unaffected,CVNCF
-36.63815364751453,Unaffected,CVNCF
0.06785063752276867,Unaffected,CVNCF
2.1933950462847136,Unaffected,CVNCF
-81.57452966714906,Unaffected,CVNCF
4.798998569384835,Unaffected,CVNCF
-5.378071833648393,Unaffected,CVNCF
1.6076412720201327,Unaffected,CVNCF
-86.20870678617158,Unaffected,CVNCF
29.17452229299363,Unaffected,CVNCF
27.97262168141593,Unaffected,CVNCF
17.443364713027634,Unaffected,CVNCF
-10.208606173994387,Unaffected,CVNCF
0.17790432801822323,Unaffected,CVNCF
-125.55830618892509,Unaffected,CVNCF
-0.6025610623666113,Unaffected,CVNCF
-10.986031429284111,Unaffected,CVNCF
-15.093488649940262,Unaffected,CVNCF
-4.908727358268643,Unaffected,CVNCF
1.0153247941445562,Unaffected,CVNCF
-5.261059795819154,Unaffected,CVNCF
-30.975871313672922,Unaffected,CVNCF
-160.32861476238625,Unaffected,CVNCF
26.72036384976526,Unaffected,CVNCF
-8.050766524252325,Unaffected,CVNCF
14.066449124888758,Unaffected,CVNCF
2.552473174561633,Unaffected,CVNCF
-1.556496255291436,Unaffected,CVNCF
-0.7173161171316579,Unaffected,CVNCF
21.738956825555277,Unaffected,CVNCF
23.960132890365447,Unaffected,CVNCF
-249.34362934362935,Unaffected,CVNCF
-34.07077435470441,Unaffected,CVNCF
5.531182795698925,Unaffected,CVNCF
0.09797220323536113,Unaffected,CVNCF
-201.47627520759193,Unaffected,CVNCF
10.27690933452434,Unaffected,CVNCF
-240.52609308885755,Unaffected,CVNCF
-56.03804156393096,Unaffected,CVNCF
-113.59085213032581,Unaffected,CVNCF
3.9044519656339496,Unaffected,CVNCF
2.2573820041850734,Unaffected,CVNCF
8.1711542964177,Unaffected,CVNCF
5.188912681418035,Unaffected,CVNCF
-8.541499866559915,Unaffected,CVNCF
-305.78345498783455,Unaffected,CVNCF
0.7488382899628253,Unaffected,CVNCF
13.570266272189349,Unaffected,CVNCF
7.430208089782558,Unaffected,CVNCF
7.848662599718442,Unaffected,CVNCF
-22.3288876276958,Unaffected,CVNCF
25.62667009249743,Unaffected,CVNCF
8.206676136363637,Unaffected,CVNCF
0.2603412012152372,Unaffected,CVNCF
8.690543401552576,Unaffected,CVNCF
-12.758077654086343,Unaffected,CVNCF
1.4722357525572334,Unaffected,CVNCF
