Falling Rank,type,model
0.5990411304567247,Unaffected,CVNCF
-21.817049543315804,Unaffected,CVNCF
21.230912476722533,Unaffected,CVNCF
0.5090491970430793,Unaffected,CVNCF
0.7094560244026437,Unaffected,CVNCF
-51.04897245299519,Unaffected,CVNCF
0.900891719745223,Unaffected,CVNCF
1.4444444444444444,Unaffected,CVNCF
4.999257609502599,Unaffected,CVNCF
-0.1246040126715945,Unaffected,CVNCF
5.894537587885344,Unaffected,CVNCF
0.06231231231231231,Unaffected,CVNCF
0.010419313850063533,Unaffected,CVNCF
-8.1042135734963,Unaffected,CVNCF
-10.185483870967742,Unaffected,CVNCF
-10.093060785368477,Unaffected,CVNCF
4.432215959655888,Unaffected,CVNCF
-0.19510965465086968,Unaffected,CVNCF
18.39630225080386,Unaffected,CVNCF
7.32167374959137,Unaffected,CVNCF
-42.89622075584883,Unaffected,CVNCF
2.95955114822547,Unaffected,CVNCF
-15.765206812652067,Unaffected,CVNCF
-0.019767126997021392,Unaffected,CVNCF
2.9498644986449865,Unaffected,CVNCF
0.43868692349430277,Unaffected,CVNCF
2.9100141043723555,Unaffected,CVNCF
1.2427307206068268,Unaffected,CVNCF
16.931941431670282,Unaffected,CVNCF
5.350326264274062,Unaffected,CVNCF
-41.454313099041535,Unaffected,CVNCF
-27.650054171180933,Unaffected,CVNCF
1.7447086490723804,Unaffected,CVNCF
-170.66396761133603,Unaffected,CVNCF
1.27535140562249,Unaffected,CVNCF
-0.9473872584108805,Unaffected,CVNCF
0.3465629053177691,Unaffected,CVNCF
27.714051752374715,Unaffected,CVNCF
9.04527885146328,Unaffected,CVNCF
1.771171171171171,Unaffected,CVNCF
0.4697084917617237,Unaffected,CVNCF
23.621635883905014,Unaffected,CVNCF
4.474442988204456,Unaffected,CVNCF
1.6121005762179152,Unaffected,CVNCF
-4.196217494089835,Unaffected,CVNCF
0.11533650237678258,Unaffected,CVNCF
-9.170236439499305,Unaffected,CVNCF
11.847684279191128,Unaffected,CVNCF
-1.6024127983215315,Unaffected,CVNCF
0.18357124968695215,Unaffected,CVNCF
3.428879892037787,Unaffected,CVNCF
3.5663251904386657,Unaffected,CVNCF
-40.93021806853582,Unaffected,CVNCF
2.991048116374487,Unaffected,CVNCF
5.609405801182765,Unaffected,CVNCF
14.077372262773723,Unaffected,CVNCF
-2.9816166531495,Unaffected,CVNCF
-0.07167919799498747,Unaffected,CVNCF
12.077380952380953,Unaffected,CVNCF
4.261505376344086,Unaffected,CVNCF
-0.6530040733197556,Unaffected,CVNCF
-37.24392764857881,Unaffected,CVNCF
4.323314166231051,Unaffected,CVNCF
6.760277777777778,Unaffected,CVNCF
8.244094488188976,Unaffected,CVNCF
3.295851813201148,Unaffected,CVNCF
-11.57707879165369,Unaffected,CVNCF
14.87024363536819,Unaffected,CVNCF
-75.52377414561664,Unaffected,CVNCF
5.101220188574598,Unaffected,CVNCF
0.5503373118837571,Unaffected,CVNCF
0.13428714859437751,Unaffected,CVNCF
0.8065934065934066,Unaffected,CVNCF
0.7590852130325815,Unaffected,CVNCF
14.255063105371294,Unaffected,CVNCF
-44.66495901639344,Unaffected,CVNCF
-23.688125894134476,Unaffected,CVNCF
11.57461683248185,Unaffected,CVNCF
4.450799674708593,Unaffected,CVNCF
8.849411764705883,Unaffected,CVNCF
-0.4792916309625821,Unaffected,CVNCF
-39.06979362101313,Unaffected,CVNCF
0.4670428314952552,Unaffected,CVNCF
3.9973175965665235,Unaffected,CVNCF
0.5419808949220714,Unaffected,CVNCF
23.92060810810811,Unaffected,CVNCF
13.547888161808448,Unaffected,CVNCF
6.972032133293663,Unaffected,CVNCF
15.951926138172556,Unaffected,CVNCF
11.882538846457729,Unaffected,CVNCF
-14.03427065026362,Unaffected,CVNCF
-6.7288543897216275,Unaffected,CVNCF
-67.26883910386965,Unaffected,CVNCF
2.280599288979177,Unaffected,CVNCF
0.3709183673469388,Unaffected,CVNCF
3.5615686274509804,Unaffected,CVNCF
2.0738758029978586,Unaffected,CVNCF
0.3361451942740286,Unaffected,CVNCF
-15.643013578624616,Unaffected,CVNCF
10.670718816067653,Unaffected,CVNCF
14.079184322033898,Unaffected,CVNCF
-8.260169043845748,Unaffected,CVNCF
5.57437369519833,Unaffected,CVNCF
-15.938148984198646,Unaffected,CVNCF
-0.39641203703703703,Unaffected,CVNCF
7.014421601718318,Unaffected,CVNCF
-4.628616106333073,Unaffected,CVNCF
9.479631696428571,Unaffected,CVNCF
1.9901450862304955,Unaffected,CVNCF
-0.1733097880928355,Unaffected,CVNCF
-53.17779839208411,Unaffected,CVNCF
2.3169069462647442,Unaffected,CVNCF
3.7574850299401197,Unaffected,CVNCF
-0.11164917944578961,Unaffected,CVNCF
6.857906318767683,Unaffected,CVNCF
2.693024494142705,Unaffected,CVNCF
-2.130113636363636,Unaffected,CVNCF
2.550927101854204,Unaffected,CVNCF
-30.274502147598593,Unaffected,CVNCF
-27.021627998427054,Unaffected,CVNCF
-33.95634095634096,Unaffected,CVNCF
33.203745560219566,Unaffected,CVNCF
-0.1738581882412314,Unaffected,CVNCF
-5.171453692848769,Unaffected,CVNCF
-2.339257294429708,Unaffected,CVNCF
-24.05922746781116,Unaffected,CVNCF
-1.9831640833778728,Unaffected,CVNCF
9.832456383273332,Unaffected,CVNCF
-6.816833095577746,Unaffected,CVNCF
4.462962962962963,Unaffected,CVNCF
-2.060567010309278,Unaffected,CVNCF
-43.431689571544055,Unaffected,CVNCF
0.7304657673708322,Unaffected,CVNCF
0.7669172932330827,Unaffected,CVNCF
-1.3151453340132586,Unaffected,CVNCF
9.033948030176028,Unaffected,CVNCF
-25.092369477911646,Unaffected,CVNCF
-5.227395048439182,Unaffected,CVNCF
6.921207469941161,Unaffected,CVNCF
-3.9305705059203446,Unaffected,CVNCF
-32.80279375513558,Unaffected,CVNCF
0.6703412073490813,Unaffected,CVNCF
-5.573634859349145,Unaffected,CVNCF
0.9308093994778068,Unaffected,CVNCF
1.8804727370400214,Unaffected,CVNCF
-73.5038090401219,Unaffected,CVNCF
1.5916098054081376,Unaffected,CVNCF
12.467031089853092,Unaffected,CVNCF
