model,rank,lambda,epoch,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
CNCF,100,0.0001,5,RMSProp,4.7814,0.0058,0.0072,0.0052,0.0045,0.0092
CNCF,100,0.0001,10,RMSProp,4.5413,0.0129,0.0182,0.0114,0.0111,0.0241
CNCF,100,0.0001,15,RMSProp,4.2564,0.0227,0.033,0.0193,0.0213,0.043
CNCF,100,0.0001,20,RMSProp,4.0492,0.0318,0.0466,0.0259,0.031,0.0584
CNCF,100,0.0001,25,RMSProp,3.9267,0.0383,0.0558,0.0302,0.0364,0.069
CNCF,100,0.0001,30,RMSProp,3.7899,0.0429,0.0638,0.0345,0.0418,0.0802
CNCF,100,0.0001,35,RMSProp,3.7497,0.0443,0.066,0.0359,0.0418,0.0842
CNCF,100,0.0001,40,RMSProp,3.6714,0.0481,0.0718,0.039,0.0457,0.0913
CNCF,100,0.0001,45,RMSProp,3.6552,0.0473,0.0704,0.0394,0.044,0.093
CNCF,100,0.0001,50,RMSProp,3.5979,0.0513,0.0768,0.0409,0.0486,0.0972
CNCF,100,0.0001,55,RMSProp,3.5571,0.055,0.0821,0.0424,0.0531,0.1019
CNCF,100,0.0001,60,RMSProp,3.5752,0.0524,0.0783,0.042,0.0499,0.1006
CNCF,100,0.0001,65,RMSProp,3.5209,0.0551,0.0835,0.0436,0.0531,0.1057
CNCF,100,0.0001,70,RMSProp,3.5343,0.0539,0.0812,0.0432,0.0519,0.104
CNCF,100,0.0001,75,RMSProp,3.5029,0.0558,0.0843,0.0442,0.0524,0.1079
CNCF,100,0.0001,80,RMSProp,3.4893,0.0572,0.0858,0.0445,0.0548,0.1075
CNCF,100,0.0001,85,RMSProp,3.4956,0.0571,0.0855,0.0448,0.0542,0.1082
CNCF,100,0.0001,90,RMSProp,3.5387,0.0558,0.0822,0.0436,0.0542,0.1021
CNCF,100,0.0001,95,RMSProp,3.4977,0.0568,0.0848,0.0445,0.0539,0.1068
CNCF,100,0.0001,100,RMSProp,3.5302,0.0547,0.081,0.0437,0.0512,0.1043
CNCF,100,0.0001,105,RMSProp,3.5514,0.0534,0.0789,0.0429,0.049,0.1024
CNCF,100,0.0001,110,RMSProp,3.5218,0.0564,0.0836,0.0436,0.0543,0.105
CNCF,100,0.0001,115,RMSProp,3.4889,0.0569,0.0852,0.0449,0.0544,0.1082
CNCF,100,0.0001,120,RMSProp,3.5677,0.0543,0.0797,0.0426,0.05,0.1009
CNCF,100,0.0001,125,RMSProp,3.4935,0.0574,0.0855,0.0453,0.0542,0.1076
CNCF,100,0.0001,130,RMSProp,3.5138,0.0565,0.0839,0.0442,0.0525,0.1058
CNCF,100,0.0001,135,RMSProp,3.4902,0.0579,0.0859,0.0448,0.0546,0.1076
CNCF,100,0.0001,140,RMSProp,3.4947,0.0576,0.0854,0.0443,0.0551,0.1069
CNCF,100,0.0001,145,RMSProp,3.5575,0.051,0.0753,0.0428,0.0455,0.1011
CNCF,100,0.0001,150,RMSProp,3.5296,0.0564,0.0835,0.0438,0.0529,0.1053
CNCF,100,0.0001,5,RMSProp,4.7657,0.0057,0.0074,0.0057,0.0043,0.0101
CNCF,100,0.0001,10,RMSProp,4.5108,0.0134,0.0191,0.0122,0.012,0.0261
CNCF,100,0.0001,15,RMSProp,4.2384,0.023,0.0339,0.02,0.0219,0.0451
CNCF,100,0.0001,20,RMSProp,4.021,0.0333,0.0494,0.0272,0.0317,0.0626
CNCF,100,0.0001,25,RMSProp,3.8412,0.0421,0.0623,0.0326,0.0395,0.0767
CNCF,100,0.0001,30,RMSProp,3.7534,0.045,0.0665,0.0355,0.0409,0.0837
CNCF,100,0.0001,35,RMSProp,3.7605,0.043,0.0637,0.0361,0.0396,0.084
CNCF,100,0.0001,40,RMSProp,3.635,0.0513,0.0766,0.0395,0.0498,0.095
CNCF,100,0.0001,45,RMSProp,3.6072,0.0522,0.0779,0.0405,0.0492,0.0973
CNCF,100,0.0001,50,RMSProp,3.6552,0.0463,0.069,0.0394,0.0425,0.094
CNCF,100,0.0001,55,RMSProp,3.6066,0.0507,0.0745,0.0409,0.046,0.097
CNCF,100,0.0001,60,RMSProp,3.641,0.0498,0.0733,0.04,0.0462,0.0939
CNCF,100,0.0001,65,RMSProp,3.625,0.0479,0.0704,0.0401,0.0425,0.0952
CNCF,100,0.0001,70,RMSProp,3.5708,0.0539,0.0793,0.0419,0.0501,0.1008
CNCF,100,0.0001,75,RMSProp,3.5404,0.0553,0.0818,0.0427,0.053,0.1025
