model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,optimizer,Clicks,MAP@10,NDCG,Precision@10,R-Precision,Recall@10
VNCF,200,1,128,128,5e-05,10,0.0001,25,5,Adam,3.389,0.0543,0.0805,0.0449,0.05,0.1058
VNCF,200,1,128,128,5e-05,10,0.0001,30,5,Adam,3.4287,0.0522,0.077,0.0434,0.0477,0.1018
VNCF,200,1,128,128,5e-05,10,0.0001,35,5,Adam,3.4039,0.0556,0.0823,0.0447,0.0513,0.1059
VNCF,200,1,128,128,5e-05,10,0.0001,40,5,Adam,3.3617,0.057,0.0855,0.0455,0.0519,0.1091
VNCF,200,1,128,128,5e-05,10,0.0001,45,5,Adam,3.3196,0.0583,0.0879,0.0466,0.0549,0.1132
VNCF,200,1,128,128,5e-05,10,0.0001,50,5,Adam,3.351,0.0572,0.0846,0.0459,0.0513,0.1099
VNCF,200,1,128,128,5e-05,10,0.0001,55,5,Adam,3.4039,0.0534,0.0806,0.0448,0.0468,0.1076
VNCF,200,1,128,128,5e-05,10,0.0001,60,5,Adam,3.3377,0.0579,0.0868,0.0461,0.0531,0.1123
VNCF,200,1,128,128,5e-05,10,0.0001,65,5,Adam,3.3154,0.0581,0.0883,0.0468,0.0537,0.1148
VNCF,200,1,128,128,5e-05,10,0.0001,70,5,Adam,3.3749,0.0556,0.083,0.0449,0.0504,0.1074
VNCF,200,1,128,128,5e-05,10,0.0001,75,5,Adam,3.3873,0.0541,0.0801,0.0446,0.0488,0.1061
VNCF,200,1,128,128,5e-05,10,0.0001,80,5,Adam,3.3526,0.0561,0.0848,0.0457,0.0511,0.1109
VNCF,200,1,128,128,5e-05,10,0.0001,85,5,Adam,3.3278,0.0585,0.0879,0.0464,0.0534,0.113
VNCF,200,1,128,128,5e-05,10,0.0001,90,5,Adam,3.3386,0.057,0.0853,0.046,0.0535,0.1106
VNCF,200,1,128,128,5e-05,10,0.0001,95,5,Adam,3.289,0.0597,0.09,0.0471,0.0546,0.1156
VNCF,200,1,128,128,5e-05,10,0.0001,100,5,Adam,3.3245,0.0585,0.0877,0.0468,0.0535,0.1131
VNCF,200,1,128,128,5e-05,10,0.0001,105,5,Adam,3.3229,0.0584,0.0882,0.0463,0.0547,0.1136
VNCF,200,1,128,128,5e-05,10,0.0001,110,5,Adam,3.3072,0.0586,0.0894,0.0472,0.0552,0.1159
VNCF,200,1,128,128,5e-05,10,0.0001,115,5,Adam,3.3303,0.0585,0.0886,0.0468,0.0554,0.1142
VNCF,200,1,128,128,5e-05,10,0.0001,120,5,Adam,3.327,0.0583,0.0883,0.0464,0.0561,0.1142
VNCF,200,1,128,128,5e-05,10,0.0001,125,5,Adam,3.4452,0.0496,0.0739,0.0429,0.0428,0.1025
VNCF,200,1,128,128,5e-05,10,0.0001,130,5,Adam,3.4097,0.0537,0.0805,0.0444,0.0493,0.1055
VNCF,200,1,128,128,5e-05,10,0.0001,135,5,Adam,3.3997,0.0555,0.0827,0.0446,0.0507,0.1071
VNCF,200,1,128,128,5e-05,10,0.0001,140,5,Adam,3.3245,0.0571,0.0868,0.0461,0.0535,0.113
VNCF,200,1,128,128,5e-05,10,0.0001,145,5,Adam,3.3634,0.0559,0.0843,0.0455,0.0513,0.1106
VNCF,200,1,128,128,5e-05,10,0.0001,150,5,Adam,3.3939,0.0532,0.0806,0.0444,0.048,0.1072
VNCF,200,1,128,128,5e-05,10,0.0001,155,5,Adam,3.346,0.0571,0.0858,0.0462,0.0523,0.112
VNCF,200,1,128,128,5e-05,10,0.0001,160,5,Adam,3.3171,0.0563,0.0859,0.0461,0.0532,0.113
VNCF,200,1,128,128,5e-05,10,0.0001,165,5,Adam,3.3039,0.0586,0.0892,0.0472,0.0549,0.1167
VNCF,200,1,128,128,5e-05,10,0.0001,170,5,Adam,3.346,0.0586,0.0887,0.046,0.0559,0.1131
VNCF,200,1,128,128,5e-05,10,0.0001,175,5,Adam,3.3683,0.0558,0.0843,0.0456,0.0535,0.1097
VNCF,200,1,128,128,5e-05,10,0.0001,180,5,Adam,3.3807,0.0534,0.0804,0.0449,0.0489,0.1087
VNCF,200,1,128,128,5e-05,10,0.0001,185,5,Adam,3.3617,0.0558,0.0841,0.0452,0.0517,0.1091
VNCF,200,1,128,128,5e-05,10,0.0001,190,5,Adam,3.3477,0.0571,0.0865,0.0457,0.0538,0.1123
VNCF,200,1,128,128,5e-05,10,0.0001,195,5,Adam,3.3419,0.0553,0.0837,0.0461,0.0506,0.1113
VNCF,200,1,128,128,5e-05,10,0.0001,200,5,Adam,3.3906,0.0547,0.0815,0.0446,0.0496,0.1055
IVNCF,200,1,128,128,5e-05,10,0.0001,5,5,Adam,4.5884,0.0102,0.0135,0.0102,0.008,0.0188
IVNCF,200,1,128,128,5e-05,10,0.0001,10,5,Adam,3.5369,0.0506,0.0721,0.0416,0.044,0.0924
IVNCF,200,1,128,128,5e-05,10,0.0001,15,5,Adam,3.3832,0.0544,0.0802,0.0457,0.0501,0.1053
IVNCF,200,1,128,128,5e-05,10,0.0001,20,5,Adam,3.4063,0.0499,0.0748,0.0452,0.0464,0.1046
IVNCF,200,1,128,128,5e-05,10,0.0001,25,5,Adam,3.4039,0.0497,0.0749,0.0443,0.0441,0.1027
IVNCF,200,1,128,128,5e-05,10,0.0001,30,5,Adam,3.4072,0.0507,0.0763,0.044,0.0454,0.1032
IVNCF,200,1,128,128,5e-05,10,0.0001,35,5,Adam,3.3774,0.054,0.0811,0.0452,0.0504,0.1062
IVNCF,200,1,128,128,5e-05,10,0.0001,40,5,Adam,3.3568,0.056,0.0854,0.0461,0.0538,0.1105
IVNCF,200,1,128,128,5e-05,10,0.0001,45,5,Adam,3.351,0.0558,0.0848,0.0457,0.0532,0.1099
IVNCF,200,1,128,128,5e-05,10,0.0001,50,5,Adam,3.4386,0.0507,0.0757,0.0431,0.0467,0.1013
IVNCF,200,1,128,128,5e-05,10,0.0001,55,5,Adam,3.3824,0.0525,0.0793,0.0448,0.0484,0.1054
IVNCF,200,1,128,128,5e-05,10,0.0001,60,5,Adam,3.4022,0.0544,0.0821,0.0442,0.0513,0.1063
IVNCF,200,1,128,128,5e-05,10,0.0001,65,5,Adam,3.3931,0.054,0.0821,0.0448,0.0509,0.1072
IVNCF,200,1,128,128,5e-05,10,0.0001,70,5,Adam,3.3733,0.0542,0.082,0.0457,0.0504,0.1083
IVNCF,200,1,128,128,5e-05,10,0.0001,75,5,Adam,3.3601,0.0571,0.0866,0.046,0.0539,0.1102
IVNCF,200,1,128,128,5e-05,10,0.0001,80,5,Adam,3.389,0.0541,0.0815,0.0449,0.0499,0.1077
IVNCF,200,1,128,128,5e-05,10,0.0001,85,5,Adam,3.3658,0.0549,0.0834,0.0456,0.0519,0.1093
IVNCF,200,1,128,128,5e-05,10,0.0001,90,5,Adam,3.3295,0.0556,0.0853,0.0462,0.0519,0.1112
IVNCF,200,1,128,128,5e-05,10,0.0001,95,5,Adam,3.4287,0.0505,0.0758,0.0437,0.0442,0.1023
IVNCF,200,1,128,128,5e-05,10,0.0001,100,5,Adam,3.3716,0.0536,0.0817,0.0449,0.0498,0.1088
IVNCF,200,1,128,128,5e-05,10,0.0001,105,5,Adam,3.3782,0.0552,0.083,0.0454,0.0511,0.1076
IVNCF,200,1,128,128,5e-05,10,0.0001,110,5,Adam,3.3667,0.0542,0.083,0.0453,0.0509,0.1094
IVNCF,200,1,128,128,5e-05,10,0.0001,115,5,Adam,3.3824,0.0538,0.0812,0.0448,0.0514,0.1066
IVNCF,200,1,128,128,5e-05,10,0.0001,120,5,Adam,3.37,0.0552,0.0838,0.0451,0.052,0.108
