Falling Rank,type,model
-30017,Unaffected,CVNCF
-49953,Unaffected,CVNCF
-107567,Unaffected,CVNCF
17999,Unaffected,CVNCF
68802,Unaffected,CVNCF
-7941,Unaffected,CVNCF
-231142,Unaffected,CVNCF
-34550,Unaffected,CVNCF
-118403,Unaffected,CVNCF
-159290,Unaffected,CVNCF
-1957,Unaffected,CVNCF
-197955,Unaffected,CVNCF
-148639,Unaffected,CVNCF
29405,Unaffected,CVNCF
17670,Unaffected,CVNCF
-133915,Unaffected,CVNCF
-64736,Unaffected,CVNCF
-49435,Unaffected,CVNCF
-86168,Unaffected,CVNCF
6876,Unaffected,CVNCF
17130,Unaffected,CVNCF
25109,Unaffected,CVNCF
22819,Unaffected,CVNCF
-152982,Unaffected,CVNCF
-66943,Unaffected,CVNCF
-10338,Unaffected,CVNCF
-6019,Unaffected,CVNCF
-36432,Unaffected,CVNCF
-60844,Unaffected,CVNCF
58894,Unaffected,CVNCF
2038,Unaffected,CVNCF
130898,Unaffected,CVNCF
-60653,Unaffected,CVNCF
-113191,Unaffected,CVNCF
81951,Unaffected,CVNCF
-158514,Unaffected,CVNCF
-72290,Unaffected,CVNCF
-153555,Unaffected,CVNCF
53756,Unaffected,CVNCF
-22509,Unaffected,CVNCF
19055,Unaffected,CVNCF
44240,Unaffected,CVNCF
-3423,Unaffected,CVNCF
442,Unaffected,CVNCF
9229,Unaffected,CVNCF
53092,Unaffected,CVNCF
-59577,Unaffected,CVNCF
-43720,Unaffected,CVNCF
-166279,Unaffected,CVNCF
125210,Unaffected,CVNCF
10304,Unaffected,CVNCF
-112888,Unaffected,CVNCF
12490,Unaffected,CVNCF
-57895,Unaffected,CVNCF
-20015,Unaffected,CVNCF
-2820,Unaffected,CVNCF
-231458,Unaffected,CVNCF
-68319,Unaffected,CVNCF
-132326,Unaffected,CVNCF
-270448,Unaffected,CVNCF
-3632,Unaffected,CVNCF
107443,Unaffected,CVNCF
-87881,Unaffected,CVNCF
-86965,Unaffected,CVNCF
5429,Unaffected,CVNCF
-90324,Unaffected,CVNCF
-35543,Unaffected,CVNCF
11629,Unaffected,CVNCF
54798,Unaffected,CVNCF
-100111,Unaffected,CVNCF
49960,Unaffected,CVNCF
92694,Unaffected,CVNCF
31130,Unaffected,CVNCF
-180016,Unaffected,CVNCF
1980,Unaffected,CVNCF
-23144,Unaffected,CVNCF
88734,Unaffected,CVNCF
38212,Unaffected,CVNCF
-54901,Unaffected,CVNCF
17430,Unaffected,CVNCF
-88566,Unaffected,CVNCF
150595,Unaffected,CVNCF
-209169,Unaffected,CVNCF
-70563,Unaffected,CVNCF
-48879,Unaffected,CVNCF
38827,Unaffected,CVNCF
-79450,Unaffected,CVNCF
27748,Unaffected,CVNCF
-110167,Unaffected,CVNCF
34758,Unaffected,CVNCF
-29019,Unaffected,CVNCF
-19289,Unaffected,CVNCF
-75986,Unaffected,CVNCF
-21921,Unaffected,CVNCF
-42039,Unaffected,CVNCF
6926,Unaffected,CVNCF
12274,Unaffected,CVNCF
-7275,Unaffected,CVNCF
-50116,Unaffected,CVNCF
-21344,Unaffected,CVNCF
29368,Unaffected,CVNCF
-54885,Unaffected,CVNCF
86556,Unaffected,CVNCF
-51707,Unaffected,CVNCF
-258269,Unaffected,CVNCF
-154336,Unaffected,CVNCF
-41582,Unaffected,CVNCF
4378,Unaffected,CVNCF
-98998,Unaffected,CVNCF
54935,Unaffected,CVNCF
-112372,Unaffected,CVNCF
-58109,Unaffected,CVNCF
22183,Unaffected,CVNCF
-145270,Unaffected,CVNCF
-10998,Unaffected,CVNCF
20645,Unaffected,CVNCF
49799,Unaffected,CVNCF
69522,Unaffected,CVNCF
10280,Unaffected,CVNCF
-199439,Unaffected,CVNCF
-80951,Unaffected,CVNCF
-97780,Unaffected,CVNCF
-135799,Unaffected,CVNCF
5314,Unaffected,CVNCF
-63880,Unaffected,CVNCF
-175329,Unaffected,CVNCF
-175467,Unaffected,CVNCF
90362,Unaffected,CVNCF
-4394,Unaffected,CVNCF
105179,Unaffected,CVNCF
-254067,Unaffected,CVNCF
23870,Unaffected,CVNCF
-34839,Unaffected,CVNCF
-23001,Unaffected,CVNCF
7623,Unaffected,CVNCF
90200,Unaffected,CVNCF
83385,Unaffected,CVNCF
4774,Unaffected,CVNCF
14344,Unaffected,CVNCF
58686,Unaffected,CVNCF
18399,Unaffected,CVNCF
-320614,Unaffected,CVNCF
-68844,Unaffected,CVNCF
-84690,Unaffected,CVNCF
51014,Unaffected,CVNCF
-17170,Unaffected,CVNCF
-56138,Unaffected,CVNCF
-93952,Unaffected,CVNCF
27759,Unaffected,CVNCF
5749,Unaffected,CVNCF
11212,Unaffected,CVNCF
25946,Unaffected,CVNCF
12348,Unaffected,CVNCF
74367,Unaffected,CVNCF
-66065,Unaffected,CVNCF
-173297,Unaffected,CVNCF
22579,Unaffected,CVNCF
-103198,Unaffected,CVNCF
-39017,Unaffected,CVNCF
-69162,Unaffected,CVNCF
39846,Unaffected,CVNCF
-84436,Unaffected,CVNCF
-124578,Unaffected,CVNCF
6001,Unaffected,CVNCF
-110344,Unaffected,CVNCF
17068,Unaffected,CVNCF
-126105,Unaffected,CVNCF
491,Unaffected,CVNCF
41965,Unaffected,CVNCF
-96093,Unaffected,CVNCF
-28254,Unaffected,CVNCF
-19936,Unaffected,CVNCF
-20979,Unaffected,CVNCF
-82049,Unaffected,CVNCF
72648,Unaffected,CVNCF
28088,Unaffected,CVNCF
160308,Unaffected,CVNCF
74541,Unaffected,CVNCF
48005,Unaffected,CVNCF
-12846,Unaffected,CVNCF
-45851,Unaffected,CVNCF
-754,Unaffected,CVNCF
-107741,Unaffected,CVNCF
58583,Unaffected,CVNCF
-291156,Unaffected,CVNCF
-272897,Unaffected,CVNCF
-42845,Unaffected,CVNCF
-4036,Unaffected,CVNCF
-222467,Unaffected,CVNCF
1692,Unaffected,CVNCF
-22802,Unaffected,CVNCF
80103,Unaffected,CVNCF
82737,Unaffected,CVNCF
33254,Unaffected,CVNCF
50169,Unaffected,CVNCF
21229,Unaffected,CVNCF
-91224,Unaffected,CVNCF
-42625,Unaffected,CVNCF
76351,Unaffected,CVNCF
2279,Unaffected,CVNCF
12634,Unaffected,CVNCF
100025,Unaffected,CVNCF
18074,Unaffected,CVNCF
-19607,Unaffected,CVNCF
-44301,Unaffected,CVNCF
62435,Unaffected,CVNCF
-4281,Unaffected,CVNCF
-104485,Unaffected,CVNCF
-65271,Unaffected,CVNCF
-213330,Unaffected,CVNCF
-2430,Unaffected,CVNCF
-73252,Unaffected,CVNCF
115177,Unaffected,CVNCF
-65346,Unaffected,CVNCF
-79825,Unaffected,CVNCF
-77258,Unaffected,CVNCF
449,Unaffected,CVNCF
22165,Unaffected,CVNCF
34037,Unaffected,CVNCF
-4972,Unaffected,CVNCF
51354,Unaffected,CVNCF
-104612,Unaffected,CVNCF
-12283,Unaffected,CVNCF
-17217,Unaffected,CVNCF
-54667,Unaffected,CVNCF
52617,Unaffected,CVNCF
57907,Unaffected,CVNCF
-121425,Unaffected,CVNCF
45268,Unaffected,CVNCF
-21003,Unaffected,CVNCF
-129597,Unaffected,CVNCF
52420,Unaffected,CVNCF
-137201,Unaffected,CVNCF
-39502,Unaffected,CVNCF
-60490,Unaffected,CVNCF
-192504,Unaffected,CVNCF
17847,Unaffected,CVNCF
-8479,Unaffected,CVNCF
3315,Unaffected,CVNCF
64799,Unaffected,CVNCF
-120226,Unaffected,CVNCF
-60482,Unaffected,CVNCF
1679,Unaffected,CVNCF
-5126,Unaffected,CVNCF
-34840,Unaffected,CVNCF
-145146,Unaffected,CVNCF
135788,Unaffected,CVNCF
25057,Unaffected,CVNCF
-127244,Unaffected,CVNCF
76751,Unaffected,CVNCF
-104968,Unaffected,CVNCF
31821,Unaffected,CVNCF
-49062,Unaffected,CVNCF
-24439,Unaffected,CVNCF
32745,Unaffected,CVNCF
-5385,Unaffected,CVNCF
8306,Unaffected,CVNCF
24173,Unaffected,CVNCF
-212722,Unaffected,CVNCF
34730,Unaffected,CVNCF
-125449,Unaffected,CVNCF
-48562,Unaffected,CVNCF
-63335,Unaffected,CVNCF
25538,Unaffected,CVNCF
-145647,Unaffected,CVNCF
-92035,Unaffected,CVNCF
23544,Unaffected,CVNCF
7669,Unaffected,CVNCF
33318,Unaffected,CVNCF
-424597,Unaffected,CVNCF
12368,Unaffected,CVNCF
-87624,Unaffected,CVNCF
-180337,Unaffected,CVNCF
2179,Unaffected,CVNCF
-15386,Unaffected,CVNCF
-34315,Unaffected,CVNCF
14924,Unaffected,CVNCF
11947,Unaffected,CVNCF
-36234,Unaffected,CVNCF
-36365,Unaffected,CVNCF
-71956,Unaffected,CVNCF
-26722,Unaffected,CVNCF
-36816,Unaffected,CVNCF
-32637,Unaffected,CVNCF
-165804,Unaffected,CVNCF
-89546,Unaffected,CVNCF
-169112,Unaffected,CVNCF
-127942,Unaffected,CVNCF
-94234,Unaffected,CVNCF
115422,Unaffected,CVNCF
-118667,Unaffected,CVNCF
-42256,Unaffected,CVNCF
25800,Unaffected,CVNCF
-52915,Unaffected,CVNCF
832,Unaffected,CVNCF
-40701,Unaffected,CVNCF
72207,Unaffected,CVNCF
-28880,Unaffected,CVNCF
-69479,Unaffected,CVNCF
11595,Unaffected,CVNCF
-140428,Unaffected,CVNCF
59953,Unaffected,CVNCF
-83856,Unaffected,CVNCF
-62237,Unaffected,CVNCF
-77476,Unaffected,CVNCF
47496,Unaffected,CVNCF
18733,Unaffected,CVNCF
7591,Unaffected,CVNCF
-170875,Unaffected,CVNCF
74144,Unaffected,CVNCF
-103108,Unaffected,CVNCF
-13358,Unaffected,CVNCF
-146590,Unaffected,CVNCF
-35654,Unaffected,CVNCF
-319203,Unaffected,CVNCF
14047,Unaffected,CVNCF
-33081,Unaffected,CVNCF
-152090,Unaffected,CVNCF
-110887,Unaffected,CVNCF
31842,Unaffected,CVNCF
-56831,Unaffected,CVNCF
-74659,Unaffected,CVNCF
-205908,Unaffected,CVNCF
113114,Unaffected,CVNCF
-75098,Unaffected,CVNCF
-168543,Unaffected,CVNCF
-17939,Unaffected,CVNCF
-85232,Unaffected,CVNCF
-105941,Unaffected,CVNCF
-75815,Unaffected,CVNCF
41883,Unaffected,CVNCF
-27131,Unaffected,CVNCF
-40117,Unaffected,CVNCF
77715,Unaffected,CVNCF
-116277,Unaffected,CVNCF
-30781,Unaffected,CVNCF
210,Unaffected,CVNCF
-26609,Unaffected,CVNCF
3623,Unaffected,CVNCF
-67044,Unaffected,CVNCF
51727,Unaffected,CVNCF
2846,Unaffected,CVNCF
694,Unaffected,CVNCF
-74371,Unaffected,CVNCF
56163,Unaffected,CVNCF
-6318,Unaffected,CVNCF
13802,Unaffected,CVNCF
91836,Unaffected,CVNCF
-108710,Unaffected,CVNCF
112247,Unaffected,CVNCF
7879,Unaffected,CVNCF
-33130,Unaffected,CVNCF
-29371,Unaffected,CVNCF
-25997,Unaffected,CVNCF
-30392,Unaffected,CVNCF
-164385,Unaffected,CVNCF
-7442,Unaffected,CVNCF
27746,Unaffected,CVNCF
34241,Unaffected,CVNCF
-28301,Unaffected,CVNCF
-79510,Unaffected,CVNCF
-47532,Unaffected,CVNCF
