F-MAP@10,F-MAP@20,F-MAP@5,model
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.043333333333333335,0.027631578947368396,0.06666666666666665,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.00912393162393163,0.0,CE-NCF
0.05833333333333335,0.032500000000000195,0.11666666666666659,CE-NCF
-0.20833333333333331,-0.10416666666666669,-0.4166666666666667,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.0892857142857143,-0.04797619047619045,-0.11666666666666659,CE-NCF
-0.02361111111111125,-0.017524509803921617,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.1833333333333333,-0.09812500000000002,-0.3666666666666667,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.14500000000000002,-0.07249999999999997,-0.25666666666666665,CE-NCF
-0.06944444444444443,-0.03856837606837604,-0.11666666666666664,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.008703007518797046,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.006111111111111109,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.010000000000000009,0.012670454545454568,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.014285714285714277,0.0038095238095237904,0.0,CE-NCF
0.0,0.02552921343362513,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.012499999999999997,0.006249999999999978,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.01666666666666683,-0.005555555555555536,0.0,CE-NCF
0.09,0.04500000000000001,0.2,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.005409356725146199,0.0,CE-NCF
0.09999999999999998,0.04999999999999993,0.20000000000000007,CE-NCF
0.0,0.0045454545454545435,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0125,0.006249999999999999,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.014285714285714284,0.007142857142857145,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0017857142857143349,0.003392857142857142,-0.05000000000000002,CE-NCF
0.012499999999999956,0.006249999999999978,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.11999999999999988,0.07396986999928168,0.24000000000000005,CE-NCF
0.0,0.0,0.0,CE-NCF
0.05833333333333335,0.029166666666666674,0.1166666666666667,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.01999999999999999,-0.015131578947368426,-0.04,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.07222222222222219,0.03194444444444444,0.16666666666666666,CE-NCF
0.0,0.007909356725146366,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.0035714285714286698,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.005625000000000102,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.008712121212121213,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.07499999999999996,0.03749999999999998,0.15000000000000002,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0111111111111111,0.008888888888888946,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.08333333333333337,-0.041666666666666685,-0.1666666666666666,CE-NCF
-0.047619047619047616,-0.02380952380952378,-0.06666666666666665,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.010029761904761875,0.0,CE-NCF
0.021111111111111112,0.010555555555555561,0.0,CE-NCF
0.0,-0.0062030075187969325,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.002631578947368421,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.10833333333333336,0.054166666666666585,0.21666666666666662,CE-NCF
0.0,0.012177287581699343,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.014285714285714318,-0.007142857142857173,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.014285714285714284,-0.010714285714285718,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.05833333333333335,0.029166666666666785,0.11666666666666659,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
-0.02361111111111111,-0.02280934343434346,0.0,CE-NCF
-0.09999999999999998,-0.05000000000000002,-0.1999999999999999,CE-NCF
-0.04999999999999999,-0.024999999999999967,-0.1,CE-NCF
0.03249999999999992,0.028808275058275046,0.03999999999999995,CE-NCF
0.0,0.002631578947368421,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,0.0,0.0,CE-NCF
0.0,-0.0025000000000000577,0.0,CE-NCF
