model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.0001,,0.0001,300,5,"[3.7756, 0.0476]","[0.0201, 0.0015]","[0.0183, 0.0013]","[0.0169, 0.0011]","[0.0232, 0.0022]","[0.0128, 0.0007]","[0.0647, 0.0033]","[0.0159, 0.001]","[0.0139, 0.0008]","[0.0126, 0.0007]","[0.0194, 0.0015]","[0.0086, 0.0004]","[0.0221, 0.0024]","[0.0589, 0.0046]","[0.0753, 0.0052]","[0.0919, 0.0057]","[0.0367, 0.0037]","[0.1468, 0.0068]"
CVNCF,200,1,128,128,0.0001,,0.0001,300,5,"[3.9511, 0.045]","[0.0182, 0.0015]","[0.0161, 0.0012]","[0.0148, 0.001]","[0.0217, 0.0021]","[0.011, 0.0006]","[0.0581, 0.0035]","[0.0133, 0.0009]","[0.0113, 0.0007]","[0.0102, 0.0006]","[0.0177, 0.0015]","[0.0073, 0.0003]","[0.024, 0.0028]","[0.0493, 0.0043]","[0.0608, 0.0047]","[0.0729, 0.0051]","[0.0353, 0.0037]","[0.1234, 0.0064]"
CVNCF,150,1,128,128,0.0001,,0.0001,300,5,"[4.2449, 0.0386]","[0.0083, 0.0009]","[0.008, 0.0008]","[0.0078, 0.0007]","[0.0085, 0.0012]","[0.0068, 0.0005]","[0.0332, 0.002]","[0.0077, 0.0007]","[0.0074, 0.0006]","[0.0069, 0.0005]","[0.0088, 0.0011]","[0.0057, 0.0003]","[0.0083, 0.0013]","[0.0232, 0.0028]","[0.0335, 0.0034]","[0.0408, 0.0037]","[0.0133, 0.0021]","[0.0878, 0.0054]"
CVNCF,100,1,128,128,0.0001,,0.0001,300,5,"[4.2893, 0.0376]","[0.0082, 0.001]","[0.0077, 0.0008]","[0.0074, 0.0007]","[0.009, 0.0013]","[0.0063, 0.0004]","[0.0312, 0.0021]","[0.0069, 0.0007]","[0.0065, 0.0005]","[0.0063, 0.0005]","[0.0084, 0.001]","[0.0051, 0.0003]","[0.0081, 0.0014]","[0.0208, 0.0027]","[0.0294, 0.0032]","[0.0384, 0.0036]","[0.0128, 0.0021]","[0.082, 0.0053]"
