model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.01,,0.005,300,5,"[3.0919, 0.0527]","[0.0293, 0.0018]","[0.0277, 0.0015]","[0.0261, 0.0013]","[0.03, 0.0023]","[0.021, 0.0008]","[0.1059, 0.0036]","[0.027, 0.0013]","[0.0227, 0.001]","[0.0209, 0.0009]","[0.0317, 0.002]","[0.0152, 0.0005]","[0.0264, 0.0023]","[0.1058, 0.0062]","[0.1286, 0.0067]","[0.1528, 0.0071]","[0.0615, 0.0048]","[0.2654, 0.0086]"
CVNCF,200,1,128,128,0.01,,0.005,300,5,"[3.094, 0.0527]","[0.0324, 0.0019]","[0.0298, 0.0016]","[0.0279, 0.0014]","[0.0354, 0.0025]","[0.0218, 0.0009]","[0.1119, 0.004]","[0.0267, 0.0013]","[0.0232, 0.001]","[0.0211, 0.0009]","[0.0336, 0.002]","[0.0152, 0.0005]","[0.0304, 0.0026]","[0.1048, 0.0062]","[0.1326, 0.0067]","[0.1558, 0.0071]","[0.0671, 0.0051]","[0.2673, 0.0086]"
CVNCF,150,1,128,128,0.01,,0.005,300,5,"[3.09, 0.0528]","[0.0335, 0.002]","[0.0307, 0.0016]","[0.0286, 0.0014]","[0.0383, 0.0028]","[0.022, 0.0009]","[0.117, 0.0044]","[0.0268, 0.0013]","[0.0239, 0.001]","[0.0214, 0.0008]","[0.0313, 0.002]","[0.0152, 0.0005]","[0.041, 0.0036]","[0.1036, 0.0061]","[0.1347, 0.0068]","[0.1575, 0.0072]","[0.0604, 0.0048]","[0.2687, 0.0087]"
CVNCF,100,1,128,128,0.01,,0.005,300,5,"[3.0951, 0.0529]","[0.0345, 0.002]","[0.0312, 0.0016]","[0.0289, 0.0014]","[0.0393, 0.0028]","[0.0222, 0.0009]","[0.118, 0.0045]","[0.0271, 0.0013]","[0.0236, 0.001]","[0.0212, 0.0009]","[0.0337, 0.002]","[0.0154, 0.0005]","[0.0419, 0.0036]","[0.1052, 0.0062]","[0.1344, 0.0068]","[0.1568, 0.0072]","[0.0695, 0.0052]","[0.2671, 0.0087]"
