model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.0001,,0.0005,300,5,"[3.1918, 0.0518]","[0.0262, 0.0017]","[0.025, 0.0014]","[0.0239, 0.0012]","[0.0273, 0.0023]","[0.0198, 0.0008]","[0.0999, 0.0036]","[0.024, 0.0012]","[0.0218, 0.001]","[0.0202, 0.0009]","[0.0268, 0.0018]","[0.0146, 0.0005]","[0.0282, 0.0026]","[0.0874, 0.0056]","[0.1144, 0.0062]","[0.1393, 0.0067]","[0.0514, 0.0044]","[0.2502, 0.0084]"
CVNCF,200,1,128,128,0.0001,,0.0005,300,5,"[3.2284, 0.0515]","[0.0263, 0.0017]","[0.0247, 0.0014]","[0.0235, 0.0013]","[0.0283, 0.0024]","[0.0191, 0.0008]","[0.0982, 0.0036]","[0.0231, 0.0012]","[0.0209, 0.001]","[0.0192, 0.0008]","[0.0266, 0.0019]","[0.0141, 0.0005]","[0.0248, 0.0024]","[0.0873, 0.0056]","[0.1147, 0.0063]","[0.1388, 0.0068]","[0.0508, 0.0044]","[0.2464, 0.0084]"
CVNCF,150,1,128,128,0.0001,,0.0005,300,5,"[3.172, 0.0521]","[0.0283, 0.0018]","[0.0265, 0.0015]","[0.025, 0.0013]","[0.031, 0.0024]","[0.02, 0.0008]","[0.1055, 0.004]","[0.0242, 0.0012]","[0.0216, 0.001]","[0.0202, 0.0008]","[0.0282, 0.0018]","[0.0142, 0.0005]","[0.0334, 0.0031]","[0.0942, 0.0058]","[0.1227, 0.0065]","[0.1505, 0.0071]","[0.0576, 0.0047]","[0.2541, 0.0085]"
CVNCF,100,1,128,128,0.0001,,0.0005,300,5,"[3.3403, 0.0514]","[0.0274, 0.0018]","[0.025, 0.0015]","[0.0233, 0.0013]","[0.031, 0.0025]","[0.0178, 0.0008]","[0.0945, 0.0039]","[0.0221, 0.0012]","[0.0191, 0.0009]","[0.0174, 0.0008]","[0.0272, 0.0018]","[0.0119, 0.0004]","[0.0308, 0.0029]","[0.0875, 0.0056]","[0.1113, 0.0062]","[0.1337, 0.0068]","[0.0557, 0.0046]","[0.2204, 0.0081]"
