model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.003333,,0.001,300,5,"[3.0916, 0.0528]","[0.0312, 0.0018]","[0.029, 0.0015]","[0.0273, 0.0013]","[0.0344, 0.0025]","[0.0214, 0.0008]","[0.1114, 0.0039]","[0.0269, 0.0013]","[0.0236, 0.001]","[0.0212, 0.0009]","[0.0326, 0.002]","[0.0153, 0.0005]","[0.0303, 0.0026]","[0.106, 0.0062]","[0.1337, 0.0068]","[0.1561, 0.0071]","[0.0668, 0.0051]","[0.2697, 0.0087]"
CVNCF,200,1,128,128,0.003333,,0.001,300,5,"[3.1028, 0.0523]","[0.0326, 0.002]","[0.0298, 0.0016]","[0.0278, 0.0014]","[0.0374, 0.0028]","[0.0217, 0.0009]","[0.1159, 0.0044]","[0.026, 0.0013]","[0.0237, 0.001]","[0.0211, 0.0009]","[0.03, 0.0019]","[0.0153, 0.0005]","[0.0411, 0.0036]","[0.0967, 0.0059]","[0.1335, 0.0067]","[0.1545, 0.0071]","[0.0588, 0.0048]","[0.2692, 0.0087]"
CVNCF,150,1,128,128,0.003333,,0.001,300,5,"[3.1004, 0.0526]","[0.0327, 0.002]","[0.0302, 0.0016]","[0.0281, 0.0014]","[0.0372, 0.0028]","[0.0218, 0.0009]","[0.1168, 0.0044]","[0.0269, 0.0013]","[0.0235, 0.001]","[0.0212, 0.0009]","[0.03, 0.0019]","[0.0154, 0.0005]","[0.0413, 0.0036]","[0.1022, 0.0061]","[0.1322, 0.0067]","[0.1557, 0.0071]","[0.0589, 0.0048]","[0.2711, 0.0087]"
CVNCF,100,1,128,128,0.003333,,0.001,300,5,"[3.113, 0.0523]","[0.0321, 0.002]","[0.0294, 0.0016]","[0.0275, 0.0014]","[0.0377, 0.0028]","[0.0216, 0.0009]","[0.1156, 0.0044]","[0.025, 0.0013]","[0.0234, 0.001]","[0.0211, 0.0009]","[0.0308, 0.002]","[0.0154, 0.0005]","[0.0401, 0.0036]","[0.0949, 0.0058]","[0.1319, 0.0067]","[0.1556, 0.0071]","[0.0599, 0.0048]","[0.2678, 0.0086]"
