model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0886, 0.0018]","[0.0808, 0.0015]","[0.0762, 0.0013]","[0.1012, 0.0024]","[0.154, 0.0028]","[0.1844, 0.0028]","[0.2225, 0.0029]","[0.1236, 0.0027]","[0.069, 0.0012]","[0.0631, 0.001]","[0.065, 0.0009]","[0.0932, 0.002]","[0.2118, 0.0038]","[0.2969, 0.0043]","[0.4184, 0.0047]","[0.1438, 0.0033]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0946, 0.0019]","[0.0852, 0.0016]","[0.0797, 0.0014]","[0.108, 0.0024]","[0.1653, 0.0029]","[0.1943, 0.003]","[0.2313, 0.0029]","[0.1385, 0.0029]","[0.0716, 0.0013]","[0.0641, 0.001]","[0.065, 0.0009]","[0.1047, 0.0021]","[0.2259, 0.004]","[0.3071, 0.0044]","[0.4259, 0.0047]","[0.1654, 0.0035]"
INCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2966, 0.0027]","[0.253, 0.0022]","[0.2228, 0.0019]","[0.3713, 0.0035]","[0.5623, 0.0038]","[0.5984, 0.0036]","[0.6173, 0.0035]","[0.4881, 0.0041]","[0.1936, 0.0018]","[0.15, 0.0014]","[0.1219, 0.0011]","[0.2803, 0.0027]","[0.6997, 0.0043]","[0.7976, 0.0038]","[0.8547, 0.0033]","[0.5349, 0.0046]"
CNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.1473, 0.0021]","[0.1321, 0.0017]","[0.1217, 0.0015]","[0.1744, 0.0029]","[0.2919, 0.0036]","[0.3327, 0.0036]","[0.3649, 0.0034]","[0.2323, 0.0037]","[0.1104, 0.0014]","[0.0965, 0.0011]","[0.0875, 0.0009]","[0.1396, 0.0021]","[0.4017, 0.0047]","[0.5155, 0.0047]","[0.616, 0.0046]","[0.2641, 0.0043]"
IVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.295, 0.0026]","[0.2535, 0.0022]","[0.2244, 0.0019]","[0.3657, 0.0035]","[0.5592, 0.0037]","[0.6004, 0.0034]","[0.6211, 0.0033]","[0.4789, 0.0039]","[0.197, 0.0019]","[0.1551, 0.0014]","[0.1263, 0.0012]","[0.2792, 0.0027]","[0.7093, 0.0041]","[0.8213, 0.0036]","[0.885, 0.0029]","[0.5304, 0.0045]"
CVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2458, 0.0025]","[0.2098, 0.0021]","[0.1857, 0.0018]","[0.3098, 0.0035]","[0.4719, 0.004]","[0.5068, 0.0039]","[0.5315, 0.0037]","[0.4081, 0.0042]","[0.159, 0.0016]","[0.126, 0.0012]","[0.1064, 0.001]","[0.229, 0.0025]","[0.5864, 0.0046]","[0.6818, 0.0044]","[0.7579, 0.004]","[0.4421, 0.0047]"
