model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0864, 0.002]","[0.0789, 0.0017]","[0.0746, 0.0015]","[0.0987, 0.0026]","[0.1503, 0.0031]","[0.18, 0.0031]","[0.2183, 0.0031]","[0.1201, 0.0029]","[0.0677, 0.0014]","[0.062, 0.0011]","[0.0643, 0.001]","[0.0908, 0.0021]","[0.2075, 0.0042]","[0.29, 0.0047]","[0.4124, 0.0052]","[0.1397, 0.0036]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0915, 0.002]","[0.0827, 0.0017]","[0.0776, 0.0015]","[0.1034, 0.0026]","[0.1608, 0.0032]","[0.1892, 0.0032]","[0.2263, 0.0032]","[0.1338, 0.0031]","[0.0702, 0.0014]","[0.0629, 0.0011]","[0.0644, 0.001]","[0.1018, 0.0023]","[0.2227, 0.0044]","[0.3019, 0.0048]","[0.4199, 0.0052]","[0.1614, 0.0039]"
INCF,100,1,128,128,0.0001,,0.0001,500,1,"[0.3173, 0.003]","[0.2676, 0.0025]","[0.2338, 0.0022]","[0.403, 0.004]","[0.5977, 0.0043]","[0.6286, 0.0041]","[0.6459, 0.0039]","[0.5281, 0.0046]","[0.1993, 0.0021]","[0.151, 0.0016]","[0.1219, 0.0013]","[0.297, 0.0031]","[0.7207, 0.0046]","[0.8039, 0.0041]","[0.8563, 0.0037]","[0.5681, 0.0051]"
CNCF,100,1,128,128,0.0001,,0.0001,500,1,"[0.1755, 0.0025]","[0.1553, 0.0021]","[0.1417, 0.0018]","[0.2113, 0.0035]","[0.3415, 0.0042]","[0.3847, 0.0041]","[0.4175, 0.0039]","[0.2779, 0.0043]","[0.1268, 0.0016]","[0.1084, 0.0013]","[0.0967, 0.0011]","[0.1669, 0.0025]","[0.4602, 0.0053]","[0.5815, 0.0052]","[0.6837, 0.0049]","[0.3128, 0.0049]"
IVNCF,100,1,128,128,0.0001,,0.0001,500,1,"[0.3109, 0.003]","[0.2647, 0.0025]","[0.2329, 0.0022]","[0.3903, 0.0039]","[0.592, 0.0041]","[0.628, 0.0039]","[0.6483, 0.0037]","[0.513, 0.0045]","[0.2019, 0.0021]","[0.1559, 0.0016]","[0.1269, 0.0013]","[0.2914, 0.003]","[0.7349, 0.0045]","[0.8319, 0.0038]","[0.8937, 0.0031]","[0.5589, 0.005]"
CVNCF,100,1,128,128,0.0001,,0.0001,500,1,"[0.2039, 0.0026]","[0.1778, 0.0021]","[0.1603, 0.0018]","[0.251, 0.0036]","[0.4016, 0.0043]","[0.4434, 0.0041]","[0.4744, 0.004]","[0.335, 0.0045]","[0.1407, 0.0016]","[0.1173, 0.0013]","[0.1027, 0.0011]","[0.19, 0.0025]","[0.5217, 0.0052]","[0.6382, 0.0049]","[0.734, 0.0045]","[0.369, 0.0051]"
