model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,NDCG@10,NDCG@15,NDCG@20,NDCG@5,Precision@10,Precision@15,Precision@20,Precision@5,Recall@10,Recall@15,Recall@20,Recall@5
UserPop,1,1,1,1,1.0,,1.0,1,1,"[0.0886, 0.0018]","[0.0808, 0.0015]","[0.0762, 0.0013]","[0.1012, 0.0024]","[0.154, 0.0028]","[0.1844, 0.0028]","[0.2225, 0.0029]","[0.1236, 0.0027]","[0.069, 0.0012]","[0.0631, 0.001]","[0.065, 0.0009]","[0.0932, 0.002]","[0.2118, 0.0038]","[0.2969, 0.0043]","[0.4184, 0.0047]","[0.1438, 0.0033]"
ItemPop,1,1,1,1,1.0,,1.0,1,1,"[0.0946, 0.0019]","[0.0852, 0.0016]","[0.0797, 0.0014]","[0.108, 0.0024]","[0.1653, 0.0029]","[0.1943, 0.003]","[0.2313, 0.0029]","[0.1385, 0.0029]","[0.0716, 0.0013]","[0.0641, 0.001]","[0.065, 0.0009]","[0.1047, 0.0021]","[0.2259, 0.004]","[0.3071, 0.0044]","[0.4259, 0.0047]","[0.1654, 0.0035]"
INCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2949, 0.0026]","[0.2514, 0.0022]","[0.2214, 0.0019]","[0.3698, 0.0036]","[0.5585, 0.0038]","[0.5942, 0.0036]","[0.614, 0.0035]","[0.4845, 0.0041]","[0.1918, 0.0018]","[0.1487, 0.0014]","[0.1212, 0.0011]","[0.2784, 0.0027]","[0.6948, 0.0043]","[0.791, 0.0038]","[0.8513, 0.0034]","[0.529, 0.0046]"
CNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.1543, 0.0022]","[0.1368, 0.0018]","[0.1254, 0.0015]","[0.187, 0.003]","[0.3006, 0.0037]","[0.3404, 0.0036]","[0.3731, 0.0035]","[0.2427, 0.0037]","[0.1115, 0.0014]","[0.0967, 0.0011]","[0.0881, 0.001]","[0.1432, 0.0021]","[0.4008, 0.0047]","[0.5117, 0.0047]","[0.6128, 0.0046]","[0.2677, 0.0042]"
IVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2921, 0.0026]","[0.2514, 0.0022]","[0.2227, 0.0019]","[0.3621, 0.0035]","[0.5541, 0.0036]","[0.5961, 0.0034]","[0.6169, 0.0033]","[0.4746, 0.0039]","[0.1957, 0.0018]","[0.1545, 0.0014]","[0.126, 0.0012]","[0.2769, 0.0027]","[0.7048, 0.0042]","[0.8191, 0.0035]","[0.8829, 0.003]","[0.5275, 0.0046]"
CVNCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.2517, 0.0025]","[0.2147, 0.0021]","[0.1899, 0.0018]","[0.3169, 0.0035]","[0.4812, 0.004]","[0.5162, 0.0038]","[0.5403, 0.0037]","[0.4169, 0.0042]","[0.1627, 0.0016]","[0.1285, 0.0013]","[0.1081, 0.001]","[0.2358, 0.0025]","[0.5993, 0.0046]","[0.695, 0.0043]","[0.7688, 0.0039]","[0.4537, 0.0047]"
