model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG@10,NDCG@15,NDCG@20,NDCG@5,NDCG@50,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CE-NCF,100,1,128,128,5e-05,,0.0001,100,5,"[0.1248, 0.0022]","[0.1145, 0.0018]","[0.1073, 0.0016]","[0.1433, 0.003]","[0.0917, 0.0011]","[0.2502, 0.0038]","[0.292, 0.0037]","[0.3267, 0.0036]","[0.191, 0.0037]","[0.44, 0.003]","[0.0999, 0.0015]","[0.0901, 0.0012]","[0.0838, 0.001]","[0.119, 0.0022]","[0.0724, 0.0007]","[0.3578, 0.0051]","[0.4744, 0.0053]","[0.5831, 0.0052]","[0.2213, 0.0044]","[1.0, 0.0]"
CE-NCF,100,1,128,128,5e-05,,0.0005,100,5,"[0.171, 0.0024]","[0.1521, 0.002]","[0.1393, 0.0017]","[0.2034, 0.0034]","[0.1109, 0.0012]","[0.3393, 0.0041]","[0.3826, 0.004]","[0.4157, 0.0038]","[0.2736, 0.0043]","[0.5028, 0.0032]","[0.1261, 0.0016]","[0.108, 0.0012]","[0.0966, 0.0011]","[0.1631, 0.0024]","[0.0724, 0.0007]","[0.4642, 0.0053]","[0.5857, 0.0051]","[0.6886, 0.0048]","[0.3128, 0.005]","[1.0, 0.0]"
CE-NCF,100,1,128,128,5e-05,,0.001,100,5,"[0.1542, 0.0023]","[0.1389, 0.0019]","[0.1285, 0.0017]","[0.1805, 0.0033]","[0.1049, 0.0012]","[0.3079, 0.004]","[0.3522, 0.0038]","[0.3865, 0.0037]","[0.2418, 0.004]","[0.4799, 0.0031]","[0.1178, 0.0015]","[0.1031, 0.0012]","[0.0935, 0.0011]","[0.1468, 0.0023]","[0.0724, 0.0007]","[0.4339, 0.0052]","[0.5579, 0.0052]","[0.6643, 0.0049]","[0.2801, 0.0048]","[1.0, 0.0]"
CE-NCF,100,1,128,128,0.0001,,0.0001,100,5,"[0.1547, 0.0024]","[0.1376, 0.002]","[0.1264, 0.0017]","[0.1865, 0.0034]","[0.1027, 0.0012]","[0.3024, 0.0041]","[0.3445, 0.004]","[0.3781, 0.0039]","[0.2441, 0.0042]","[0.4795, 0.0032]","[0.1125, 0.0016]","[0.0986, 0.0012]","[0.0898, 0.0011]","[0.1456, 0.0024]","[0.0724, 0.0007]","[0.4074, 0.0052]","[0.5252, 0.0053]","[0.6294, 0.0051]","[0.2724, 0.0048]","[1.0, 0.0]"
CE-NCF,100,1,128,128,0.0001,,0.0005,100,5,"[0.1912, 0.0026]","[0.1678, 0.0021]","[0.152, 0.0018]","[0.2315, 0.0036]","[0.1175, 0.0013]","[0.3741, 0.0043]","[0.4141, 0.0041]","[0.4448, 0.004]","[0.3076, 0.0044]","[0.5267, 0.0034]","[0.1359, 0.0017]","[0.113, 0.0013]","[0.0994, 0.0011]","[0.1814, 0.0026]","[0.0724, 0.0007]","[0.5002, 0.0053]","[0.6114, 0.0051]","[0.7067, 0.0047]","[0.3467, 0.0051]","[1.0, 0.0]"
CE-NCF,100,1,128,128,0.0001,,0.001,100,5,"[0.1782, 0.0025]","[0.1576, 0.002]","[0.1437, 0.0018]","[0.2147, 0.0035]","[0.1132, 0.0012]","[0.3513, 0.0042]","[0.3938, 0.004]","[0.4266, 0.0039]","[0.2852, 0.0043]","[0.5115, 0.0033]","[0.1286, 0.0016]","[0.1095, 0.0013]","[0.0977, 0.0011]","[0.1683, 0.0025]","[0.0724, 0.0007]","[0.4765, 0.0053]","[0.5951, 0.0051]","[0.6969, 0.0048]","[0.3233, 0.005]","[1.0, 0.0]"
CE-NCF,100,1,128,128,0.001,,0.0001,100,5,"[0.2912, 0.0029]","[0.2502, 0.0024]","[0.2216, 0.0021]","[0.3617, 0.0039]","[0.1575, 0.0015]","[0.5549, 0.004]","[0.5965, 0.0038]","[0.619, 0.0036]","[0.4742, 0.0044]","[0.6518, 0.0033]","[0.1939, 0.002]","[0.1533, 0.0016]","[0.126, 0.0013]","[0.273, 0.0029]","[0.0724, 0.0007]","[0.7059, 0.0046]","[0.819, 0.0038]","[0.8879, 0.0031]","[0.5258, 0.0051]","[1.0, 0.0]"
CE-NCF,100,1,128,128,0.001,,0.0005,100,5,"[0.2702, 0.0028]","[0.2327, 0.0023]","[0.2066, 0.002]","[0.3364, 0.0038]","[0.1486, 0.0014]","[0.517, 0.0041]","[0.5578, 0.0039]","[0.5812, 0.0037]","[0.4379, 0.0044]","[0.626, 0.0034]","[0.1813, 0.0019]","[0.144, 0.0015]","[0.1194, 0.0012]","[0.2512, 0.0028]","[0.0724, 0.0007]","[0.6598, 0.0048]","[0.7721, 0.0042]","[0.8431, 0.0037]","[0.4808, 0.0051]","[1.0, 0.0]"
CE-NCF,100,1,128,128,0.001,,0.001,100,5,"[0.2531, 0.0028]","[0.2187, 0.0023]","[0.1951, 0.002]","[0.3138, 0.0038]","[0.1423, 0.0014]","[0.4861, 0.0042]","[0.5272, 0.004]","[0.5548, 0.0038]","[0.41, 0.0044]","[0.6047, 0.0034]","[0.1714, 0.0019]","[0.1379, 0.0015]","[0.1166, 0.0012]","[0.235, 0.0027]","[0.0724, 0.0007]","[0.6265, 0.0049]","[0.7388, 0.0045]","[0.8242, 0.0039]","[0.4552, 0.0051]","[1.0, 0.0]"
CE-NCF,200,1,128,128,5e-05,,0.0001,100,5,"[0.1747, 0.0025]","[0.1537, 0.0021]","[0.1397, 0.0018]","[0.2132, 0.0035]","[0.1102, 0.0012]","[0.3418, 0.0043]","[0.3818, 0.0041]","[0.4133, 0.004]","[0.2807, 0.0044]","[0.507, 0.0034]","[0.1237, 0.0016]","[0.105, 0.0013]","[0.0937, 0.0011]","[0.163, 0.0025]","[0.0724, 0.0007]","[0.4514, 0.0052]","[0.5627, 0.0052]","[0.6606, 0.0049]","[0.3111, 0.005]","[1.0, 0.0]"
CE-NCF,200,1,128,128,5e-05,,0.0005,100,5,"[0.2275, 0.0028]","[0.1952, 0.0023]","[0.1734, 0.002]","[0.2842, 0.0039]","[0.1275, 0.0014]","[0.4345, 0.0045]","[0.4687, 0.0044]","[0.4922, 0.0042]","[0.3708, 0.0046]","[0.5699, 0.0036]","[0.1504, 0.0018]","[0.1198, 0.0014]","[0.1011, 0.0011]","[0.2129, 0.0028]","[0.0724, 0.0007]","[0.5511, 0.0053]","[0.6455, 0.0051]","[0.7177, 0.0048]","[0.4056, 0.0052]","[1.0, 0.0]"
CE-NCF,200,1,128,128,5e-05,,0.001,100,5,"[0.1719, 0.0025]","[0.1531, 0.002]","[0.1402, 0.0017]","[0.2042, 0.0034]","[0.1112, 0.0012]","[0.3381, 0.0041]","[0.3817, 0.0039]","[0.4134, 0.0038]","[0.271, 0.0042]","[0.5008, 0.0032]","[0.1273, 0.0016]","[0.109, 0.0013]","[0.0967, 0.0011]","[0.1641, 0.0025]","[0.0724, 0.0007]","[0.4654, 0.0053]","[0.5878, 0.0051]","[0.6868, 0.0048]","[0.3099, 0.0049]","[1.0, 0.0]"
CE-NCF,200,1,128,128,0.0001,,0.0001,100,5,"[0.2278, 0.0029]","[0.1963, 0.0024]","[0.1744, 0.002]","[0.2785, 0.0039]","[0.1275, 0.0014]","[0.4345, 0.0045]","[0.4661, 0.0044]","[0.4874, 0.0043]","[0.3676, 0.0046]","[0.5657, 0.0036]","[0.1551, 0.0019]","[0.1216, 0.0015]","[0.1014, 0.0012]","[0.2162, 0.0028]","[0.0724, 0.0007]","[0.5576, 0.0053]","[0.6443, 0.0052]","[0.7103, 0.0049]","[0.4083, 0.0052]","[1.0, 0.0]"
CE-NCF,200,1,128,128,0.0001,,0.0005,100,5,"[0.2461, 0.0029]","[0.2119, 0.0024]","[0.1885, 0.0021]","[0.3053, 0.0039]","[0.1372, 0.0014]","[0.4698, 0.0044]","[0.5078, 0.0042]","[0.5317, 0.0041]","[0.399, 0.0046]","[0.5934, 0.0035]","[0.1649, 0.0019]","[0.1316, 0.0015]","[0.1103, 0.0012]","[0.231, 0.0028]","[0.0724, 0.0007]","[0.5995, 0.0052]","[0.7042, 0.0048]","[0.7774, 0.0044]","[0.4395, 0.0052]","[1.0, 0.0]"
CE-NCF,200,1,128,128,0.0001,,0.001,100,5,"[0.2255, 0.0028]","[0.1955, 0.0023]","[0.1746, 0.002]","[0.2759, 0.0038]","[0.1289, 0.0014]","[0.4297, 0.0043]","[0.4666, 0.0042]","[0.4908, 0.0041]","[0.3588, 0.0045]","[0.562, 0.0035]","[0.1555, 0.0018]","[0.1243, 0.0014]","[0.1048, 0.0012]","[0.2143, 0.0028]","[0.0724, 0.0007]","[0.5643, 0.0052]","[0.6668, 0.005]","[0.7415, 0.0047]","[0.4017, 0.0051]","[1.0, 0.0]"
CE-NCF,200,1,128,128,0.001,,0.0001,100,5,"[0.2853, 0.0029]","[0.2456, 0.0024]","[0.218, 0.0021]","[0.3551, 0.0039]","[0.1555, 0.0015]","[0.5432, 0.004]","[0.5861, 0.0038]","[0.6095, 0.0036]","[0.463, 0.0044]","[0.6437, 0.0033]","[0.191, 0.002]","[0.1519, 0.0016]","[0.1253, 0.0013]","[0.2678, 0.0029]","[0.0724, 0.0007]","[0.6929, 0.0046]","[0.8108, 0.0039]","[0.8822, 0.0032]","[0.5124, 0.0051]","[1.0, 0.0]"
CE-NCF,200,1,128,128,0.001,,0.0005,100,5,"[0.2636, 0.0028]","[0.2278, 0.0023]","[0.203, 0.002]","[0.3262, 0.0039]","[0.1469, 0.0014]","[0.5049, 0.0041]","[0.5469, 0.0039]","[0.5732, 0.0037]","[0.4247, 0.0044]","[0.6172, 0.0034]","[0.1792, 0.0019]","[0.1431, 0.0015]","[0.1199, 0.0012]","[0.2453, 0.0028]","[0.0724, 0.0007]","[0.6492, 0.0048]","[0.7656, 0.0043]","[0.847, 0.0036]","[0.4684, 0.0051]","[1.0, 0.0]"
CE-NCF,200,1,128,128,0.001,,0.001,100,5,"[0.2527, 0.0028]","[0.2193, 0.0023]","[0.1958, 0.002]","[0.3114, 0.0038]","[0.1428, 0.0014]","[0.4874, 0.0042]","[0.5292, 0.004]","[0.5553, 0.0038]","[0.4059, 0.0044]","[0.6047, 0.0034]","[0.1739, 0.0019]","[0.1397, 0.0015]","[0.1171, 0.0012]","[0.2325, 0.0027]","[0.0724, 0.0007]","[0.6303, 0.0049]","[0.745, 0.0045]","[0.8265, 0.0039]","[0.4473, 0.0051]","[1.0, 0.0]"
