model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.01,,0.0001,300,10,"[3.0964, 0.0523]","[0.0316, 0.0019]","[0.0291, 0.0016]","[0.0272, 0.0014]","[0.0358, 0.0027]","[0.0214, 0.0009]","[0.1155, 0.0043]","[0.0259, 0.0013]","[0.023, 0.001]","[0.0209, 0.0009]","[0.0307, 0.0019]","[0.0156, 0.0005]","[0.0374, 0.0034]","[0.1012, 0.006]","[0.1293, 0.0066]","[0.1544, 0.0071]","[0.0625, 0.0049]","[0.2726, 0.0087]"
CVNCF,200,1,128,128,0.01,,0.0001,300,10,"[3.0475, 0.0525]","[0.0307, 0.0019]","[0.0288, 0.0016]","[0.0274, 0.0014]","[0.033, 0.0025]","[0.0221, 0.0009]","[0.1121, 0.0039]","[0.0267, 0.0013]","[0.0241, 0.0011]","[0.0223, 0.0009]","[0.0321, 0.002]","[0.0159, 0.0005]","[0.031, 0.0028]","[0.0993, 0.0059]","[0.1319, 0.0067]","[0.1594, 0.0071]","[0.0619, 0.0048]","[0.2757, 0.0087]"
CVNCF,150,1,128,128,0.01,,0.0001,300,10,"[3.1159, 0.0519]","[0.0302, 0.0019]","[0.0276, 0.0016]","[0.026, 0.0013]","[0.0356, 0.0027]","[0.021, 0.0008]","[0.1137, 0.0043]","[0.024, 0.0012]","[0.0218, 0.001]","[0.0207, 0.0008]","[0.0282, 0.0019]","[0.0154, 0.0005]","[0.0388, 0.0035]","[0.0915, 0.0057]","[0.1225, 0.0065]","[0.1542, 0.0071]","[0.0568, 0.0047]","[0.2691, 0.0087]"
