model,rank,num_layers,train_batch_size,predict_batch_size,lambda,topK,learning_rate,epoch,negative_sampling_size,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
CVNCF,250,1,128,128,0.001,,0.001,300,10,"[3.0775, 0.0529]","[0.0343, 0.002]","[0.0313, 0.0017]","[0.029, 0.0014]","[0.0395, 0.0028]","[0.0222, 0.0009]","[0.118, 0.0045]","[0.028, 0.0014]","[0.0238, 0.001]","[0.0214, 0.0009]","[0.0334, 0.002]","[0.0153, 0.0005]","[0.0419, 0.0036]","[0.1084, 0.0062]","[0.1343, 0.0068]","[0.1582, 0.0072]","[0.0664, 0.005]","[0.2694, 0.0087]"
CVNCF,200,1,128,128,0.001,,0.001,300,10,"[3.0828, 0.0529]","[0.0334, 0.002]","[0.0307, 0.0016]","[0.0286, 0.0014]","[0.0381, 0.0028]","[0.0221, 0.0009]","[0.1171, 0.0044]","[0.0271, 0.0013]","[0.0239, 0.001]","[0.0216, 0.0009]","[0.031, 0.0019]","[0.0153, 0.0005]","[0.0409, 0.0036]","[0.1061, 0.0062]","[0.1349, 0.0068]","[0.158, 0.0072]","[0.0626, 0.0049]","[0.2668, 0.0086]"
CVNCF,150,1,128,128,0.001,,0.001,300,10,"[3.0959, 0.0529]","[0.0339, 0.002]","[0.0309, 0.0016]","[0.0287, 0.0014]","[0.0389, 0.0028]","[0.022, 0.0009]","[0.1182, 0.0045]","[0.0272, 0.0013]","[0.0236, 0.001]","[0.0213, 0.0008]","[0.0325, 0.002]","[0.0154, 0.0005]","[0.0416, 0.0036]","[0.1065, 0.0062]","[0.1327, 0.0067]","[0.1569, 0.0071]","[0.068, 0.0051]","[0.2705, 0.0087]"
