model,rank,num_layers,batch_size,lambda,topK,learning_rate,epoch,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
INCF,100,1,1024,0.001,,0.0001,50,"[3.7051, 0.0473]","[0.0247, 0.0018]","[0.0232, 0.0015]","[0.022, 0.0014]","[0.0265, 0.0024]","[0.0178, 0.0009]","[0.0612, 0.0027]","[0.0216, 0.0013]","[0.0195, 0.0011]","[0.0179, 0.0009]","[0.0249, 0.0019]","[0.013, 0.0006]","[0.0234, 0.0019]","[0.0423, 0.003]","[0.0559, 0.0035]","[0.0684, 0.0038]","[0.0248, 0.0023]","[0.1229, 0.0051]"
INCF,100,1,1024,0.001,,0.0005,50,"[3.9301, 0.0447]","[0.0216, 0.0018]","[0.0203, 0.0015]","[0.0193, 0.0013]","[0.0235, 0.0023]","[0.0156, 0.0009]","[0.05, 0.0025]","[0.0188, 0.0013]","[0.0172, 0.0011]","[0.0157, 0.0009]","[0.0213, 0.0018]","[0.0116, 0.0006]","[0.0198, 0.0017]","[0.0305, 0.0024]","[0.0425, 0.0029]","[0.0515, 0.0033]","[0.0175, 0.0018]","[0.0979, 0.0046]"
INCF,100,1,1024,0.001,,0.001,50,"[4.1414, 0.0413]","[0.0169, 0.0016]","[0.0159, 0.0013]","[0.0151, 0.0012]","[0.0181, 0.002]","[0.0123, 0.0008]","[0.0371, 0.0021]","[0.0149, 0.0012]","[0.0132, 0.001]","[0.0122, 0.0008]","[0.0172, 0.0016]","[0.0094, 0.0005]","[0.0157, 0.0015]","[0.0225, 0.002]","[0.0298, 0.0023]","[0.0362, 0.0026]","[0.0131, 0.0015]","[0.0707, 0.0038]"
INCF,100,1,1024,0.01,,0.0001,50,"[4.027, 0.0421]","[0.0161, 0.0015]","[0.0156, 0.0013]","[0.0151, 0.0012]","[0.0166, 0.0019]","[0.0134, 0.0009]","[0.0424, 0.0021]","[0.0152, 0.0012]","[0.0141, 0.001]","[0.0136, 0.0009]","[0.0167, 0.0016]","[0.0114, 0.0006]","[0.0142, 0.0013]","[0.0216, 0.0019]","[0.0317, 0.0024]","[0.0412, 0.0028]","[0.0114, 0.0013]","[0.0915, 0.0044]"
INCF,100,1,1024,0.01,,0.0005,50,"[4.4518, 0.0333]","[0.0074, 0.001]","[0.0074, 0.0009]","[0.0073, 0.0008]","[0.0075, 0.0013]","[0.0069, 0.0006]","[0.02, 0.0013]","[0.0073, 0.0008]","[0.0071, 0.0007]","[0.0069, 0.0006]","[0.0073, 0.001]","[0.0064, 0.0005]","[0.0068, 0.0008]","[0.0097, 0.0013]","[0.0143, 0.0016]","[0.0183, 0.0018]","[0.0051, 0.001]","[0.0423, 0.0028]"
INCF,100,1,1024,0.01,,0.001,50,"[4.5926, 0.0291]","[0.005, 0.0008]","[0.0049, 0.0007]","[0.0049, 0.0006]","[0.005, 0.001]","[0.0046, 0.0005]","[0.0138, 0.0011]","[0.0049, 0.0006]","[0.0047, 0.0005]","[0.0046, 0.0005]","[0.0054, 0.0009]","[0.0043, 0.0004]","[0.0045, 0.0007]","[0.0075, 0.0012]","[0.0109, 0.0015]","[0.014, 0.0017]","[0.0039, 0.0009]","[0.0296, 0.0024]"
INCF,100,1,1024,0.1,,0.0001,50,"[4.3465, 0.036]","[0.0095, 0.0011]","[0.009, 0.0009]","[0.0085, 0.0008]","[0.0101, 0.0015]","[0.0073, 0.0005]","[0.025, 0.0016]","[0.0083, 0.0008]","[0.0075, 0.0006]","[0.007, 0.0005]","[0.0099, 0.0012]","[0.0059, 0.0004]","[0.0079, 0.001]","[0.0147, 0.0017]","[0.0206, 0.002]","[0.0258, 0.0023]","[0.0086, 0.0013]","[0.0542, 0.0033]"
INCF,100,1,1024,0.1,,0.0005,50,"[4.7626, 0.0224]","[0.0026, 0.0005]","[0.0025, 0.0005]","[0.0024, 0.0004]","[0.0027, 0.0007]","[0.0022, 0.0003]","[0.0081, 0.0008]","[0.0024, 0.0004]","[0.0021, 0.0003]","[0.0021, 0.0003]","[0.003, 0.0006]","[0.0019, 0.0002]","[0.0022, 0.0005]","[0.0049, 0.0011]","[0.0062, 0.0012]","[0.0087, 0.0014]","[0.0026, 0.0007]","[0.0193, 0.002]"
INCF,100,1,1024,0.1,,0.001,50,"[4.7851, 0.0215]","[0.002, 0.0004]","[0.0021, 0.0004]","[0.0021, 0.0003]","[0.0019, 0.0005]","[0.0019, 0.0002]","[0.0071, 0.0008]","[0.0023, 0.0004]","[0.0021, 0.0003]","[0.002, 0.0003]","[0.0024, 0.0006]","[0.0017, 0.0002]","[0.0017, 0.0005]","[0.0049, 0.0011]","[0.0065, 0.0012]","[0.0085, 0.0014]","[0.0023, 0.0007]","[0.017, 0.0019]"
INCF,100,1,1024,1.0,,0.0001,50,"[4.7216, 0.0238]","[0.0031, 0.0006]","[0.0028, 0.0005]","[0.0027, 0.0004]","[0.0034, 0.0008]","[0.0025, 0.0003]","[0.0093, 0.0009]","[0.0028, 0.0004]","[0.0021, 0.0003]","[0.0025, 0.0003]","[0.0029, 0.0006]","[0.0022, 0.0002]","[0.0027, 0.0006]","[0.0055, 0.0011]","[0.0064, 0.0012]","[0.0097, 0.0014]","[0.0023, 0.0006]","[0.0218, 0.0021]"
INCF,100,1,1024,1.0,,0.0005,50,"[4.6093, 0.0274]","[0.0037, 0.0007]","[0.0034, 0.0006]","[0.0034, 0.0005]","[0.0043, 0.001]","[0.0035, 0.0003]","[0.0136, 0.0011]","[0.0029, 0.0004]","[0.0034, 0.0004]","[0.0034, 0.0004]","[0.0036, 0.0007]","[0.0035, 0.0002]","[0.0037, 0.0007]","[0.005, 0.0009]","[0.009, 0.0013]","[0.0126, 0.0016]","[0.003, 0.0007]","[0.0319, 0.0025]"
INCF,100,1,1024,1.0,,0.001,50,"[4.6259, 0.0278]","[0.004, 0.0007]","[0.004, 0.0006]","[0.0038, 0.0005]","[0.0041, 0.0009]","[0.0035, 0.0003]","[0.012, 0.001]","[0.004, 0.0005]","[0.0035, 0.0004]","[0.0035, 0.0004]","[0.0043, 0.0008]","[0.003, 0.0002]","[0.0035, 0.0006]","[0.0069, 0.0011]","[0.0092, 0.0013]","[0.0123, 0.0015]","[0.0036, 0.0008]","[0.0258, 0.0021]"
INCF,100,1,1024,10.0,,0.0001,50,"[4.4259, 0.0353]","[0.0107, 0.0012]","[0.0102, 0.0011]","[0.0096, 0.0009]","[0.0116, 0.0017]","[0.0072, 0.0006]","[0.0233, 0.0017]","[0.0102, 0.0009]","[0.0086, 0.0008]","[0.0072, 0.0006]","[0.0103, 0.0013]","[0.0048, 0.0003]","[0.009, 0.0012]","[0.0191, 0.002]","[0.0243, 0.0023]","[0.0272, 0.0025]","[0.0089, 0.0013]","[0.0453, 0.0032]"
INCF,100,1,1024,10.0,,0.0005,50,"[4.4033, 0.0358]","[0.0105, 0.0012]","[0.0097, 0.001]","[0.009, 0.0009]","[0.0114, 0.0017]","[0.0068, 0.0005]","[0.0233, 0.0017]","[0.0092, 0.0008]","[0.0074, 0.0006]","[0.0067, 0.0005]","[0.0092, 0.0011]","[0.0045, 0.0003]","[0.0096, 0.0012]","[0.0186, 0.0019]","[0.0219, 0.0021]","[0.0268, 0.0024]","[0.0098, 0.0014]","[0.0441, 0.003]"
INCF,100,1,1024,10.0,,0.001,50,"[4.3997, 0.0353]","[0.01, 0.0011]","[0.0092, 0.0009]","[0.0085, 0.0008]","[0.0108, 0.0015]","[0.0067, 0.0005]","[0.0232, 0.0016]","[0.0085, 0.0008]","[0.0069, 0.0006]","[0.0064, 0.0005]","[0.0099, 0.0012]","[0.0049, 0.0003]","[0.0089, 0.0011]","[0.0166, 0.0018]","[0.0198, 0.002]","[0.0246, 0.0023]","[0.0098, 0.0014]","[0.0473, 0.0031]"
INCF,200,1,1024,0.001,,0.0001,50,"[3.8028, 0.0463]","[0.0232, 0.0018]","[0.0216, 0.0015]","[0.0204, 0.0013]","[0.0256, 0.0024]","[0.016, 0.0008]","[0.0576, 0.0028]","[0.0196, 0.0013]","[0.0175, 0.001]","[0.0161, 0.0008]","[0.0229, 0.0018]","[0.0113, 0.0005]","[0.0225, 0.0019]","[0.0401, 0.003]","[0.0532, 0.0034]","[0.064, 0.0037]","[0.0239, 0.0023]","[0.1135, 0.005]"
INCF,200,1,1024,0.001,,0.0005,50,"[4.1733, 0.0398]","[0.013, 0.0013]","[0.0126, 0.0012]","[0.0122, 0.001]","[0.0136, 0.0017]","[0.0106, 0.0007]","[0.0338, 0.0019]","[0.0123, 0.001]","[0.0115, 0.0009]","[0.0107, 0.0007]","[0.0127, 0.0014]","[0.0086, 0.0005]","[0.0114, 0.0011]","[0.0186, 0.0018]","[0.0267, 0.0022]","[0.0341, 0.0025]","[0.0089, 0.0011]","[0.0707, 0.0038]"
INCF,200,1,1024,0.001,,0.001,50,"[4.245, 0.0382]","[0.0121, 0.0013]","[0.0115, 0.0011]","[0.0111, 0.001]","[0.013, 0.0017]","[0.0098, 0.0007]","[0.0309, 0.0018]","[0.0107, 0.001]","[0.0101, 0.0008]","[0.0097, 0.0007]","[0.0119, 0.0014]","[0.0084, 0.0005]","[0.0107, 0.0011]","[0.015, 0.0016]","[0.0213, 0.0019]","[0.0274, 0.0022]","[0.0081, 0.0011]","[0.0639, 0.0036]"
INCF,200,1,1024,0.01,,0.0001,50,"[4.2445, 0.0381]","[0.0114, 0.0012]","[0.011, 0.0011]","[0.0107, 0.001]","[0.012, 0.0016]","[0.0097, 0.0007]","[0.0312, 0.0018]","[0.0104, 0.0009]","[0.0099, 0.0008]","[0.0097, 0.0007]","[0.0115, 0.0013]","[0.0086, 0.0005]","[0.0106, 0.0011]","[0.0154, 0.0016]","[0.0221, 0.002]","[0.0287, 0.0023]","[0.0083, 0.0012]","[0.0664, 0.0037]"
