model,rank,num_layers,batch_size,lambda,topK,learning_rate,epoch,Clicks,MAP@10,MAP@15,MAP@20,MAP@5,MAP@50,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
IVNCF,200,1,1024,0.01,,0.001,50,"[4.7955, 0.0211]","[0.0024, 0.0005]","[0.0023, 0.0005]","[0.0022, 0.0004]","[0.0025, 0.0007]","[0.002, 0.0003]","[0.0073, 0.0008]","[0.002, 0.0004]","[0.0021, 0.0003]","[0.0019, 0.0003]","[0.0027, 0.0006]","[0.0017, 0.0002]","[0.0024, 0.0006]","[0.0038, 0.0009]","[0.0061, 0.0011]","[0.0075, 0.0012]","[0.0025, 0.0007]","[0.0165, 0.0019]"
IVNCF,200,1,1024,0.1,,0.0001,50,"[4.8092, 0.02]","[0.0018, 0.0004]","[0.0018, 0.0004]","[0.0017, 0.0003]","[0.0016, 0.0005]","[0.0017, 0.0002]","[0.0066, 0.0007]","[0.002, 0.0004]","[0.0018, 0.0003]","[0.0016, 0.0003]","[0.002, 0.0005]","[0.0016, 0.0002]","[0.0016, 0.0004]","[0.0038, 0.0009]","[0.0051, 0.001]","[0.0064, 0.0011]","[0.0018, 0.0005]","[0.0162, 0.0019]"
IVNCF,200,1,1024,0.1,,0.0005,50,"[4.8212, 0.0196]","[0.0014, 0.0004]","[0.0015, 0.0004]","[0.0016, 0.0003]","[0.0014, 0.0005]","[0.0016, 0.0002]","[0.0056, 0.0007]","[0.0016, 0.0003]","[0.0016, 0.0003]","[0.0019, 0.0003]","[0.0017, 0.0005]","[0.0014, 0.0002]","[0.0015, 0.0004]","[0.0028, 0.0007]","[0.0043, 0.0009]","[0.0069, 0.0012]","[0.0015, 0.0005]","[0.0133, 0.0016]"
IVNCF,200,1,1024,0.1,,0.001,50,"[4.828, 0.0192]","[0.0012, 0.0004]","[0.0014, 0.0003]","[0.0014, 0.0003]","[0.001, 0.0005]","[0.0015, 0.0002]","[0.0052, 0.0006]","[0.0015, 0.0003]","[0.0016, 0.0003]","[0.0016, 0.0002]","[0.001, 0.0004]","[0.0013, 0.0001]","[0.0011, 0.0003]","[0.0032, 0.0008]","[0.0043, 0.0009]","[0.0059, 0.0011]","[0.0008, 0.0003]","[0.0126, 0.0016]"
IVNCF,200,1,1024,1.0,,0.0001,50,"[4.7752, 0.0223]","[0.0023, 0.0005]","[0.0025, 0.0004]","[0.0024, 0.0004]","[0.0022, 0.0006]","[0.0021, 0.0002]","[0.0075, 0.0008]","[0.0025, 0.0004]","[0.0025, 0.0003]","[0.0021, 0.0003]","[0.0022, 0.0005]","[0.0018, 0.0002]","[0.0024, 0.0005]","[0.0049, 0.001]","[0.0079, 0.0013]","[0.0087, 0.0014]","[0.0021, 0.0006]","[0.017, 0.0018]"
IVNCF,200,1,1024,1.0,,0.0005,50,"[4.7249, 0.0248]","[0.0027, 0.0005]","[0.0029, 0.0004]","[0.0029, 0.0004]","[0.0017, 0.0005]","[0.0025, 0.0003]","[0.0085, 0.0008]","[0.0034, 0.0005]","[0.0032, 0.0004]","[0.0026, 0.0003]","[0.003, 0.0006]","[0.002, 0.0002]","[0.0022, 0.0005]","[0.0072, 0.0012]","[0.0095, 0.0014]","[0.0107, 0.0015]","[0.0031, 0.0008]","[0.0193, 0.0019]"
IVNCF,200,1,1024,1.0,,0.001,50,"[4.6082, 0.0288]","[0.0042, 0.0006]","[0.0043, 0.0005]","[0.0043, 0.0005]","[0.0031, 0.0007]","[0.0037, 0.0003]","[0.0126, 0.001]","[0.0047, 0.0006]","[0.0044, 0.0005]","[0.004, 0.0004]","[0.0035, 0.0007]","[0.003, 0.0002]","[0.004, 0.0007]","[0.0087, 0.0013]","[0.0125, 0.0016]","[0.0155, 0.0018]","[0.0031, 0.0007]","[0.0285, 0.0024]"
IVNCF,200,1,1024,10.0,,0.0001,50,"[4.5, 0.0318]","[0.0053, 0.0007]","[0.0053, 0.0006]","[0.0052, 0.0006]","[0.0052, 0.0009]","[0.0048, 0.0004]","[0.0174, 0.0012]","[0.0052, 0.0006]","[0.005, 0.0005]","[0.0051, 0.0004]","[0.0062, 0.0009]","[0.0041, 0.0003]","[0.0049, 0.0008]","[0.0102, 0.0015]","[0.0145, 0.0017]","[0.0199, 0.002]","[0.006, 0.0011]","[0.0407, 0.0029]"
IVNCF,200,1,1024,10.0,,0.0005,50,"[4.5608, 0.0302]","[0.0057, 0.0009]","[0.0054, 0.0007]","[0.0052, 0.0006]","[0.0063, 0.0012]","[0.0044, 0.0004]","[0.0155, 0.0013]","[0.0053, 0.0006]","[0.0047, 0.0005]","[0.0043, 0.0004]","[0.0052, 0.0008]","[0.0035, 0.0002]","[0.0049, 0.0008]","[0.0099, 0.0014]","[0.0128, 0.0016]","[0.0163, 0.0018]","[0.0049, 0.001]","[0.0325, 0.0025]"
IVNCF,200,1,1024,10.0,,0.001,50,"[4.5315, 0.0316]","[0.0062, 0.0009]","[0.006, 0.0007]","[0.0058, 0.0006]","[0.0067, 0.0012]","[0.0048, 0.0004]","[0.0161, 0.0013]","[0.0051, 0.0006]","[0.0059, 0.0005]","[0.005, 0.0004]","[0.0069, 0.001]","[0.0036, 0.0003]","[0.006, 0.0009]","[0.0092, 0.0013]","[0.0171, 0.0018]","[0.019, 0.0019]","[0.0063, 0.0011]","[0.0334, 0.0026]"
